Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location
150310032;01/31/2015;09:10 AM;7.0;MOTOR VEHICLE THEFT;;;[43.11009438305041, -87.93795978781316]
150310059;01/31/2015;12:37 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10953822790799, -87.96358142524178]
150300044;01/30/2015;09:01 AM;7.0;MOTOR VEHICLE THEFT;;;[43.105253731775406, -87.94286695384608]
150300111;01/30/2015;07:33 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10839663389862, -87.94865534037086]
150310007;01/30/2015;11:42 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10449237562375, -87.93141233301196]
150290077;01/29/2015;01:03 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10991858807347, -87.96374160079347]
150290079;01/29/2015;01:09 PM;7.0;MOTOR VEHICLE THEFT;;;[43.104635799503626, -87.94668666145947]
150290085;01/29/2015;02:06 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.105574581103156, -87.9341052728393]
150290159;01/29/2015;10:41 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.13035606917833, -87.95845059421879]
150280037;01/28/2015;09:50 AM;4.0;MOTOR VEHICLE THEFT;;;[43.125910964020875, -87.95606732154886]
150280090;01/28/2015;06:36 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10221551073835, -87.93539606347679]
150280094;01/28/2015;06:53 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11789132172822, -87.95058007391049]
150280136;01/28/2015;07:51 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09891533067906, -87.94083282677275]
150270104;01/27/2015;11:54 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10527045646751, -87.97889313131219]
150270156;01/27/2015;10:11 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.10823182593913, -87.95198219432206]
150260029;01/26/2015;08:53 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11695533791959, -87.95757197996215]
150260098;01/26/2015;03:41 PM;4.0;MOTOR VEHICLE THEFT;;;[43.114486538823826, -87.95020832835093]
150260133;01/26/2015;08:47 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09085504982181, -87.94090282550422]
150250026;01/25/2015;05:08 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11263940688423, -87.95006853053746]
150250053;01/25/2015;11:22 AM;7.0;MOTOR VEHICLE THEFT;;;[43.11093359620958, -87.93446724546624]
150250072;01/25/2015;02:06 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11490203909892, -87.9339713943636]
150250073;01/25/2015;01:13 PM;7.0;MOTOR VEHICLE THEFT;;;[43.03972542049286, -87.93670086195442]
150240013;01/24/2015;01:50 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10470748086664, -87.94672515783901]
150250004;01/24/2015;11:55 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10741850875826, -87.93798557047694]
150230117;01/23/2015;07:48 PM;7.0;MOTOR VEHICLE THEFT;;;[43.105909350137495, -87.96272433985564]
150220010;01/22/2015;03:59 AM;5.0;MOTOR VEHICLE THEFT;;;[43.091434400278445, -87.9418904285996]
150220011;01/22/2015;04:32 AM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.090900328888154, -87.94190719286189]
150220074;01/22/2015;05:49 PM;5.0;THEFT FROM BUILDING;;;[43.09930653666845, -87.9370260163368]
150210019;01/21/2015;06:09 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.147731817370584, -87.96728202844207]
150210042;01/21/2015;07:48 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10683980761212, -87.95901887581971]
150210057;01/21/2015;11:28 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12757734302107, -87.95978628081144]
150210064;01/21/2015;11:14 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09321801939717, -87.9318835283014]
150210068;01/21/2015;12:15 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10668523393747, -87.95281398717498]
150210094;01/21/2015;03:01 PM;5.0;THEFT FROM BUILDING;;;[43.09307623408205, -87.92812798192006]
150200019;01/20/2015;08:47 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11794312897331, -87.95747493771745]
150200083;01/20/2015;03:41 PM;4.0;MOTOR VEHICLE THEFT;;;[43.12041228689861, -87.96624160456565]
150190145;01/19/2015;07:25 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.119260250860975, -87.95634902518657]
150180085;01/18/2015;02:46 PM;4.0;MOTOR VEHICLE THEFT;;;[43.129867364988, -87.95839136486882]
150170089;01/17/2015;05:47 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10942327656409, -87.96656934270021]
150160028;01/16/2015;07:59 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10504125615017, -87.93527575217342]
150160032;01/16/2015;09:12 AM;4.0;MOTOR VEHICLE THEFT;;;[43.14288091832083, -87.95880890120907]
150160082;01/16/2015;03:03 PM;4.0;MOTOR VEHICLE THEFT;;;[43.14870465989321, -87.96381907828709]
150150008;01/15/2015;01:13 AM;4.0;THEFT FROM BUILDING;;;[43.14258865214566, -87.95673617613284]
150150023;01/15/2015;07:18 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09574536166019, -87.93050431542105]
150150034;01/15/2015;09:32 AM;5.0;MOTOR VEHICLE THEFT;;;[43.09072948557838, -87.93313324869968]
150150042;01/15/2015;10:48 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09626521027235, -87.93191155567297]
150150077;01/15/2015;02:45 PM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.09640584805254, -87.93183640112824]
150150125;01/15/2015;08:30 PM;4.0;THEFT FROM BUILDING;;;[43.11387076402565, -87.95015882067224]
150140016;01/14/2015;04:39 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10573402730461, -87.94530877777709]
150140105;01/14/2015;06:20 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.160230408107964, -87.94715669752281]
150140115;01/14/2015;06:18 PM;4.0;THEFT FROM BUILDING;;;[43.13495083411482, -87.96587514522099]
150130021;01/13/2015;08:23 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.090208115313374, -87.94084061490167]
150130037;01/13/2015;10:08 AM;4.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;[43.12087094473941, -87.95866617969966]
150130046;01/13/2015;11:17 AM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.09340957319432, -87.928188300349]
150130104;01/13/2015;05:56 PM;7.0;THEFT FROM BUILDING;;;[43.10942327656409, -87.96656934270021]
150120047;01/12/2015;10:17 AM;7.0;MOTOR VEHICLE THEFT;;;[43.111857888831594, -87.95557085351129]
150120069;01/12/2015;12:13 PM;4.0;MOTOR VEHICLE THEFT;;;[43.133117741491674, -87.97247833640535]
