INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
150310006,01/31/2015,12:20 AM,1,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,1813 E KENILWORTH PL
150310060,01/31/2015,12:18 PM,5,BURGLARY/BREAKING AND ENTERING,,,,,809 E KEEFE AV
150310061,01/31/2015,12:50 PM,1,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2933 N CRAMER ST
150310114,01/31/2015,07:33 PM,1,ROBBERY,,,,,2407 E BELLEVIEW PL
150310116,01/31/2015,08:32 PM,5,ROBBERY,,,,,3300 N FRATNEY ST
150300020,01/30/2015,02:11 AM,1,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,1614 E NORTH AV
150300035,01/30/2015,07:24 AM,5,MOTOR VEHICLE THEFT,,,,,2741 N BOOTH ST
150300036,01/30/2015,07:04 AM,1,ROBBERY,,,,,2011 E PARK PL
150300050,01/30/2015,10:04 AM,5,MOTOR VEHICLE THEFT,,,,,1238 E CHAMBERS ST
150300051,01/30/2015,09:32 AM,1,BURGLARY/BREAKING AND ENTERING,,,,,2045 E NORTH AV
150300069,01/30/2015,01:07 PM,1,THEFT FROM BUILDING,,,,,2911 N BARTLETT AV
150300081,01/30/2015,12:40 PM,5,MOTOR VEHICLE THEFT,,,,,2469 N FRATNEY ST
150300083,01/30/2015,01:05 PM,1,AGGRAVATED ASSAULT,,,,,1615 E LOCUST ST
150300121,01/30/2015,07:58 PM,1,ROBBERY,,,,,1720 E PROVIDENCE AV
150310004,01/30/2015,11:52 PM,5,SIMPLE ASSAULT,,,,,720 E BURLEIGH ST
150290048,01/29/2015,07:54 AM,1,MOTOR VEHICLE THEFT,,,,,1514 E HARTFORD AV
150290051,01/29/2015,09:39 AM,1,MOTOR VEHICLE THEFT,,,,,2400 N MURRAY AV
150290076,01/29/2015,12:53 PM,1,THEFT FROM MOTOR VEHICLE,,,,,1863 N PULASKI ST
150290091,01/29/2015,02:18 PM,1,SHOPLIFTING,,,,,1400 E BRADY ST
150290146,01/29/2015,08:57 PM,1,BURGLARY/BREAKING AND ENTERING,,,,,1713 E NEWPORT AV
150290164,01/29/2015,09:43 PM,1,SIMPLE ASSAULT,,,,,3471-A N OAKLAND AV
150210012,01/28/2015,12:10 AM,1,THEFT FROM BUILDING,,,,,1701 N ARLINGTON PL
150280076,01/28/2015,02:28 PM,1,THEFT FROM MOTOR VEHICLE,,,,,2621 N DOWNER AV
150280084,01/28/2015,02:55 PM,1,INTIMIDATION,,,,,2505-A N OAKLAND AV
150280112,01/28/2015,05:44 PM,5,ROBBERY,,,,,900 E BURLEIGH ST
150280124,01/28/2015,06:52 PM,5,ROBBERY,,,,,2562 N FRATNEY ST
150280154,01/28/2015,10:22 PM,1,MOTOR VEHICLE THEFT,,,,,600 E OGDEN AV
