;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;60310064;01/31/2006;10:09 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10565191035258, -87.94531591185313];4852 N 26TH ST
1;60310156;01/31/2006;04:02 PM;5.0;MOTOR VEHICLE THEFT;;;[43.092697240484405, -87.92583508374571];1203 W HOPE AV
2;60300010;01/30/2006;01:44 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11546375437129, -87.96000763200395];5377 N 38TH ST
3;60300042;01/30/2006;06:36 AM;4.0;MOTOR VEHICLE THEFT;;;[43.1245804899011, -87.95002080391252];3010 W BOBOLINK AV
4;60300217;01/30/2006;10:26 PM;7.0;MOTOR VEHICLE THEFT;;;[43.089877486005975, -87.94602072300768];2604 W CAPITOL DR
5;60290039;01/29/2006;08:35 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV #311
6;60280032;01/28/2006;03:52 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11183748600598, -87.94795033236194];2802 W VILLARD AV
7;60280049;01/28/2006;07:26 AM;4.0;MOTOR VEHICLE THEFT;;;[43.13018043450139, -87.96245475979636];6155 N 40TH ST
8;60280178;01/28/2006;07:34 PM;5.0;MOTOR VEHICLE THEFT;;;[43.089514397487385, -87.92591906226717];1200 W CAPITOL DR
9;60290001;01/28/2006;09:09 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10805566472388, -87.97876237910455];4970 N 53RD ST
10;60270080;01/27/2006;12:00 PM;7.0;MOTOR VEHICLE THEFT;;;[43.09765297336827, -87.93752234361466];2022 W ROOSEVELT DR
11;60270107;01/27/2006;01:58 PM;5.0;MOTOR VEHICLE THEFT;;;[43.092680877055734, -87.92458227583847];4150 N GREEN BAY AV
12;60270138;01/27/2006;04:14 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11218051716709, -87.94226120566677];2400 W VILLARD AV
13;60280012;01/27/2006;11:27 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
14;60250039;01/25/2006;08:26 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11218051716709, -87.94226120566677];2400 W VILLARD AV
15;60240109;01/24/2006;02:59 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10170267055227, -87.9491406503258];4637 N 29TH ST
16;60240186;01/24/2006;07:47 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11925348600596, -87.9564915];3500 W SILVER SPRING DR
17;60230095;01/23/2006;11:32 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11218051716709, -87.94226120566677];2400 W VILLARD AV
18;60220046;01/22/2006;08:48 AM;4.0;MOTOR VEHICLE THEFT;;;[43.1346871679707, -87.95329431839346];6401 N TEUTONIA AV
19;60220114;01/22/2006;04:56 PM;4.0;MOTOR VEHICLE THEFT;;;[43.112582245628715, -87.96000586078269];5226 N 38TH ST
20;60220140;01/22/2006;09:17 PM;7.0;MOTOR VEHICLE THEFT;;;[43.09684476001806, -87.93605589637336];1975 W CONGRESS ST
21;60200172;01/20/2006;12:20 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11462717346646, -87.96123057372014];5339 N 39TH ST
22;60200185;01/20/2006;07:35 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10484544427301, -87.97770365404547];4804 N 52ND ST
23;60180062;01/18/2006;12:09 PM;7.0;MOTOR VEHICLE THEFT;;;[43.102447513994036, -87.94696402553522];2711 W COURTLAND AV
24;60180151;01/18/2006;09:43 PM;7.0;MOTOR VEHICLE THEFT;;;[43.093048752216674, -87.94694527692079];4209 N 27TH ST
25;60170019;01/17/2006;02:50 AM;4.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;[43.11191751154121, -87.95609172300767];3426 W VILLARD AV
26;60170085;01/17/2006;11:03 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12007949708581, -87.96339585356932];5636 N 41ST ST
27;60170194;01/17/2006;06:57 PM;4.0;MOTOR VEHICLE THEFT;;;[43.116002413266784, -87.95751286078269];5418 N 36TH ST
28;60170195;01/17/2006;06:57 PM;4.0;MOTOR VEHICLE THEFT;;;[43.116002413266784, -87.95751286078269];5418 N 36TH ST
29;60160077;01/16/2006;10:51 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;MOTOR VEHICLE THEFT;;[43.10540712816209, -87.939208531446];4860 N 22ND ST
30;60160136;01/16/2006;03:53 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11666799417162, -87.9623053607827];5448 N 40TH ST
31;60160138;01/16/2006;03:44 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09671853621105, -87.92844341909516];1405 W CONGRESS ST
32;60160151;01/16/2006;05:06 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10550128494383, -87.9726793018577];4800 N 48TH ST
33;60160199;01/16/2006;09:34 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11480047013695, -87.94806227699232];2801 W CUSTER AV #313
34;60150154;01/15/2006;05:45 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10562683819032, -87.96156110646872];4845 N 39TH ST
