;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
0;62120011;07/31/2006;12:07 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10763383819031, -87.94410162479058];4947 N 25TH ST
1;62120014;07/31/2006;12:07 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10649194983027, -87.9618065965497];3922 W STARK ST
2;62120044;07/31/2006;05:45 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.095077800998325, -87.93922440463977];4238 N 22ND ST
3;62120133;07/31/2006;10:44 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.14874126089018, -87.9622915038393];4008 W GOOD HOPE RD #C
4;62120151;07/31/2006;09:21 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.102133549541236, -87.94672954097155];4661 N 27TH ST
5;62110050;07/30/2006;07:01 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10609361226844, -87.9416301503258];4873 N 24TH ST
6;62110054;07/30/2006;07:14 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10726433527614, -87.96025015422094];4937 N 38TH ST
7;62110058;07/30/2006;06:39 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.11053111518265, -87.93519065032581];5121 N 19TH PL
8;62110086;07/30/2006;11:30 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.091606601348204, -87.9468698831256];4122 N 27TH ST
9;62100045;07/29/2006;02:37 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.109748419095155, -87.94529165753917];5063 N 26TH ST
10;62100048;07/29/2006;05:44 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.1158502828207, -87.956348592042];5411 N 35TH ST
11;62100057;07/29/2006;02:51 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.116226994171626, -87.96346590463978];5426 N 41ST ST
12;62100083;07/29/2006;08:05 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10477916180969, -87.94408286857298];4808 N 25TH ST
13;62100099;07/29/2006;10:32 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10881222009348, -87.96633534967418];5022 N SHERMAN BL
14;62100105;07/29/2006;07:34 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.11563487928768, -87.95553204286524];3430 W CUSTER AV
15;62090006;07/28/2006;12:26 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.124310754371294, -87.95738915032581];5863 N 36TH ST
16;62090057;07/28/2006;09:48 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10472185780042, -87.95918112745089];3700 W HAMPTON AV
17;62090174;07/28/2006;01:31 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10489792200934, -87.96666761036386];4805 N SHERMAN BL
18;62070113;07/26/2006;09:53 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.11939250822297, -87.9656815771826];4240 W SILVER SPRING DR
19;62060037;07/25/2006;05:46 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.12921608964743, -87.95732061368207];6113 N 36TH ST
20;62060053;07/25/2006;08:12 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.089697486005974, -87.93733997155059];2002 W CAPITOL DR
21;62060126;07/25/2006;11:40 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.14845951731226, -87.96503202844941];4225 W GOOD HOPE RD
22;62060218;07/25/2006;05:24 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.092414754371276, -87.94347915364402];4143 N 24TH PL
23;62050120;07/24/2006;01:06 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10882128282071, -87.94039909925536];5023 N 23RD ST
24;62050140;07/24/2006;03:40 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10658928282069, -87.93288859925535];4903 N 18TH ST
25;62050178;07/24/2006;05:45 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10473049321934, -87.97283197446477];4800 W HAMPTON AV #APT1
26;62040045;07/23/2006;02:04 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.11194751875457, -87.96058102553522];3812 W VILLARD AV
27;62030025;07/22/2006;03:53 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.12679365602056, -87.95604429651904];6010 N 35TH ST #205
28;62030091;07/22/2006;10:59 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.11923446826101, -87.95424133236193];3310 W SILVER SPRING DR
29;62030152;07/22/2006;07:22 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.09489788481736, -87.93420385688755];4238 N 19TH ST
30;62040013;07/22/2006;11:20 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.15092546047075, -87.96086983236194];3918 W CLINTON AV
31;62020019;07/21/2006;12:54 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.147856164713374, -87.96429623115968];7163 N 42ND ST
32;62020023;07/21/2006;02:23 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10752449708582, -87.96634534577905];4948 N SHERMAN BL
33;62020106;07/21/2006;11:25 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.10895622009349, -87.96633534967418];5028 N SHERMAN BLVD
34;62000111;07/19/2006;12:12 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.118710994171636, -87.96104341185313];5556 N 39TH ST
35;62000190;07/19/2006;04:38 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12649631793427, -87.951803718335];6000 N TEUTONIA AV
36;61990039;07/18/2006;05:33 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.11799877875657, -87.96225399600053];5532 N 40TH ST
37;61990126;07/18/2006;01:13 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12359900000001, -87.95496966475253];5835 N 34TH ST
38;61970142;07/16/2006;01:38 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10641651933149, -87.95652123685748];3500 W MOTHER DANIELS WA
39;61970151;07/16/2006;01:01 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.1082354884588, -87.96389416763806];4101 W FAIRMOUNT AV
40;61970166;07/16/2006;09:46 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.094555664723885, -87.93185483524746];4230 N 17TH ST
41;61960026;07/15/2006;04:13 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.09241987705574, -87.92443329805548];4136 N GREEN BAY AV
42;61960157;07/15/2006;05:44 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12844865889551, -87.95968538631791];6080 N 38TH ST
