;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
0;63040015;10/31/2006;01:40 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.1181435961683, -87.95061082168611];5555 N TEUTONIA AV #8
1;63040042;10/31/2006;07:42 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.117668838190326, -87.95265965032581];5511 N 32ND ST
2;63040071;10/31/2006;10:04 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.11902131792482, -87.95513937718404];3401 W SILVER SPRING DR
3;63040111;10/31/2006;12:13 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11071163205598, -87.94025341645055];5144 N 23RD ST
4;63030121;10/30/2006;12:35 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10773166472387, -87.9713663280341];4954 N 47TH ST
5;63030144;10/30/2006;02:07 PM;7.0;THEFT FROM BUILDING;;;;[43.1106659686364, -87.95640389843696];5150 N 35TH ST
6;63030159;10/30/2006;03:17 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10720899417163, -87.94526535356933];4924 N 26TH ST
7;63010099;10/28/2006;10:35 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10025101750461, -87.95179029677217];3100 W ATKINSON AV
8;63010134;10/28/2006;01:24 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10599505245543, -87.94277235356932];4870 N 24TH PL
9;63000060;10/27/2006;09:46 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11183150678067, -87.95431391909516];3311 W VILLARD AV
10;63000074;10/27/2006;10:23 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.11183150678067, -87.95431391909516];3311 W VILLARD AV
11;63000122;10/27/2006;02:55 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11188648124544, -87.9620715];3919 W VILLARD AV
12;63000124;10/27/2006;03:04 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.131222546742606, -87.96017219608748];3815 W DOUGLAS AV
13;63000867;10/27/2006;02:45 PM;7.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;[43.09195370541446, -87.93947897292767];2201 W ATKINSON AV
14;62990142;10/26/2006;04:40 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.1289214565756, -87.96005983236194];3814 W KAUL AV
15;62980046;10/25/2006;07:45 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10930607799065, -87.95643385688754];5048 N 35TH ST
16;62980147;10/25/2006;02:50 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.121186161261434, -87.95079562080947];5712 N TEUTONIA AV
17;62980148;10/25/2006;02:50 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.121186161261434, -87.95079562080947];5712 N TEUTONIA AV
18;62960052;10/23/2006;08:58 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.12824016426829, -87.96524173454429];4237 W MONROVIA WA
19;62960092;10/23/2006;10:57 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.122365329447746, -87.96335535356933];5740 N 41ST ST
20;62960143;10/23/2006;02:19 PM;4.0;THEFT FROM BUILDING;;;;[43.14490939607009, -87.9657196031505];7001 N 43RD ST #2
21;62960161;10/23/2006;06:03 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11316000582838, -87.95886913200395];5255 N 37TH ST
22;62950106;10/22/2006;04:01 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11480047013695, -87.94806227699232];2801 W CUSTER AV
23;62950156;10/22/2006;08:12 PM;7.0;THEFT FROM MOTOR VEHICLE;ALL OTHER LARCENY;;;[43.10447646047076, -87.93760008090484];2014 W HAMPTON AV
24;62940065;10/21/2006;08:41 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09310677990652, -87.94345909925535];4215 N 24TH PL
25;62940069;10/21/2006;09:07 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10468066522991, -87.95902620673687];4800 N 37TH ST
26;62940110;10/21/2006;12:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10844232944774, -87.9713548607827];5000 N 47TH ST
27;62920086;10/19/2006;12:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09146349437317, -87.93544202983439];1900 W FIEBRANTZ AV
28;62920116;10/19/2006;02:52 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09071191035258, -87.94566237131427];4060 N 26TH ST
29;62920142;10/19/2006;04:59 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.089892468520816, -87.93625382763007];1960 W ATKINSON AV
30;62920205;10/19/2006;09:58 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.110251664723876, -87.96631482024382];5120 N SHERMAN BL
31;62910100;10/18/2006;12:26 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.09124467055227, -87.94089913921731];4069 N 23RD ST
32;62900053;10/17/2006;11:07 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.08954196061931, -87.92836645869438];1400 W CAPITOL DR
33;62890081;10/16/2006;10:02 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10661574854291, -87.97260233524747];4904 N 48TH ST
34;62890207;10/16/2006;05:42 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.12617241326677, -87.95850588963614];5970 N 37TH ST
35;62880013;10/15/2006;01:12 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10814616763807, -87.97023965753918];4977 N 46TH ST
36;62880206;10/15/2006;08:47 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.11900169484153, -87.94655344044476];2725 W SILVER SPRING DR
37;62870048;10/14/2006;08:12 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10118826836532, -87.93567921386108];1967 W PURDUE ST
38;62870067;10/14/2006;11:07 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09664436663974, -87.92931012479058];4381 N 15TH ST
39;62860074;10/13/2006;10:46 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.104351303679, -87.94420882644931];2501 W HAMPTON AV
40;62860090;10/13/2006;11:46 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10037832944775, -87.94049641185313];4568 N 23RD ST
41;62860206;10/13/2006;11:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10473345715252, -87.97210357660568];4720 W HAMPTON AV
42;62850029;10/12/2006;09:02 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09550524504624, -87.9420840279298];2400 W ROOSEVELT DR
43;62850093;10/12/2006;02:24 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10127967055226, -87.94171759925536];4623 N 24TH ST
44;62850101;10/12/2006;03:05 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.089832486005974, -87.944202];2462 W CAPITOL DR
45;62840097;10/11/2006;11:59 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.096444575624716, -87.9440163122224];4360 N 25TH ST
46;62840102;10/11/2006;12:12 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10889367055225, -87.97142008814687];5029 N 47TH ST
47;62840157;10/11/2006;03:28 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10802058673323, -87.93804763200394];4969 N 21ST ST
48;62840183;10/11/2006;05:22 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09083953427779, -87.93567859925535];4053 N 19TH PL
49;62840258;10/11/2006;09:26 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.093197031363616, -87.945670569825];4223 N 26TH ST #UPPER
50;62830114;10/10/2006;01:38 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09452975437128, -87.94342857372014];4283 N 24TH PL
51;62830121;10/10/2006;02:17 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.092719863725534, -87.934330092042];4149 N 19TH ST
52;62830124;10/10/2006;02:38 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.115201245628725, -87.9599439190665];5364 N 38TH ST
53;62820067;10/09/2006;10:28 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09085767055225, -87.9409081392173];4051 N 23RD ST
54;62820078;10/09/2006;11:04 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09683245325738, -87.93107113627445];1614 W CONGRESS ST
55;62820105;10/09/2006;12:28 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10823248124546, -87.96113002553523];3829 W FAIRMOUNT AV
56;62820112;10/09/2006;01:08 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09302003184242, -87.95624832387627];3450 W HOPKINS ST
57;62820194;10/09/2006;05:33 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09472711518265, -87.934280592042];4227 N 19TH ST
58;62810025;10/08/2006;03:15 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10472185780042, -87.95918112745089];3700 W HAMPTON AV
59;62810056;10/08/2006;08:10 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11300638773156, -87.95146239353127];5250 N 31ST ST
60;62810062;10/08/2006;08:36 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV
61;62810132;10/08/2006;02:33 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11191751154121, -87.95598283236194];3422 W VILLARD AV
62;62810136;10/08/2006;07:33 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.1005145022593, -87.95169460621125];4556 N 31ST ST
63;62810181;10/08/2006;06:35 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11884669608747, -87.95993015753918];5565 N 38TH ST
64;62810204;10/08/2006;10:20 PM;4.0;THEFT FROM BUILDING;;;;[43.12257305245544, -87.96097638963613];5754 N 39TH ST
65;62800073;10/07/2006;11:09 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.11198627470808, -87.95772177470806];3600 W VILLARD AV
66;62800076;10/07/2006;11:14 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.0913690244387, -87.92439418318996];1030 W FIEBRANTZ AV
67;62800100;10/07/2006;12:28 PM;4.0;SIMPLE ASSAULT;THEFT FROM BUILDING;;;[43.11348286372555, -87.96006163200394];5271 N 38TH ST
68;62790029;10/06/2006;01:46 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.14490446047075, -87.95850397446478];3800 W KILEY AV
69;62790065;10/06/2006;09:17 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.1082975004327, -87.96363283236194];4030 W FAIRMOUNT AV
70;62790074;10/06/2006;10:00 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10746216763806, -87.97023868307438];4945 N 46TH ST
71;62790117;10/06/2006;01:10 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11476924562871, -87.9599529190665];5344 N 38TH ST
72;62790142;10/06/2006;03:47 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11241075876579, -87.95156530421556];5231 N 31ST ST
73;62790150;10/06/2006;04:20 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.14123447157924, -87.95547972300767];3432 W GREEN TREE RD
74;62780085;10/05/2006;11:52 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.15455243020368, -87.95845714455568];7528 N TEUTONIA AV
75;62780148;10/05/2006;05:53 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.125173395973796, -87.9661135584092];5910 N SHERMAN BL
76;62780196;10/05/2006;09:04 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10443948600596, -87.93462247446477];1912 W HAMPTON AV
77;62770143;10/04/2006;04:26 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.09328425088613, -87.93463249535006];1924 W HOPE AV
78;62760024;10/03/2006;01:38 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.11892854674261, -87.93923352844942];2209 W SILVER SPRING DR
79;62760059;10/03/2006;09:47 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.090325580904846, -87.94938638184585];4030 N 29TH ST
80;62760186;10/03/2006;06:48 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11304082653356, -87.94764593738836];5254 N 28TH ST
81;62770012;10/03/2006;11:56 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;THEFT FROM MOTOR VEHICLE;;;[43.13647702608348, -87.95377805834111];6533 N TEUTONIA AV
82;62750010;10/02/2006;12:43 AM;4.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;[43.13239520289208, -87.95260963880092];6350 N TEUTONIA AV
83;62750046;10/02/2006;08:15 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.117356532315895, -87.96063149999999];3821 W SHERIDAN AV
84;62750238;10/02/2006;10:45 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.096567547844906, -87.94621619755614];2643 W ATKINSON AV
85;62750242;10/02/2006;11:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09473788031094, -87.94353742796297];2463 W ATKINSON AV
