;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;100900045;03/31/2010;10:28 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.102869138716635, -87.93541801698935];4717 N 19TH PL
1;100900077;03/31/2010;01:13 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10764149708581, -87.96634534577905];4954 N SHERMAN BL
2;100900103;03/31/2010;03:56 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.096769161809675, -87.94923435356932];4370 N 29TH ST
3;100890022;03/30/2010;08:07 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.117988573691484, -87.96342532082075];5522 N 41ST ST
4;100890048;03/30/2010;11:50 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.089937670213466, -87.9470507731148];2700 W CAPITOL DR
5;100890052;03/30/2010;12:15 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08996234300251, -87.94951463128002];2900 W CAPITOL DR
6;100890062;03/30/2010;01:07 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12081830391253, -87.96101238963614];5676 N 39TH ST
7;100890080;03/30/2010;02:40 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.091595170469255, -87.9398187268607];4100 N TEUTONIA AV
8;100890124;03/30/2010;06:43 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.104616519331486, -87.95356344601535];3200 W HAMPTON AV
9;100880020;03/29/2010;07:36 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.095987838190325, -87.94814007372014];4333 N 28TH ST
10;100880038;03/29/2010;08:59 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09919710796927, -87.94919863200396];4505 N 29TH ST
11;100880049;03/29/2010;10:20 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09361086372556, -87.94690910646872];4245 N 27TH ST
12;100880069;03/29/2010;11:40 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09582489344436, -87.94130319721265];2316 W ROOSEVELT DR
13;100880077;03/29/2010;12:17 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10791300582838, -87.95777007372014];4971 N 36TH ST
14;100880100;03/29/2010;02:02 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10094012294427, -87.93364176022833];4619 N 19TH ST
15;100880103;03/29/2010;02:21 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090334298084144, -87.93433247013695];4028 N 19TH ST
16;100880107;03/29/2010;02:49 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10242605522539, -87.9329808988687];4695 N 18TH ST
17;100880155;03/29/2010;06:43 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12800092843041, -87.96359917258397];6082 N 41ST ST
18;100870041;03/28/2010;06:38 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10112153595123, -87.93506147527283];4624 N 19TH PL
