;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;140600092;03/01/2014;08:42 PM;3;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.045861506780675, -87.95541077699232];3311 W JUNEAU AV #1
1;140600072;03/01/2014;03:59 PM;4;SIMPLE ASSAULT;;;;;[43.13627796560664, -88.03549501148387];9900 W FOND DU LAC AV #8
2;140600063;03/01/2014;03:33 PM;2;SIMPLE ASSAULT;;;;;[43.01132453318129, -87.94479116472387];2438 W MAPLE ST
3;140600099;03/01/2014;10:40 PM;3;SIMPLE ASSAULT;;;;;[43.03135846840618, -87.93513344445749];1721 W CANAL ST
4;140600074;03/01/2014;04:44 PM;6;SIMPLE ASSAULT;;;;;[42.981157542847484, -87.9661114417162];4117 W MORGAN AV #3
5;140600067;03/01/2014;03:48 PM;2;SIMPLE ASSAULT;;;;;[43.000262592273145, -87.93314226920204];1581 W WINDLAKE AV
6;140600071;03/01/2014;04:43 PM;6;SIMPLE ASSAULT;;;;;[42.96771033527614, -87.90541547013694];4222 S JASPER AV
7;140600093;03/01/2014;09:55 PM;6;SIMPLE ASSAULT;;;;;[42.983919000000014, -87.91439907372015];3291 S 3RD ST
8;140900138;03/31/2014;08:10 PM;5;SIMPLE ASSAULT;;;;;[43.08968542367896, -87.93447803499687];1900 W CAPITOL DR
9;140900151;03/31/2014;09:14 PM;5;SIMPLE ASSAULT;;;;;[43.09613205938033, -87.94013990492823];2221 W ROOSEVELT DR
10;140890160;03/30/2014;09:36 PM;7;SIMPLE ASSAULT;;;;;[43.106905005828395, -87.94659815032581];4925 N 27TH ST
11;140880006;03/28/2014;11:45 PM;4;SIMPLE ASSAULT;;;;;[43.15079344233813, -87.95798544527007];3729 W CLINTON AV
12;140850027;03/26/2014;08:04 AM;5;SIMPLE ASSAULT;;;;;[43.0989344851406, -87.94639205398464];2621 W RUBY AV
13;140850044;03/26/2014;09:15 AM;5;SIMPLE ASSAULT;;;;;[43.098996518754554, -87.9460509970858];2612 W RUBY AV
14;140840017;03/25/2014;07:49 AM;4;SIMPLE ASSAULT;;;;;[43.13067211039516, -87.96380137679255];4105 W DOUGLAS AV
15;140830007;03/24/2014;01:22 AM;4;SIMPLE ASSAULT;;;;;[43.1460861448728, -87.95725753499894];7057 N 37TH ST
16;140830012;03/24/2014;05:44 AM;4;SIMPLE ASSAULT;;;;;[43.12639732944774, -87.96327638631792];5970 N 41ST ST
17;140820034;03/23/2014;09:58 AM;4;SIMPLE ASSAULT;;;;;[43.14577886649552, -87.95604791023702];7039 N TEUTONIA AV #4
18;140810096;03/22/2014;01:54 PM;7;SIMPLE ASSAULT;;;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
19;140800065;03/21/2014;12:53 PM;5;SIMPLE ASSAULT;;;;;[43.08975009313788, -87.93772791645347];2012 W CAPITOL DR
20;140790114;03/20/2014;04:22 PM;7;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.11020736663974, -87.95159059925535];5119 N 31ST ST
21;140800001;03/20/2014;11:36 PM;5;SIMPLE ASSAULT;;;;;[43.097282685267444, -87.9449490957356];4414 N 26TH ST
22;140770124;03/18/2014;02:00 PM;7;SIMPLE ASSAULT;;;;;[43.09075529468899, -87.95566448312009];4050 N 34TH ST
23;140770180;03/18/2014;10:35 PM;5;SIMPLE ASSAULT;;;;;[43.101223742714524, -87.95294386799604];4614-B N 32ND ST
24;140750127;03/16/2014;10:34 PM;4;SIMPLE ASSAULT;;;;;[43.124492474032095, -87.94682108381903];2719 W BOBOLINK AV
25;140730092;03/14/2014;04:06 PM;5;SIMPLE ASSAULT;;;;;[43.10132452510255, -87.94569002262104];2605 W VICTORY LA
26;140720038;03/13/2014;10:45 AM;5;SIMPLE ASSAULT;;;;;[43.093176539529246, -87.93551351500363];1941 W HOPE AV #4
27;140710041;03/12/2014;09:43 AM;7;SIMPLE ASSAULT;;;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
28;140710122;03/12/2014;07:11 PM;4;SIMPLE ASSAULT;;;;;[43.11262833527613, -87.95521963200395];5233-A N 34TH ST
29;140700018;03/11/2014;05:36 AM;4;SIMPLE ASSAULT;;;;;[43.12174575437129, -87.95259163200394];5733 N 32ND ST
30;140700048;03/11/2014;11:07 AM;5;SIMPLE ASSAULT;;;;;[43.09240438190318, -87.92815643738835];4144 N 14TH ST
31;140690013;03/10/2014;01:09 AM;4;SIMPLE ASSAULT;;;;;[43.11469012101102, -87.95400950432783];5343 N 33RD ST
32;140680123;03/09/2014;10:06 PM;5;SIMPLE ASSAULT;;;;;[43.10343900000001, -87.94905638631792];4742 N 29TH ST
33;140670037;03/08/2014;06:41 AM;7;SIMPLE ASSAULT;;;;;[43.11193247735032, -87.97227244463038];4725 W VILLARD AV
34;140670114;03/08/2014;08:15 PM;4;SIMPLE ASSAULT;;;;;[43.11923446826101, -87.95424133236193];3310 W SILVER SPRING DR #7
35;140660069;03/07/2014;01:38 PM;7;SIMPLE ASSAULT;;;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
36;140630073;03/04/2014;03:36 PM;5;SIMPLE ASSAULT;;;;;[43.10101237018295, -87.9479958526664];4609 N 28TH ST
37;140610017;03/02/2014;07:05 AM;7;SIMPLE ASSAULT;;;;;[43.109613922009345, -87.96020907372014];5061 N 38TH ST
38;140870012;03/28/2014;01:25 AM;7;SIMPLE ASSAULT;;;;;[43.09866883236194, -87.99183639353127];4464 N 64TH ST
39;140870150;03/28/2014;09:49 PM;7;SIMPLE ASSAULT;;;;;[43.10389872300769, -88.00197965032581];4741 N 72ND ST
40;140860017;03/27/2014;12:44 AM;4;SIMPLE ASSAULT;;;;;[43.121681664723866, -88.00968233524746];5708 N 79TH ST
41;140860025;03/27/2014;04:18 AM;7;SIMPLE ASSAULT;;;;;[43.104815488458826, -87.99819410505508];6909 W HAMPTON AV #1
42;140850007;03/26/2014;12:12 AM;7;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.11114764112025, -88.02153603345633];5151 N 87TH ST #9
43;140830054;03/24/2014;12:29 PM;4;SIMPLE ASSAULT;;;;;[43.12035036663974, -88.03088157372014];5639 N 95TH ST #2
44;140820078;03/23/2014;03:47 PM;7;SIMPLE ASSAULT;;;;;[43.089145994171616, -87.98818388631791];3944 N 61ST ST
45;140820099;03/23/2014;06:44 PM;4;SIMPLE ASSAULT;;;;;[43.123026467734114, -88.02596342746591];9103 W CARMEN AV
46;140810005;03/22/2014;12:09 AM;7;SIMPLE ASSAULT;;;;;[43.09198342492354, -87.99078860646873];4103 N 63RD ST
47;140850047;03/21/2014;01:12 PM;4;SIMPLE ASSAULT;;;;;[43.12052927699233, -87.99852118307439];5641 N 70TH ST
48;140770169;03/18/2014;09:59 PM;4;SIMPLE ASSAULT;;;;;[43.123480478792594, -88.02395974854291];8924 W CARMEN AV #2
49;140750001;03/16/2014;12:11 AM;4;SIMPLE ASSAULT;;;;;[43.12046800582837, -87.99232009925535];5643 N 65TH ST
50;140730124;03/14/2014;08:03 PM;4;SIMPLE ASSAULT;;;;;[43.12016899417162, -87.99225288242278];5632-A N 65TH ST
51;140730127;03/14/2014;07:51 PM;4;SIMPLE ASSAULT;;;;;[43.12172894728478, -88.01675541323812];8500 W FOND DU LAC AV #5
52;140720023;03/13/2014;06:49 AM;4;SIMPLE ASSAULT;;;;;[43.11926236233169, -88.00150344148558];7239 W SILVER SPRING DR #4
53;140710024;03/12/2014;06:35 AM;4;SIMPLE ASSAULT;BURGLARY/BREAKING AND ENTERING;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;[43.1176355323159, -88.01361];8175 W MEDFORD AV #2
54;140700013;03/11/2014;02:55 AM;4;SIMPLE ASSAULT;;;;;[43.12290343297363, -88.0307064190665];5772 N 95TH ST #2
55;140690097;03/10/2014;03:10 PM;7;SIMPLE ASSAULT;;;;;[43.110504586733214, -87.98870863200395];5129 N 62ND ST
56;140670026;03/08/2014;03:56 AM;7;SIMPLE ASSAULT;;;;;[43.100483677505814, -87.98952088868384];6222 W FOND DU LAC AV
57;140670039;03/08/2014;08:42 AM;4;SIMPLE ASSAULT;;;;;[43.11833431163405, -87.99142361646551];6433 W SHERIDAN AV
58;140670041;03/08/2014;08:50 AM;4;SIMPLE ASSAULT;;;;;[43.118462474032086, -88.02867141618097];9305 W SHERIDAN AV
59;140660034;03/07/2014;08:19 AM;4;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.13388152842076, -88.02158302553522];8739 W MILL RD #8
