;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;151810092;06/30/2015;12:24 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09302003184242, -87.95624832387627];3450 W HOPKINS ST
1;151800098;06/29/2015;12:38 PM;5.0;THEFT FROM BUILDING;;;[43.0956709000808, -87.93934823123065];4313 N 22ND ST
2;151760175;06/25/2015;10:02 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.120645658895484, -87.95740486078269];5662 N 36TH ST
3;151750134;06/24/2015;07:45 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.11820777990653, -87.92646861368208];5537 N 13TH ST
4;151750152;06/24/2015;07:30 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09739961226845, -87.93946115032581];4415 N 22ND ST
5;151740082;06/23/2015;10:18 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09058722009348, -87.94343389684948];4038 N 24TH PL
6;151740087;06/23/2015;01:50 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.093132658895485, -87.93188544460172];4172 N 17TH ST
7;151730118;06/22/2015;01:47 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.119030681503666, -87.95682272759502];3501 W SILVER SPRING DR
8;151730145;06/22/2015;03:52 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.093078491257444, -87.93930293738836];4148 N 22ND ST
9;151730178;06/22/2015;05:50 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10732046047074, -87.95195172300768];3106 W CAMERON AV
10;151720129;06/21/2015;07:09 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.1057508687172, -87.9605154876794];4855 N HOPKINS ST
11;151720134;06/21/2015;07:29 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.12371947013694, -87.95016386081134];3009 W ORIOLE DR
12;151710035;06/20/2015;07:49 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.11541433415096, -87.93759321123534];5397 N LONG ISLAND DR
13;151700101;06/19/2015;12:52 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09392678573491, -87.93816807372015];4195 N 21ST ST
14;151690070;06/18/2015;09:58 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.12566954675299, -87.96605510920074];5942 N SHERMAN BL
15;151690131;06/18/2015;03:52 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.14866950548168, -87.96101111365341];3924 W GOOD HOPE RD
16;151680027;06/17/2015;06:39 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.123112779906506, -87.95377160646872];5813 N 33RD ST
17;151680031;06/17/2015;07:57 AM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.09309763336026, -87.92936341185313];4172 N 15TH ST
18;151680034;06/17/2015;08:17 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.109135779906524, -87.95284962479059];5041 N 32ND ST
19;151680052;06/17/2015;11:51 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09565595002608, -87.9411403823072];2311 W ROOSEVELT DR
