;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;162100091;07/28/2016;09:24 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11714613627447, -87.9586963607827];5470 N 37TH ST
1;162080082;07/26/2016;12:54 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11971020791698, -87.95046774534974];5600 N TEUTONIA AV
2;162070020;07/25/2016;03:32 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095213115182645, -87.935531592042];4249 N 19TH PL
3;162070170;07/25/2016;09:16 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10796683819032, -87.94408812479058];4963 N 25TH ST
4;162060076;07/24/2016;11:59 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.099866586733214, -87.95049162479059];4539 N 30TH ST
5;162060086;07/24/2016;01:56 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09596774271452, -87.92926343738836];4346 N 15TH ST
6;162010034;07/19/2016;01:54 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111878539529265, -87.95761152844942];3535 W VILLARD AV
7;162010128;07/19/2016;07:17 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.106536652316585, -87.9615612541799];4909 N 39TH ST
8;162000028;07/18/2016;04:02 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11418469608748, -87.95519916475253];5317 N 34TH ST
9;161980142;07/16/2016;09:28 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11513615932817, -87.93711200542435];2020 W CUSTER AV
10;161970105;07/15/2016;05:33 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089887460470756, -87.94649322300768];2620 W CAPITOL DR
11;161960069;07/14/2016;01:00 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.130230910352594, -87.9583858607827];6162 N 37TH ST
12;161940123;07/13/2016;08:46 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12801699417162, -87.9608923607827];6060 N 39TH ST
13;161950155;07/13/2016;09:30 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09407896863641, -87.94453440463978];4260 N 25TH ST
14;161930016;07/10/2016;07:43 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.127677341104516, -87.95978810646872];6043 N 38TH ST
15;161900067;07/08/2016;01:44 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.096882793019155, -87.93113714900285];1612 W CONGRESS ST
16;161880069;07/06/2016;12:03 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12649631793427, -87.951803718335];6000 N TEUTONIA AV
17;161880137;07/06/2016;06:15 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08985048600596, -87.94537164308379];2522 W CAPITOL DR
18;161880207;07/06/2016;10:05 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090477994171636, -87.92698388631791];4046 N 13TH ST
19;161870081;07/05/2016;01:01 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12408505245543, -87.96094283524747];5852 N 39TH ST
20;161850045;07/03/2016;06:30 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.101034354434724, -87.93094378654294];4624 N PARKWAY AV
21;162100144;07/28/2016;09:23 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.059991717289215, -87.9819916768059];2251 N 55TH ST
22;162070028;07/25/2016;06:08 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04961140218694, -87.98348852928613];5602 W VLIET ST
23;162070046;07/25/2016;09:35 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05300448600596, -87.97503133236194];4906 W WASHINGTON BL
24;162060035;07/24/2016;07:40 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.037203452680465, -87.96436531845481];546 N 40TH ST
25;162060122;07/24/2016;05:24 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03424017929484, -87.96396399567216];318 N 40TH ST
26;162050040;07/23/2016;07:43 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06800951875454, -87.97819147446477];5120 W CENTER ST
27;162040169;07/22/2016;09:46 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.036977489035735, -87.96438868875853];533 N 40TH ST
28;162020110;07/20/2016;05:13 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.071840335276136, -87.97976910257358];2911 N 53RD ST
29;162010076;07/19/2016;01:50 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07460333527612, -87.9797375809335];3051 N 53RD ST
30;162010104;07/19/2016;03:05 PM;7.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.073474483841586, -87.9761812590745];5000 W CHAMBERS ST
31;161990007;07/16/2016;11:14 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03971848845882, -87.97738058381903];5031 W WELLS ST
32;161960026;07/14/2016;05:40 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07997863563929, -87.995948164465];6700 W APPLETON AV #340
33;161960029;07/14/2016;05:45 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.086375586733226, -87.99717109925535];3801 N 68TH ST
34;161960067;07/14/2016;11:32 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07997863563929, -87.995948164465];6700 W APPLETON AV #323
35;161960124;07/14/2016;07:19 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08188857366268, -87.9872781074032];3435 N 60TH ST
36;161950030;07/13/2016;03:31 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08543849708582, -87.99206589353128];3744 N 64TH ST
37;161960007;07/13/2016;02:00 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07357046047074, -87.995331];6646 W CHAMBERS ST
38;161930103;07/11/2016;01:02 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06912283819031, -87.9798500809335];2753 N 53RD ST
39;161910061;07/09/2016;11:50 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06942786372554, -87.97747760646872];2767 N 51ST ST
40;161890040;07/07/2016;08:36 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.081773914795995, -87.99496657923139];3434 N 67TH ST
41;161880059;07/06/2016;11:16 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07415375437128, -87.9785810809335];3029 N 52ND ST
42;161850147;07/03/2016;05:47 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03153200447205, -88.00738005770594];135 N 76TH ST
43;161840093;07/02/2016;03:34 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.02735283236194, -87.99494007372014];417 S 66TH ST
44;161840114;07/02/2016;05:42 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03534148124546, -87.986223];5903 W ST PAUL AV
45;161840120;07/02/2016;05:07 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03204252510253, -87.99563042048013];6637 W STEVENSON ST
46;161870159;07/02/2016;07:47 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.026453502914194, -87.99243956650677];521 S 64TH ST
47;162130118;07/31/2016;07:03 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97223775437129, -87.98676904818491];3973 S 58TH ST
48;162120093;07/30/2016;04:11 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98489091248832, -87.94843751889785];3355 S 27TH ST
49;162080044;07/26/2016;06:11 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.99993206356392, -87.97328582041672];4750 W SUMAC PL
50;162080099;07/26/2016;02:46 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.984771504327846, -87.99225299999999];6408 W OHIO AV
51;162070084;07/25/2016;01:48 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.982712276992316, -87.94702054818492];3413 S 26TH ST
52;162060070;07/24/2016;12:43 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97901475437129, -88.02635801543633];3601 S 91ST ST
53;162060102;07/24/2016;01:21 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.99648748514059, -87.99715385068379];6751 W WICK PL
54;162030088;07/21/2016;03:15 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98489091248832, -87.94843751889785];3355 S 27TH ST
55;162010117;07/19/2016;06:19 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98453499599454, -87.95229865136133];3330 S 30TH ST
56;162000079;07/18/2016;01:25 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.988450528420756, -87.95767008090483];3425 W OKLAHOMA AV
57;161860006;07/04/2016;01:07 AM;2.0;MOTOR VEHICLE THEFT;;;;;[42.99938945325738, -87.95771116763807];3426 W ARTHUR AV
58;162130128;07/31/2016;08:19 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.017039511541185, -87.93575150291419];1800 W GREENFIELD AV
59;162120124;07/30/2016;08:08 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01451443378167, -87.93562948678536];1570 S MUSKEGO AV
