;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;162140048;08/01/2016;09:44 AM;7;ROBBERY;;;;;[43.105146265992886, -88.00666376599287];7600 W HAMPTON AV
1;162130142;08/01/2016;12:08 AM;4;ROBBERY;;;;;[43.11359531133253, -88.04144134734213];5251 N 103RD ST
2;162140014;08/01/2016;02:51 AM;5;ROBBERY;BURGLARY/BREAKING AND ENTERING;;;;[43.08121761226846, -87.93971107703837];3403 N 22ND ST #LWR
3;162140047;08/01/2016;09:19 AM;5;ROBBERY;;;;;[43.07707794754458, -87.92867863200395];3215 N 14TH ST
4;162140080;08/01/2016;01:57 PM;5;ROBBERY;;;;;[43.08399664413426, -87.92339957332364];1000 W ATKINSON AV
5;162140164;08/01/2016;09:50 PM;5;ROBBERY;;;;;[43.07208645657562, -87.93188172300768];1540 W GROELING AV
6;162090147;08/01/2016;11:25 PM;7;ROBBERY;;;;;[43.07695679558466, -87.96432801591217];3198 N 41ST ST
7;162140127;08/01/2016;06:10 PM;2;ROBBERY;;;;;[43.00493965641398, -87.94151358647342];2166 W FOREST HOME AV
8;162140094;08/01/2016;11:14 AM;4;ROBBERY;;;;;[43.13428830314553, -88.00597980314554];7600 W MILL RD
9;162440009;08/31/2016;01:41 AM;5;ROBBERY;;;;;[43.09520419900167, -87.93060162479058];4309 N 16TH ST
10;162430160;08/30/2016;09:01 PM;5;ROBBERY;;;;;[43.09141519900166, -87.94571809925536];4071 N 26TH ST
11;162420028;08/29/2016;02:20 AM;5;ROBBERY;;;;;[43.09807583819031, -87.94927857372015];4441 N 29TH ST
12;162420043;08/29/2016;06:10 AM;5;ROBBERY;;;;;[43.09394156616094, -87.941241053522];4245 N TEUTONIA AV
13;162400109;08/27/2016;06:16 PM;4;ROBBERY;;;;;[43.11903241805093, -87.9569651244706];3525 W SILVER SPRING DR
14;162400129;08/27/2016;09:26 PM;4;ROBBERY;;;;;[43.11189757084524, -87.94907216998793];2908 W VILLARD AV
15;162390015;08/26/2016;01:18 AM;5;ROBBERY;;;;;[43.096282491257426, -87.92803591185313];4360 N 14TH ST
16;162390148;08/26/2016;07:44 PM;5;ROBBERY;;;;;[43.09872041297831, -87.94368145922999];4481 N TEUTONIA AV
17;162380204;08/25/2016;10:58 PM;7;ROBBERY;;;;;[43.10762413627447, -87.93519286078269];4950 N 19TH PL
18;162370135;08/24/2016;06:56 PM;4;ROBBERY;;;;;[43.11689396863639, -87.96344234635598];5456 N 41ST ST
19;162360041;08/23/2016;08:23 AM;4;ROBBERY;;;;;[43.11190904974128, -87.95041763625309];3030 W VILLARD AV
20;162360073;08/23/2016;03:30 PM;4;ROBBERY;;;;;[43.117441983651766, -87.9552868239774];3414 W SHERIDAN AV
21;162350008;08/22/2016;12:04 AM;7;ROBBERY;;;;;[43.11155211755289, -87.95647928979756];5185 N 35TH ST
22;162350032;08/22/2016;03:25 AM;5;ROBBERY;BURGLARY/BREAKING AND ENTERING;;;;[43.089937670213466, -87.9470507731148];2700 W CAPITOL DR
23;162350032;08/22/2016;03:25 AM;5;ROBBERY;;;;;[43.089937670213466, -87.9470507731148];2700 W CAPITOL DR
24;162340046;08/21/2016;08:37 AM;5;ROBBERY;;;;;[43.095933031363614, -87.94685763589908];4331 N 27TH ST
25;162320008;08/19/2016;12:09 AM;4;ROBBERY;;;;;[43.126661074873624, -87.96599539543284];6000 N SHERMAN BL #1
26;162320072;08/19/2016;12:11 PM;5;ROBBERY;;;;;[43.08980646047076, -87.94221322009349];2400 W CAPITOL DR
27;162320129;08/19/2016;05:23 PM;5;ROBBERY;;;;;[43.101602161809694, -87.95037287520941];4632 N 30TH ST
28;162320155;08/19/2016;09:30 PM;5;ROBBERY;;;;;[43.101876462195314, -87.94661567649888];2602 W CORNELL ST
