;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;50900091;03/31/2005;01:05 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.094195800998335, -87.93055591185313];4212 N 16TH ST
1;50870177;03/28/2005;06:09 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10640296667449, -87.95163912479057];4875 N 31ST ST
2;50870179;03/28/2005;06:09 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10640296667449, -87.95163912479057];4875 N 31ST ST
3;50850057;03/26/2005;02:35 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12197841326679, -87.95612236078269];5724 N 35TH ST
4;50850133;03/26/2005;01:54 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.089892468520816, -87.93625382763007];1960 W ATKINSON AV
5;50850165;03/26/2005;05:20 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09449286372555, -87.94688913589908];4275 N 27TH ST
6;50830018;03/24/2005;01:24 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10676007620031, -87.94784234759939];4925 N TEUTONIA AV
7;50820033;03/23/2005;08:00 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0938529476583, -87.92822698422184];1400 W OLIVE ST
8;50820048;03/23/2005;08:00 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11653033415096, -87.93864621123535];5465 N LONG ISLAND DR
9;50820089;03/23/2005;10:57 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.099044713177115, -87.92818226771422];4500 N GREENBAY RD
10;50810120;03/22/2005;11:43 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12166403136362, -87.95986813200395];5707 N 38TH ST
11;50810212;03/22/2005;08:08 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10834644608032, -87.93754342933424];2020 W FAIRMOUNT AV
12;50800029;03/21/2005;05:40 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09762497726339, -87.93758480365271];2014 W ROOSEVELT DR
13;50790068;03/20/2005;09:14 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12547077990652, -87.96218809925536];5929 N 40TH ST
14;50780067;03/19/2005;09:21 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1305549103526, -87.95720536799604];6176 N 36TH ST
15;50780175;03/19/2005;09:00 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10712048237063, -87.94799403583565];4933 N TEUTONIA AV #APT2
16;50770126;03/18/2005;04:54 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.100125678067464, -87.94429696137578];4552 N TEUTONIA AV
