Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
051510029;05/31/2005;07:34 AM;;ALL OTHER LARCENY;;;;;1301 W HAMPTON AV
051510039;05/31/2005;07:48 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5218 N 42ND ST
051510043;05/31/2005;07:20 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5930 N 35TH ST
051510059;05/31/2005;09:56 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4006 W THURSTON AV
051510064;05/31/2005;07:59 AM;4.0;ALL OTHER LARCENY;;;;;7290 N TEUTONIA AV
051510066;05/31/2005;10:27 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5565 N 40TH ST
051510074;05/31/2005;10:11 AM;7.0;MOTOR VEHICLE THEFT;;;;;4608 N 30TH ST
051510096;05/31/2005;12:43 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3737 W CHEYENNE ST
051510105;05/31/2005;11:42 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5041 N 27TH ST
051510183;05/31/2005;04:59 PM;7.0;ALL OTHER LARCENY;;;;;4574 N 26TH ST
051510194;05/31/2005;06:31 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2422 W CAPITOL DR
051510198;05/31/2005;07:19 PM;7.0;SIMPLE ASSAULT;;;;;4748 N 30TH ST
051510214;05/31/2005;06:27 PM;7.0;ROBBERY;;;;;2601 W HAMPTON AV
051510230;05/31/2005;10:13 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6152 N 40TH ST
051510241;05/31/2005;10:19 PM;7.0;SIMPLE ASSAULT;;;;;4845 N 52ND ST
051520011;05/31/2005;11:25 PM;7.0;ROBBERY;;;;;2002 W CAPITOL DR
051500024;05/30/2005;02:11 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6265 N TEUTONIA AV
051500027;05/30/2005;04:10 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5057 N 19TH ST
051500034;05/30/2005;02:40 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;AGGRAVATED ASSAULT;;;;6265 N TEUTONIA AV
051500046;05/30/2005;08:31 AM;5.0;SIMPLE ASSAULT;;;;;4346 N 14TH ST
051500049;05/30/2005;08:39 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;2823 W ORIOLE DR
051500055;05/30/2005;09:32 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;7037 N 45TH ST
051500081;05/30/2005;08:45 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6033 N 38TH ST
051500086;05/30/2005;09:36 AM;4.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5743 N TEUTONIA AV
051500094;05/30/2005;12:54 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4921 N 40TH ST
051500098;05/30/2005;01:04 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;7105 N TEUTONIA AV
051500122;05/30/2005;02:43 PM;7.0;AGGRAVATED ASSAULT;;;;;2222 W CAPITOL DR
051500159;05/30/2005;03:50 PM;7.0;AGGRAVATED ASSAULT;;;;;1957 W HAMPTON AV
051500183;05/30/2005;10:38 PM;7.0;SIMPLE ASSAULT;;;;;4851 N 50TH ST
051490016;05/29/2005;02:30 AM;4.0;SIMPLE ASSAULT;;;;;3136 W SILVER SPRING DR
051490024;05/29/2005;02:42 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;1965 W LAWRENCE AV
051490042;05/29/2005;08:33 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5105 N 21ST ST
051490073;05/29/2005;11:17 AM;7.0;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2316 W LINWAL LA
051490084;05/29/2005;12:21 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5353 N GREEN BAY AV
051490093;05/29/2005;01:13 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4230 N 17TH ST
051490120;05/29/2005;01:22 PM;7.0;AGGRAVATED ASSAULT;;;;;5060 N 49TH ST
051490141;05/29/2005;04:46 PM;7.0;AGGRAVATED ASSAULT;;;;;2623 W VICTORY LA
051490154;05/29/2005;04:42 PM;7.0;AGGRAVATED ASSAULT;;;;;5061 N 31ST ST
051490168;05/29/2005;07:21 PM;7.0;SIMPLE ASSAULT;;;;;1737 W HAMPTON AV
051490189;05/29/2005;07:59 PM;5.0;SIMPLE ASSAULT;;;;;1110 W FIEBRANTZ AV
051500015;05/29/2005;11:49 PM;7.0;MOTOR VEHICLE THEFT;;;;;2605 W VICTORY LA #1
051590029;05/29/2005;11:49 PM;7.0;AGGRAVATED ASSAULT;;;;;2615 W VICTORY LA #2
051480014;05/28/2005;12:36 AM;7.0;MOTOR VEHICLE THEFT;;;;;3107 W FAIRMOUNT AV
051480049;05/28/2005;08:56 AM;4.0;MOTOR VEHICLE THEFT;;;;;5525 N TEUTONIA AV
051480076;05/28/2005;12:41 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4631 N 19TH ST
051480083;05/28/2005;02:07 PM;7.0;MOTOR VEHICLE THEFT;;;;;4783 N 29TH ST
051480094;05/28/2005;12:48 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5406 N 41ST ST #LOWER
051480121;05/28/2005;04:55 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4071 N 24TH ST
051480125;05/28/2005;02:46 PM;7.0;ROBBERY;;;;;2301 W ATKINSON AV
051480126;05/28/2005;03:46 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4637 N 30TH ST
051480130;05/28/2005;01:56 PM;7.0;AGGRAVATED ASSAULT;;;;;2731 W FAIRMOUNT AV
051480170;05/28/2005;07:58 PM;7.0;MOTOR VEHICLE THEFT;;;;;2446 W ATKINSON AV
051480175;05/28/2005;09:04 PM;4.0;ROBBERY;;;;;6052 N 40TH ST
051480186;05/28/2005;10:06 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;7116 N 42ND ST
051480188;05/28/2005;08:45 PM;7.0;AGGRAVATED ASSAULT;;;;;4281 N TEUTONIA AV #3
051480194;05/28/2005;11:02 PM;7.0;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4108 N 27TH ST
051470038;05/27/2005;03:30 AM;4.0;ROBBERY;;;;;2900 W VILLARD AV
051470052;05/27/2005;07:59 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5852 N 40TH ST
051470062;05/27/2005;07:26 AM;4.0;ALL OTHER LARCENY;;;;;2450 W VILLARD AV
051470077;05/27/2005;09:05 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5511 N 33RD ST
051470095;05/27/2005;11:03 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4735 W LUSCHER AV
051470107;05/27/2005;11:02 AM;4.0;MOTOR VEHICLE THEFT;;;;;5541 N TEUTONIA AV
051470162;05/27/2005;03:23 PM;7.0;ALL OTHER LARCENY;;;;;2601 W HAMPTON AV
051470179;05/27/2005;05:23 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4603 N TEUTONIA AV #107
051470207;05/27/2005;05:23 PM;7.0;ALL OTHER LARCENY;;;;;2601 W HAMPTON AV
051470228;05/27/2005;09:10 PM;7.0;ALL OTHER LARCENY;;;;;2200 W CAPITOL DR
051460044;05/26/2005;08:16 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;3414 W FLORIST AV
051460051;05/26/2005;08:51 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6952 N 37TH ST #4
051460131;05/26/2005;11:42 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5403 N 35TH ST #A
051460143;05/26/2005;12:16 PM;4.0;AGGRAVATED ASSAULT;;;;;5753 N 34TH ST
051460144;05/26/2005;12:40 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4879 N 21ST ST
051460192;05/26/2005;05:10 PM;4.0;SIMPLE ASSAULT;;;;;3600 W VILLARD AV
051460194;05/26/2005;06:01 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4023 N 13TH ST
051460209;05/26/2005;05:54 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4849 N 47TH ST
051460212;05/26/2005;07:26 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3232 W SILVER SPRING DR
051460217;05/26/2005;07:51 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4600 W HAMPTON AV
051460241;05/26/2005;06:52 PM;7.0;AGGRAVATED ASSAULT;;;;;5122 N 47TH ST
051460269;05/26/2005;09:50 PM;4.0;ALL OTHER LARCENY;;;;;5315 N 33RD ST
051470123;05/26/2005;06:46 AM;4.0;ALL OTHER LARCENY;;;;;5521 N 40TH ST
051450010;05/25/2005;12:15 AM;7.0;SIMPLE ASSAULT;;;;;4281 N TEUTONIA AV #3
051450011;05/25/2005;01:12 AM;4.0;MOTOR VEHICLE THEFT;;;;;6001 N TEUTONIA AV
051450017;05/25/2005;01:30 AM;7.0;SIMPLE ASSAULT;;;;;2122 W ATKINSON AV
051450020;05/25/2005;03:34 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4222 N 27TH ST
051450021;05/25/2005;03:34 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4218 N 27TH ST
051450022;05/25/2005;03:34 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4216 N 27TH ST
051450023;05/25/2005;03:34 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4222 N 27TH ST
051450067;05/25/2005;10:24 AM;7.0;MOTOR VEHICLE THEFT;;;;;2100 W CAPITOL DR
051450068;05/25/2005;08:17 AM;7.0;ALL OTHER LARCENY;;;;;4934 N 28TH ST
051450074;05/25/2005;10:58 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5554 N 34TH ST
051450082;05/25/2005;11:31 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4970 N 38TH ST
051450083;05/25/2005;11:38 AM;4.0;ALL OTHER LARCENY;;;;;3900 W GREEN TREE RD
051450088;05/25/2005;10:03 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;4808 W BRENTWOOD AV
051450102;05/25/2005;09:16 AM;7.0;AGGRAVATED ASSAULT;;;;;1725 W STARK ST
051450103;05/25/2005;10:58 AM;7.0;AGGRAVATED ASSAULT;;;;;1801 W OLIVE ST
051450117;05/25/2005;12:38 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3737 W CHEYENNE ST
051450125;05/25/2005;10:58 AM;7.0;AGGRAVATED ASSAULT;;;;;1801 W OLIVE ST
051450132;05/25/2005;01:05 PM;7.0;SIMPLE ASSAULT;;;;;3817 W VILLARD AV
051450149;05/25/2005;10:46 AM;7.0;MOTOR VEHICLE THEFT;;;;;4058 N 25TH ST
051450164;05/25/2005;01:49 PM;4.0;ALL OTHER LARCENY;;;;;5353 N GREEN BAY AV
051450206;05/25/2005;05:49 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2801 W ATKINSON AV
051450235;05/25/2005;02:53 PM;7.0;AGGRAVATED ASSAULT;;;;;4347 N 27TH ST
051460002;05/25/2005;10:49 PM;7.0;AGGRAVATED ASSAULT;;;;;3923 W FAIRMOUNT AV
051460006;05/25/2005;11:57 PM;7.0;ALL OTHER LARCENY;;;;;3800 W HAMPTON AV
051440012;05/24/2005;12:58 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5974 N 37TH ST
051440073;05/24/2005;11:36 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;1629 W LAWN AV
051440076;05/24/2005;11:47 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5256 N 34TH ST
051440116;05/24/2005;02:58 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4517 N TEUTONIA AV
