Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
53650043;12/31/2005;09:23 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090325580904846, -87.94938638184585];4030 N 29TH ST
53650078;12/31/2005;01:39 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10618400000001, -87.94654231692562];4878 N 27TH ST
53650120;12/31/2005;05:46 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.110962122611575, -87.93915622492595];5139 N 22ND ST
53640047;12/30/2005;09:21 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.091505826822015, -87.95483319121138];3364 W HOPKINS ST
53630110;12/29/2005;04:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10586557423975, -87.93173739012614];4871 N GREEN BAY AV
53630139;12/29/2005;07:12 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09367386372554, -87.94691163589908];4231 N 27TH ST
53630164;12/29/2005;09:27 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11193053375819, -87.9645929306077];4134 W VILLARD AV
53620032;12/28/2005;07:37 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12107816180969, -87.95859286078269];5686 N 37TH ST
53620063;12/28/2005;11:19 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.111298535662776, -87.95270767164877];5150 N 32ND ST
53620088;12/28/2005;12:10 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.089749796094296, -87.93771789123264];2010 W CAPITOL DR
53620095;12/28/2005;02:16 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11064794754458, -87.9528216503258];5135 N 32ND ST
53620139;12/28/2005;05:05 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.091937220093484, -87.94341490074464];4114 N 24TH PL
53620147;12/28/2005;05:47 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11473341326678, -87.95753536078269];5344 N 36TH ST
53610034;12/27/2005;08:57 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.100586031363605, -87.94293110646872];4577 N 24TH PL
53610140;12/27/2005;03:17 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12107816180969, -87.95859286078269];5686 N 37TH ST
53610162;12/27/2005;04:38 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09060382653357, -87.93314341185312];4044 N 18TH ST
53600053;12/26/2005;10:45 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08957951154119, -87.93186322009349];1634 W CAPITOL DR
53600065;12/26/2005;11:43 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10785724562871, -87.97508235356932];4960 N 50TH ST
53580058;12/24/2005;09:35 AM;7.0;THEFT FROM MOTOR VEHICLE;ALL OTHER LARCENY;;;;[43.11151518554057, -87.9712786481768];5180 N 47TH ST
53580103;12/24/2005;01:36 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10480426555719, -87.9778547655572];5200 W HAMPTON AV
53570082;12/23/2005;12:20 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.106788849746174, -87.96156889652624];4937 N 39TH ST
53570113;12/23/2005;03:04 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.124318077990665, -87.94854388299969];5880 N 29TH ST
53600031;12/23/2005;10:04 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;THEFT FROM MOTOR VEHICLE;ALL OTHER LARCENY;;;[43.123841388638404, -87.95274473463358];5851 N 32ND ST
53550063;12/21/2005;11:50 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10473049321934, -87.9741315];4900 W HAMPTON AV
53550070;12/21/2005;12:27 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10186394754459, -87.95044112868572];4645 N 30TH ST
53550092;12/21/2005;01:05 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0912892200935, -87.94082586467783];4070 N 23RD ST
53550141;12/21/2005;06:12 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09623538441335, -87.94426017335087];4349 N 25TH ST
53540032;12/20/2005;07:46 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12165522009349, -87.9621928607827];5704 N 40TH ST
53540041;12/20/2005;08:41 AM;4.0;THEFT FROM BUILDING;;;;;[43.137137522649695, -87.9559917485429];3500 W KIEHNAU AV
53540042;12/20/2005;10:02 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10044166472389, -87.94790438631792];4566 N 28TH ST
53540085;12/20/2005;02:21 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11425758673323, -87.94881963589908];5323 N 29TH ST
53540108;12/20/2005;04:18 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.124605478792596, -87.95072280391251];3026 W BOBOLINK AV
53540164;12/20/2005;09:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10673383819031, -87.94411962479059];4901 N 25TH ST
53530075;12/19/2005;02:18 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.118514000000005, -87.95502286799605];5550 N 34TH ST
53530100;12/19/2005;03:58 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09201819900167, -87.94195157761528];4121 N 24TH ST
53530114;12/19/2005;05:11 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11891954674263, -87.93904452844941];2201 W SILVER SPRING DR
53510105;12/17/2005;03:38 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10469351875455, -87.965784];4220 W HAMPTON AV
53510119;12/17/2005;04:26 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.089832486005974, -87.944202];2462 W CAPITOL DR
53490011;12/15/2005;01:09 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10217832944775, -87.9478828607827];4660 N 28TH ST
53490060;12/15/2005;10:28 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.113788413266775, -87.94875540463977];5286 N 29TH ST
53490111;12/15/2005;02:25 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.101440025535226, -87.94662638631792];4620 N 27TH ST
53480104;12/14/2005;02:46 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09255819900167, -87.94193807761528];4147 N 24TH ST
53480134;12/14/2005;06:08 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10945429930305, -87.93920103810152];5053 N 22ND ST
53480138;12/14/2005;06:23 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12457541104507, -87.95163061174884];5883 N TEUTONIA AV
53460064;12/12/2005;10:48 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11890447013696, -87.93846041909515];2125 W SILVER SPRING DR
53460111;12/12/2005;12:30 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12481369608747, -87.95860168307439];5901 N 37TH ST
53450089;12/11/2005;02:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10475026548839, -87.96672176548839];4300 W HAMPTON AV
53430114;12/09/2005;06:39 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10931278351319, -87.96218424926404];5065 N HOPKINS ST
53420038;12/08/2005;09:59 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14222359776611, -87.95628747844437];6840 N DARIEN ST
53420110;12/08/2005;03:19 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.147319481245454, -87.9585930313636];3717 W ROCHELLE AV
53410060;12/07/2005;12:22 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10217832944775, -87.9478828607827];4660 N 28TH ST
53410114;12/07/2005;04:34 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10600525728549, -87.93409909925535];4871 N 19TH ST
53400039;12/06/2005;08:57 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.104351303679, -87.94420882644931];2501 W HAMPTON AV
53400058;12/06/2005;11:06 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11429209908247, -87.95019943219422];5329 N TEUTONIA AV
53400076;12/06/2005;12:36 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1001174446304, -87.94799059925535];4551 N 28TH ST
53390027;12/05/2005;07:48 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12065580099832, -87.96623539684948];5660 N 43RD ST
53390034;12/05/2005;08:31 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12695249629086, -87.96465706791437];6018 N 42ND ST
53390072;12/05/2005;10:43 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.139650181228056, -87.95433697137676];6701 N TEUTONIA AV
53370033;12/03/2005;07:41 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.092680877055734, -87.92458227583847];4150 N GREEN BAY AV
53370113;12/03/2005;04:22 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.096311366639725, -87.92932909925536];4365 N 15TH ST
