;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;61200018;04/30/2006;03:40 AM;4.0;MOTOR VEHICLE THEFT;;;[43.13204572687416, -87.95262637916093];6263 N TEUTONIA AV
1;61200079;04/30/2006;01:46 PM;7.0;MOTOR VEHICLE THEFT;;;[43.09362864363205, -87.93934808872378];4175 N 22ND ST
2;61200136;04/30/2006;07:27 PM;7.0;MOTOR VEHICLE THEFT;;;[43.105094413266784, -87.9626633280341];4820 N 40TH ST
3;61190008;04/29/2006;12:07 AM;5.0;MOTOR VEHICLE THEFT;;;[43.090472335016344, -87.92359243176152];4057 N GREEN BAY AV
4;61190069;04/29/2006;09:46 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10596858673321, -87.96273110646872];4863 N 40TH ST
5;61200004;04/29/2006;11:52 PM;5.0;MOTOR VEHICLE THEFT;;;[43.090472335016344, -87.92359243176152];4057 N GREEN BAY AV
6;61180098;04/28/2006;01:43 PM;7.0;MOTOR VEHICLE THEFT;;;[43.100491550060845, -87.93278430544173];1827 W GLENDALE AV
7;61170041;04/27/2006;08:10 AM;4.0;MOTOR VEHICLE THEFT;;;[43.13311754616569, -87.973704];4811 W WOOLWORTH AV
8;61170176;04/27/2006;07:28 PM;7.0;MOTOR VEHICLE THEFT;;;[43.091019199001664, -87.94573159925535];4053 N 26TH ST
9;61150051;04/25/2006;09:27 AM;7.0;MOTOR VEHICLE THEFT;;;[43.09796783819033, -87.94927759925535];4435 N 29TH ST
10;61150002;04/24/2006;10:11 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11400441326677, -87.94875540463977];5308 N 29TH ST
11;61120078;04/22/2006;09:42 AM;7.0;MOTOR VEHICLE THEFT;;;[43.09533731115453, -87.94287717652486];2422 W ROOSEVELT DR
12;61120114;04/22/2006;01:24 PM;4.0;MOTOR VEHICLE THEFT;;;[43.12796542492353, -87.95611963200395];6061 N 35TH ST
13;61120170;04/22/2006;06:48 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11433828282071, -87.96123957372015];5323 N 39TH ST
14;61110254;04/21/2006;07:19 AM;7.0;MOTOR VEHICLE THEFT;;;[43.09061352037067, -87.93744060355453];2027 W ATKINSON AV
15;61110358;04/21/2006;04:56 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09642699362335, -87.9267504257316];4380 N GREEN BAY AV
16;61100038;04/20/2006;06:51 AM;7.0;MOTOR VEHICLE THEFT;;;[43.094945950129855, -87.94818636043007];4291 N 28TH ST
17;61100078;04/20/2006;10:34 AM;7.0;MOTOR VEHICLE THEFT;;;[43.09782903887104, -87.93724346299966];2004 W ROOSEVELT DR
18;61100121;04/20/2006;01:52 PM;7.0;MOTOR VEHICLE THEFT;;;[43.1001174446304, -87.94799059925535];4551 N 28TH ST
19;61090028;04/19/2006;12:44 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10477326843497, -87.95994194179137];4802 N HOPKINS ST
20;61090048;04/19/2006;08:20 AM;4.0;MOTOR VEHICLE THEFT;;;[43.118092969981234, -87.94620124726468];5540 N 27TH ST
21;61090054;04/19/2006;05:52 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10216626389327, -87.93866064605622];2101 W PURDUE ST
22;61090126;04/19/2006;03:31 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09227028282069, -87.92700807372015];4141 N 13TH ST
23;61080017;04/18/2006;01:41 AM;7.0;MOTOR VEHICLE THEFT;;;[43.09130839246342, -87.93969231678138];4074 N TEUTONIA AV
24;61080031;04/18/2006;06:52 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10452048600598, -87.94189308090483];2400 W HAMPTON AV
25;61070012;04/17/2006;02:06 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10541883236195, -87.9638333280341];4834 N 41ST ST
26;61070016;04/17/2006;03:26 AM;7.0;MOTOR VEHICLE THEFT;;;[43.089937670213466, -87.9470507731148];2700 W CAPITOL DR
27;61070163;04/17/2006;04:06 PM;7.0;MOTOR VEHICLE THEFT;;;[43.08968542367896, -87.93447803499687];1900 W CAPITOL DR
28;61070188;04/17/2006;07:46 PM;7.0;MOTOR VEHICLE THEFT;;;[43.104321546742625, -87.93633094463038];1985 W HAMPTON AV
29;61070195;04/17/2006;09:02 PM;7.0;MOTOR VEHICLE THEFT;;;[43.09739228044888, -87.94672112470306];4400 N 27TH ST
30;61080008;04/17/2006;11:26 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10830349321933, -87.96445183236193];4118 W FAIRMOUNT AV
31;61050019;04/15/2006;01:15 AM;7.0;MOTOR VEHICLE THEFT;;;[43.09443896863641, -87.94453537910455];4276 N 25TH ST
32;61050158;04/15/2006;08:47 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11932186418044, -87.9587516958222];3700 W SILVER SPRING DR
33;61040021;04/14/2006;02:17 AM;4.0;MOTOR VEHICLE THEFT;;;[43.14222359776611, -87.95628747844437];6840 N DARIEN ST
34;61040154;04/14/2006;08:15 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10450162020937, -87.93557627521578];1950 W HAMPTON AV
