;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
0;62420071;08/30/2006;09:38 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.12357607576894, -87.95144694021563];5839 N TEUTONIA AV
1;62420095;08/30/2006;09:44 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.150212943101174, -87.95733497241596];7289 N TEUTONIA AV
2;62420137;08/30/2006;04:26 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.118117884817366, -87.95747236078269];5530 N 36TH ST
3;62410051;08/29/2006;07:01 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10550450678067, -87.9728535];4801 W LUSCHER AV
4;62420011;08/29/2006;10:41 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.106337052455416, -87.94277235356932];4888 N 24TH PL
5;62420013;08/29/2006;11:22 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.14286722766769, -87.95721719123706];6883 N DARIEN ST
6;62400093;08/28/2006;08:24 AM;4.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;[43.12746425460553, -87.95207963831338];6041 N TEUTONIA AV
7;62400102;08/28/2006;10:20 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.09441180099833, -87.93924240463977];4204 N 22ND ST
8;62390053;08/27/2006;05:49 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.09165777990651, -87.93699065032581];4105 N 20TH ST
9;62390091;08/27/2006;11:14 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.12240141326677, -87.95856488631792];5742 N 37TH ST
10;62390121;08/27/2006;01:46 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.1191045650645, -87.95106163474526];3001 W SILVER SPRING DR
11;62380043;08/26/2006;05:47 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.11673099417163, -87.95990236078269];5450 N 38TH ST
12;62380095;08/26/2006;11:18 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.12720220793441, -87.95604800582556];6028 N 35TH ST
13;62360017;08/24/2006;12:59 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10777154203941, -87.94834216489676];4965 N TEUTONIA AV
14;62360097;08/24/2006;12:37 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10440953563411, -87.94560293060769];2601 W HAMPTON AV
15;62350131;08/23/2006;01:17 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10475546047076, -87.9785505];5226 W HAMPTON AV
