;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;63650047;12/31/2006;05:55 AM;7.0;MOTOR VEHICLE THEFT;;;[43.09403478573489, -87.93816807372015];4199 N 21ST ST
1;63650067;12/31/2006;08:55 AM;4.0;MOTOR VEHICLE THEFT;;;[43.148691508799885, -87.96210011365342];4006 W GOOD HOPE RD
2;63650135;12/31/2006;04:11 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11618375437129, -87.96119015753918];5425 N 39TH ST
3;63650159;12/31/2006;06:33 PM;4.0;MOTOR VEHICLE THEFT;;;[43.1289441197486, -87.95741093975138];3604 W KAUL AV
4;70010011;12/31/2006;11:44 PM;4.0;MOTOR VEHICLE THEFT;;;[43.122812054168016, -87.94777054168672];2832 W CARMEN AV
5;70010013;12/31/2006;11:55 PM;7.0;MOTOR VEHICLE THEFT;;;[43.110063419095155, -87.96020113200395];5109 N 38TH ST
6;63640005;12/30/2006;12:01 AM;7.0;MOTOR VEHICLE THEFT;;;[43.096957478792596, -87.93620058090484];1974 W CONGRESS ST #2
7;63640191;12/30/2006;05:37 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;MOTOR VEHICLE THEFT;;[43.08947346047075, -87.92647247155058];1216 W CAPITOL DR #LOWER
8;63640231;12/30/2006;11:04 PM;7.0;MOTOR VEHICLE THEFT;;;[43.100145282820705, -87.94674756261163];4559 N 27TH ST
9;63630060;12/29/2006;10:43 AM;7.0;MOTOR VEHICLE THEFT;;;[43.09685045325739, -87.93205247155058];1700 W CONGRESS ST
10;63630092;12/29/2006;12:28 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11925251154119, -87.95699058090484];3518 W SILVER SPRING DR
11;63630126;12/29/2006;03:02 PM;7.0;MOTOR VEHICLE THEFT;;;[43.08958048600596, -87.93224958090484];1702 W CAPITOL DR
12;63630157;12/29/2006;05:40 PM;7.0;MOTOR VEHICLE THEFT;;;[43.11183150678067, -87.95431391909516];3311 W VILLARD AV
13;63620033;12/28/2006;08:08 AM;7.0;MOTOR VEHICLE THEFT;;;[43.09234114071787, -87.94193807761528];4139 N 24TH ST
14;63620053;12/28/2006;12:15 AM;4.0;MOTOR VEHICLE THEFT;;;[43.147030840960284, -87.95644743577225];7123 N TEUTONIA AV
15;63610019;12/27/2006;06:04 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12665192726722, -87.96364242873223];4122 W FLORIST AV
16;63600116;12/26/2006;12:24 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10738372400489, -87.97507667303404];4930 N 50TH ST
17;63600190;12/26/2006;05:08 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11197453441747, -87.95683764730276];3532 W VILLARD AV
18;63600215;12/26/2006;07:41 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10524788481737, -87.95898338631791];4826 N 37TH ST
19;63590008;12/25/2006;12:16 AM;7.0;MOTOR VEHICLE THEFT;;;[43.096950511541195, -87.93577308090484];1956 W CONGRESS ST
20;63590011;12/25/2006;12:31 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11191645325738, -87.95665308090484];3500 W VILLARD AV
