;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
0;61810053;06/30/2006;07:10 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.112689522621025, -87.96626588184586];5230 N SHERMAN BL
1;61810078;06/30/2006;10:00 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10769633527613, -87.97143815032581];4955 N 47TH ST
2;61810081;06/30/2006;08:42 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.11315933527612, -87.95407012089545];5257 N 33RD ST
3;61800166;06/29/2006;04:54 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.106304301209285, -87.95660182895494];3501 W MOTHER DANIELS WA
4;61800189;06/29/2006;06:55 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11211328677317, -87.94123985954194];2350 W VILLARD AV
5;61790026;06/28/2006;02:10 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.14281251883436, -87.95525165061943];6875 N TEUTONIA AV
6;61780012;06/27/2006;12:58 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.122751478792615, -87.94745966472387];2800 W CARMEN AV
7;61770185;06/26/2006;08:07 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.108779781606756, -87.94771608184284];5038 N 28TH ST
8;61750024;06/24/2006;02:37 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.08976746715922, -87.93831990164664];2100 W CAPITOL DR
9;61750143;06/24/2006;05:52 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.13033891035258, -87.95721436799604];6166 N 36TH ST
10;61730086;06/22/2006;11:04 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.09163924562873, -87.94341392627985];4100 N 24TH PL
11;61730102;06/22/2006;11:05 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.11359548514059, -87.94480452844941];2531 W ROHR AV
12;61730110;06/22/2006;01:14 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11485551211812, -87.94821133236194];2800 W CUSTER AV
13;61710136;06/21/2006;01:14 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.12439096863639, -87.95972236078269];5868 N 38TH ST
14;61720173;06/21/2006;04:24 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.09979655891539, -87.94426431958591];4541 N TEUTONIA AV
15;61710088;06/20/2006;09:20 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.14403612461771, -87.97008304284748];6940 N 46TH ST
16;61720007;06/20/2006;10:46 PM;5.0;MOTOR VEHICLE THEFT;;;;[43.09328638190317, -87.92812493738836];4184 N 14TH ST
17;61690075;06/18/2006;10:20 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
18;61680016;06/17/2006;01:45 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.11260773688613, -87.95006949379625];5233 N TEUTONIA AV
19;61670022;06/16/2006;02:14 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.11194454674262, -87.97791247446477];5209 W VILLARD AV
20;61660012;06/15/2006;12:35 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.09176160032322, -87.9400132048587];4115 N TEUTONIA AV
21;61660038;06/15/2006;05:27 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.0950295434244, -87.94649236372554];2629 W ROOSEVELT DR #4
22;61660063;06/15/2006;07:48 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.12477692062438, -87.95299952328486];5900 N 32ND ST
23;61660143;06/15/2006;02:34 PM;5.0;MOTOR VEHICLE THEFT;;;;[43.09541454848341, -87.92614689534403];4322 N GREEN BAY AV
24;61650040;06/14/2006;06:54 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.106304301209285, -87.95660182895494];3501 W MOTHER DANIELS WA
25;61650046;06/14/2006;08:19 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10792655314791, -87.94843067211012];4979 N TEUTONIA AV
26;61650062;06/14/2006;09:22 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.09420903358531, -87.92548341520002];4206 N GREEN BAY AV
27;61650151;06/14/2006;03:50 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12457541104507, -87.95163061174884];5883 N TEUTONIA AV
28;61660006;06/14/2006;11:27 PM;6.0;MOTOR VEHICLE THEFT;;;;[43.09512837414156, -87.9417807512842];4290 N TEUTONIA ST
29;61640009;06/13/2006;12:29 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10686090615462, -87.96157108005377];4945 N 39TH ST
30;61630006;06/12/2006;12:11 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.09632919900167, -87.93056112479059];4363 N 16TH ST
31;61630100;06/12/2006;10:00 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.11372104276056, -87.93842524536892];2200 W ROHR AV
32;61630177;06/12/2006;02:01 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10618483819033, -87.96665060646872];4871 N SHERMAN BL
33;61640005;06/12/2006;11:25 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.09683245325738, -87.93107113627445];1614 W CONGRESS ST
34;61620099;06/11/2006;11:54 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.1115794782131, -87.93921042312442];2229 W VILLARD AV
35;61610073;06/10/2006;09:17 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.090613465722214, -87.9356124190665];4042 N 19TH PL
36;61610088;06/10/2006;10:48 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.111926511541185, -87.95688258090483];3510 W VILLARD AV
