;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;61510213;05/31/2006;07:25 PM;4.0;MOTOR VEHICLE THEFT;;;[43.12083544463039, -87.95381113200395];5677 N 33RD ST
1;61520010;05/31/2006;10:09 PM;7.0;MOTOR VEHICLE THEFT;;;[43.090469245628725, -87.94462537910455];4026 N 25TH ST
2;61500076;05/30/2006;08:41 AM;5.0;MOTOR VEHICLE THEFT;;;[43.0934042828207, -87.9269696281088];4193 N 13TH ST
3;61500160;05/30/2006;03:42 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10478626553427, -87.97150976553425];4700 W HAMPTON AV
4;61500190;05/30/2006;04:33 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11790184860515, -87.95060618206304];5541 N TEUTONIA AV
5;61490023;05/29/2006;02:34 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11255281432854, -87.94999546194263];5232 N TEUTONIA AV
6;61490026;05/29/2006;02:48 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11278961226844, -87.95154161757722];5241 N 31ST ST
7;61490048;05/29/2006;07:56 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10336696863641, -87.93810338631792];4734 N 21ST ST
8;61480166;05/28/2006;07:26 PM;7.0;MOTOR VEHICLE THEFT;;;[43.09741786861301, -87.9429242476233];4400 N TEUTONIA AV
9;61480167;05/28/2006;05:58 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10472185780042, -87.95918112745089];3700 W HAMPTON AV
10;61480176;05/28/2006;06:14 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10118802553524, -87.9466253280341];4610 N 27TH ST
11;61470086;05/27/2006;10:05 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11461736663975, -87.94639961036386];5341 N 27TH ST
12;61470131;05/27/2006;02:37 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10089717124747, -87.95051382236235];3000 W GLENDALE AV
13;61460120;05/26/2006;11:54 AM;7.0;MOTOR VEHICLE THEFT;;;[43.09750126421037, -87.94740148753517];2711 W ATKINSON AV
14;61460199;05/26/2006;05:47 PM;7.0;MOTOR VEHICLE THEFT;;;[43.111063970030045, -87.97388575885991];5149 N 49TH ST
15;61460225;05/26/2006;09:54 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10444046047076, -87.934293];1900 W HAMPTON AV
16;61460239;05/26/2006;10:13 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10056900582839, -87.94916862479059];4573 N 29TH ST
17;61460245;05/26/2006;10:29 PM;4.0;MOTOR VEHICLE THEFT;;;[43.114888173466454, -87.96122059925536];5351 N 39TH ST
18;61450014;05/25/2006;01:23 AM;7.0;MOTOR VEHICLE THEFT;;;[43.09061352037067, -87.93744060355453];2027 W ATKINSON AV
19;61450035;05/25/2006;09:14 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12834463830003, -87.96247770684342];6077 N 40TH ST
20;61450181;05/25/2006;05:58 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10715070067931, -87.95165734740917];4933 N 31ST ST
21;61440084;05/24/2006;11:30 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10132452510255, -87.94569002262104];2605 W VICTORY LA
22;61440169;05/24/2006;05:39 PM;4.0;MOTOR VEHICLE THEFT;;;[43.112488306134225, -87.95006007470109];5227 N TEUTONIA AV
23;61430181;05/23/2006;09:15 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10563246378897, -87.94601056275587];2626 W LINWAL LA
24;61430218;05/23/2006;04:34 PM;7.0;MOTOR VEHICLE THEFT;;;[43.09774308964742, -87.94808959925535];4425 N 28TH ST
25;61420079;05/22/2006;10:56 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10927111518265, -87.94654062479059];5053 N 27TH ST
26;61420104;05/22/2006;11:47 AM;4.0;MOTOR VEHICLE THEFT;;;[43.114554754371284, -87.96003013200395];5333 N 38TH ST
27;61420197;05/22/2006;04:12 PM;7.0;MOTOR VEHICLE THEFT;;;[43.106788849746174, -87.96156889652624];4937 N 39TH ST
28;61420199;05/22/2006;04:23 PM;7.0;MOTOR VEHICLE THEFT;;;[43.106304301209285, -87.95660182895494];3501 W MOTHER DANIELS WA #202
29;61400115;05/20/2006;01:34 PM;7.0;MOTOR VEHICLE THEFT;;;[43.09958747155059, -87.9381743280341];4532 N 21ST ST
30;61400145;05/20/2006;04:44 PM;4.0;MOTOR VEHICLE THEFT;;;[43.13417441909516, -87.97570430639402];6400 N 51ST ST
31;61390142;05/19/2006;12:56 PM;7.0;MOTOR VEHICLE THEFT;;;[43.09561950231067, -87.94200973782904];4306 N TEUTONIA AV
32;61390157;05/19/2006;04:28 PM;7.0;MOTOR VEHICLE THEFT;;;[43.0991046253102, -87.94536789012614];4503 N 26TH ST
33;61380069;05/18/2006;09:32 AM;7.0;MOTOR VEHICLE THEFT;;;[43.103523981678144, -87.94913015753917];4747 N 29TH ST
34;61380105;05/18/2006;11:31 AM;5.0;MOTOR VEHICLE THEFT;;;[43.096102910352585, -87.93049291185314];4352 N 16TH ST
35;61380155;05/18/2006;04:06 PM;4.0;MOTOR VEHICLE THEFT;;;[43.117063994171616, -87.96229538631792];5466 N 40TH ST
36;61360013;05/16/2006;01:51 AM;7.0;MOTOR VEHICLE THEFT;;;[43.09516152264969, -87.94715416763806];2700 W ROOSEVELT DR
37;61360037;05/16/2006;06:34 AM;7.0;MOTOR VEHICLE THEFT;;;[43.09804952983439, -87.94566680769209];4447 N 26TH ST
38;61360082;05/16/2006;10:37 AM;7.0;MOTOR VEHICLE THEFT;;;[43.091532220093484, -87.94341392627985];4080 N 24TH PL
39;61350136;05/15/2006;04:59 PM;7.0;MOTOR VEHICLE THEFT;;;[43.0897394237487, -87.93711953506453];2000 W CAPITOL DR
40;61350146;05/15/2006;05:44 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11291628282069, -87.94771856650678];5249 N 28TH ST
41;61340035;05/14/2006;05:42 AM;7.0;MOTOR VEHICLE THEFT;;;[43.1082354884588, -87.96339016763807];4025 W FAIRMOUNT AV
