Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
62730081;09/30/2006;01:19 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.115433390623416, -87.95083443153379];3113 W CUSTER AV
62730089;09/30/2006;12:41 PM;7.0;THEFT FROM MOTOR VEHICLE;MOTOR VEHICLE THEFT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
62730151;09/30/2006;05:12 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11339330391252, -87.94876637520942];5274 N 29TH ST
62710186;09/28/2006;09:34 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.141296691096734, -87.95787338445463];3740 W GREEN TREE RD
62710188;09/28/2006;07:44 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12592265316018, -87.95605296269468];5966 N 35TH ST
62710226;09/28/2006;11:23 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.095109674418744, -87.94317782347514];2433 W ROOSEVELT DR
62700037;09/27/2006;09:24 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.11790184860515, -87.95060618206304];5541 N TEUTONIA AV
62700235;09/27/2006;11:04 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12083544463039, -87.95381113200395];5677 N 33RD ST
62710004;09/27/2006;12:54 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10894582653356, -87.94032541185312];5028 N 23RD ST
62690018;09/26/2006;12:06 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.09302003184242, -87.95624832387627];3450 W HOPKINS ST
62690072;09/26/2006;09:04 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.11156723619364, -87.94989257949119];5188 N TEUTONIA AV
62690267;09/26/2006;11:20 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.09393520423577, -87.93197857561421];1700 W OLIVE ST
62680024;09/25/2006;04:33 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.100594329447745, -87.94049641185313];4578 N 23RD ST
62680066;09/25/2006;07:29 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.09580444269713, -87.94455717335087];4321 N 25TH ST
62680127;09/25/2006;10:29 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10049032194592, -87.94459441926804];4575 N TEUTONIA AV
62680159;09/25/2006;12:40 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
62680164;09/25/2006;02:07 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.15090650764605, -87.95867285789716];3740 W CLINTON AV
62680239;09/25/2006;04:10 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.09687892200935, -87.94683063589909];4375 N 27TH ST
62680254;09/25/2006;07:52 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.143710093513896, -87.95938401067582];3825 W VERA AV
62690011;09/25/2006;10:49 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10712048237063, -87.94799403583565];4933 N TEUTONIA AV
62690019;09/25/2006;10:18 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.108309486005965, -87.96601333236194];4230 W FAIRMOUNT AV
62670005;09/24/2006;12:23 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.096950511541195, -87.93577308090484];1956 W CONGRESS ST
62670035;09/24/2006;01:36 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11925348600596, -87.9564915];3500 W SILVER SPRING DR
62670074;09/24/2006;09:36 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.09692245325738, -87.93479166180968];1916 W CONGRESS ST
62670090;09/24/2006;12:17 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10467541194572, -87.96147506289591];4800 N 39TH ST
62660076;09/23/2006;10:16 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10767741326677, -87.97632534967418];4954 N 51ST BL
62660166;09/23/2006;04:40 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.15339448014892, -87.95837774649408];7463 N TEUTONIA AV
62660200;09/23/2006;06:31 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10133449956733, -87.94519344601535];2531 W VICTORY LA
62650125;09/22/2006;10:07 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.13126048211083, -87.95973180391252];3806 W DOUGLAS AV
62650178;09/22/2006;05:08 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10793033527614, -87.97762759925536];4965 N 52ND ST
62650182;09/22/2006;06:27 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.09406611506354, -87.93316904056076];1800 W OLIVE ST
62640014;09/21/2006;01:49 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.107435335276136, -87.97764109925535];4941 N 52ND ST
62640048;09/21/2006;08:36 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.08991380398382, -87.9469151308539];4000 N 27TH ST
62640004;09/20/2006;10:49 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11695624562873, -87.95869538631791];5462 N 37TH ST
62620066;09/19/2006;09:41 AM;7.0;THEFT FROM MOTOR VEHICLE;MOTOR VEHICLE THEFT;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
62620087;09/19/2006;10:45 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.09130839246342, -87.93969231678138];4074 N TEUTONIA AV
62620149;09/19/2006;12:06 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.08978762106314, -87.93883689398197];4000 N TEUTONIA AV
62620244;09/19/2006;08:49 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.147983459077416, -87.96429109832242];7171 N 42ND ST
62600010;09/17/2006;01:47 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.12376069608749, -87.95616867586104];5839 N 35TH ST
62600128;09/17/2006;03:02 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.14979894310117, -87.95719547241598];7265 N TEUTONIA AV
62600204;09/17/2006;04:17 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.08985048600596, -87.94537164308379];2522 W CAPITOL DR
62610026;09/17/2006;09:18 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.09855959562002, -87.94457803162341];4472 N 25TH ST
62590218;09/16/2006;09:26 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.121294528449425, -87.96344915753917];5695 N 41ST ST
62570035;09/14/2006;06:59 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10831145657562, -87.97301999999999];4800 W FAIRMOUNT AV
62580013;09/14/2006;11:48 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.11140483819031, -87.9564576503258];5173 N 35TH ST
62560030;09/13/2006;05:13 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10192767055224, -87.94796015753917];4649 N 28TH ST
62560154;09/13/2006;07:21 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.128043979625836, -87.95214926025767];6101 N TEUTONIA AV
62560193;09/13/2006;09:54 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12095444601537, -87.96338438631791];5676 N 41ST ST
62550131;09/12/2006;03:22 PM;5.0;MOTOR VEHICLE THEFT;;;;[43.09582553427779, -87.92812759925536];4339 N 14TH ST
62550147;09/12/2006;04:02 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
62550185;09/12/2006;05:58 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.126119419095176, -87.95613912479058];5963 N 35TH ST
62540048;09/11/2006;07:26 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.1080731618097, -87.94401541185313];4968 N 25TH ST
62530046;09/10/2006;06:21 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.095207202377196, -87.94368604414554];2450 W ROOSEVELT DR
62530092;09/10/2006;10:05 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10123129615091, -87.9323846771887];4632 N 18TH ST
62520011;09/09/2006;01:28 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.11033578086261, -87.93694297691904];5125 N 20TH ST
62520022;09/09/2006;01:40 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.095933031363614, -87.94685763589908];4331 N 27TH ST
62520070;09/09/2006;09:34 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.1191045650645, -87.95106163474526];3001 W SILVER SPRING DR
62510023;09/08/2006;12:54 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.110872173095494, -87.93860240233631];2106 W EGGERT PL
62510300;09/08/2006;10:13 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.11076466472389, -87.96630384967419];5140 N SHERMAN BL
62510376;09/08/2006;07:02 PM;5.0;MOTOR VEHICLE THEFT;;;;[43.092316704985464, -87.9269113079476];4144 N 13TH ST
62520006;09/08/2006;11:13 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.09072960753659, -87.93945024871579];4055 N TEUTONIA AV
