Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
063040015;10/31/2006;01:40 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;5555 N TEUTONIA AV #8
063040042;10/31/2006;07:42 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;5511 N 32ND ST
063040071;10/31/2006;10:04 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;3401 W SILVER SPRING DR
063040079;10/31/2006;10:41 AM;4.0;MOTOR VEHICLE THEFT;;;;3600 W SILVER SPRING DR
063040100;10/31/2006;10:32 AM;5.0;ROBBERY;;;;4191 N GREEN BAY AV
063040111;10/31/2006;12:13 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5144 N 23RD ST
063040120;10/31/2006;08:48 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4453 N GREEN BAY AV
063040121;10/31/2006;01:04 PM;4.0;ALL OTHER LARCENY;;;;6073 N TEUTONIA AV
063040148;10/31/2006;03:22 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4701 N TEUTONIA AV
063040155;10/31/2006;01:31 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5754 N 38TH ST
063040174;10/31/2006;05:35 PM;7.0;MOTOR VEHICLE THEFT;;;;5117 N 22ND ST
063040182;10/31/2006;05:49 PM;4.0;ALL OTHER LARCENY;;;;3710 W JUNIPER CT
063040193;10/31/2006;06:36 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4100 N 35TH ST
063040198;10/31/2006;04:24 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;2103 W EGGERT PL
063040204;10/31/2006;08:07 PM;7.0;MOTOR VEHICLE THEFT;;;;4849 N 20TH ST
063040213;10/31/2006;08:34 PM;4.0;MOTOR VEHICLE THEFT;;;;5410 N 39TH ST
063040219;10/31/2006;08:29 PM;7.0;ALL OTHER LARCENY;;;;5045 N HOPKINS ST #21
063040236;10/31/2006;08:33 PM;7.0;ROBBERY;;;;4075 N TEUTONIA AV
063040237;10/31/2006;09:12 PM;7.0;MOTOR VEHICLE THEFT;;;;3030 W ATKINSON AV
063040242;10/31/2006;10:35 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;1997 W LAWRENCE AV
063030002;10/30/2006;12:03 AM;7.0;SIMPLE ASSAULT;;;;4001 W VILLARD AV #1
063030031;10/30/2006;02:24 AM;7.0;AGGRAVATED ASSAULT;;;;4811 N TEUTONIA AV
063030046;10/30/2006;07:20 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5309 N 29TH ST #3
063030072;10/30/2006;08:22 AM;4.0;INTIMIDATION;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5687 N 39TH ST
063030077;10/30/2006;08:33 AM;7.0;SIMPLE ASSAULT;;;;4578 N 29TH ST
063030078;10/30/2006;09:34 AM;7.0;MOTOR VEHICLE THEFT;;;;4948 W HAMPTON AV
063030121;10/30/2006;12:35 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4954 N 47TH ST
063030141;10/30/2006;12:36 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4362 N 20TH ST
063030144;10/30/2006;02:07 PM;7.0;THEFT FROM BUILDING;;;;5150 N 35TH ST
063030159;10/30/2006;03:17 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4924 N 26TH ST
063030235;10/30/2006;05:20 PM;7.0;ROBBERY;;;;2629 W ROOSEVELT DR
063030250;10/30/2006;07:57 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5902 N 37TH ST
063010224;10/29/2006;12:17 AM;7.0;ROBBERY;;;;4340 N TEUTONIA AV
