;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;61200090;04/30/2006;02:42 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.090431652877115, -87.93917835376055];4030 N TEUTONIA AV
1;61200097;04/30/2006;03:11 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.106786413266775, -87.95894535356932];4914 N 37TH ST
2;61190107;04/29/2006;01:52 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.1018719103526, -87.95167343738835];4644 N 31ST ST
3;61190108;04/29/2006;01:58 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11503882653355, -87.9611443607827];5358 N 39TH ST
4;61190111;04/29/2006;02:41 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.116632968636395, -87.95990236078269];5446 N 38TH ST
5;61190161;04/29/2006;06:48 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.1191045650645, -87.95106163474526];3001 W SILVER SPRING DR
6;61190197;04/29/2006;10:28 PM;4.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;[43.13126048211083, -87.95973180391252];3806 W DOUGLAS AV
7;61180050;04/28/2006;10:34 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09478966472389, -87.93185589353128];4242 N 17TH ST
8;61180121;04/28/2006;05:06 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.14286722766769, -87.95721719123706];6883 N DARIEN ST
9;61180162;04/28/2006;08:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.111179978009396, -87.94995413358069];5175 N TEUTONIA AV
10;61170089;04/27/2006;01:27 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.1064725115412, -87.971211];4628 W STARK ST
