Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
63630091;12/29/2006;12:49 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10835394767788, -87.93848804632655];2100 W FAIRMOUNT AV
63630103;12/29/2006;01:28 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.08973945715252, -87.93964110410279];2200 W CAPITOL DR
63630118;12/29/2006;03:23 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09856843770549, -87.94892710087149];2826 W ATKINSON AV
63620095;12/28/2006;12:05 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.09409849847081, -87.9330654190665];4200 N 18TH ST
63620105;12/28/2006;12:56 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.11695641326679, -87.95750483524746];5460 N 36TH ST
63620162;12/28/2006;06:51 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.10926592406013, -87.9620595789689];5062 N HOPKINS ST
63600093;12/26/2006;10:57 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.0899075337582, -87.95081216472387];3000 W CAPITOL DR
63600147;12/26/2006;03:31 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.10829453375819, -87.96393072300768];4102 W FAIRMOUNT AV
63590022;12/25/2006;02:29 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.1326445278802, -87.95267256367889];6362 N TEUTONIA AV
63590137;12/25/2006;08:07 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.11639799417162, -87.9623143607827];5434 N 40TH ST
63580022;12/24/2006;01:19 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.130721451987924, -87.95229200631557];6262 N TEUTONIA AV
63570036;12/23/2006;03:51 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.129672916669264, -87.9521983082302];6200 N TEUTONIA AV
63570074;12/23/2006;09:41 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10082587705575, -87.93349125809353];4610 N 19TH ST
63560028;12/22/2006;07:57 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.147142800998324, -87.96108339353127];7124 N 40TH ST
63560138;12/22/2006;03:41 PM;7.0;THEFT FROM BUILDING;;;[43.09767751659017, -87.93202088773155];1700 W CORNELL ST
63550050;12/21/2006;09:21 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.1069940313636, -87.94659912479058];4929 N 27TH ST
63540078;12/20/2006;12:39 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11043391552311, -87.94276684256704];5131 N 24TH PL
63530039;12/19/2006;08:05 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.1049144657222, -87.93528489353127];4822 N 19TH PL
63530168;12/19/2006;06:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10466749321933, -87.96012180270043];3800 W HAMPTON AV
63530200;12/19/2006;09:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;[43.09499147013694, -87.94484061226845];2511 W ROOSEVELT DR
63520108;12/18/2006;02:25 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10895583236194, -87.96141338631791];5030 N 39TH ST
63520111;12/18/2006;02:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10472185780042, -87.95918112745089];3700 W HAMPTON AV
63510143;12/17/2006;03:54 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.112520335276116, -87.95521963200395];5227 N 34TH ST
63510175;12/17/2006;07:44 PM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.089964575076465, -87.92578238631792];4020 N 12TH ST
63510179;12/17/2006;08:15 PM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.09002028282072, -87.92460911757723];4029 N 11TH ST
63500091;12/16/2006;11:44 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11156053231589, -87.93584036081135];1969 W VILLARD AV
63500097;12/16/2006;12:23 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10891103136362, -87.94278911757722];5025 N 24TH PL
63500105;12/16/2006;01:09 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.117630994171634, -87.95867288631791];5506 N 37TH ST
63490057;12/15/2006;09:00 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.1075213602291, -87.97026407213649];4959 N 46TH ST #REAR
63490090;12/15/2006;11:20 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.14486636663975, -87.9657200809335];6981 N 43RD ST
63490144;12/15/2006;02:54 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10797542991521, -87.96159389566607];4975 N HOPKINS ST
63480026;12/14/2006;07:34 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.109801717179295, -87.93647492627986];5070 N 20TH ST
63480036;12/14/2006;08:01 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.14653063336027, -87.95989591185312];7074 N 39TH ST
63480059;12/14/2006;09:38 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10615707299899, -87.96063103064246];4880 N HOPKINS ST
63480109;12/14/2006;01:05 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.13383051673534, -87.9630705];4025 W MILL RD
