Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
60590145;02/28/2006;07:16 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11190904974128, -87.95041763625309];3030 W VILLARD AV
60580043;02/27/2006;10:59 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.14535539494492, -87.95591774551315];7017 N TEUTONIA AV
60580123;02/27/2006;05:22 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.105152970858114, -87.96015143903314];4808 N HOPKINS ST
60580127;02/27/2006;04:53 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10774096863639, -87.94650339353127];4964 N 27TH ST
60580147;02/27/2006;06:32 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11193053375819, -87.9645929306077];4134 W VILLARD AV
60580171;02/27/2006;08:57 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10591434952722, -87.93177137815384];4875 N GREEN BAY AV
60570046;02/26/2006;12:04 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10618383236195, -87.9638243280341];4872 N 41ST ST
60560024;02/25/2006;02:30 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.11155211755289, -87.95647928979756];5185 N 35TH ST
60560055;02/25/2006;08:15 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.094906444630396, -87.93192860646873];4245 N 17TH ST
60560059;02/25/2006;07:32 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.11480047013695, -87.94806227699232];2801 W CUSTER AV #303
60560064;02/25/2006;07:32 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.11480047013695, -87.94806227699232];2801 W CUSTER AVE #319
60560116;02/25/2006;01:39 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.08968542367896, -87.93447803499687];1900 W CAPITOL DR
60560133;02/25/2006;03:03 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.0910007171793, -87.93194288631791];4064 N 17TH ST
60550058;02/24/2006;11:02 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10248276934627, -87.93045135945502];4687 N GREEN BAY AV #A
60540016;02/23/2006;07:38 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.092067842605054, -87.9400393407874];4126 N TEUTONIA AV
60540030;02/23/2006;08:40 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11194347489748, -87.960321];3802 W VILLARD AV
60540111;02/23/2006;04:32 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.123958580904855, -87.95609633524747];5852 N 35TH ST
60520076;02/21/2006;12:49 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11816341909517, -87.95628911757723];5533 N 35TH ST
60520078;02/21/2006;01:02 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09851398834323, -87.94795397013695];4462 N 28TH ST
60520086;02/21/2006;01:49 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.109657968636384, -87.95642589901388];5070 N 35TH ST
60520109;02/21/2006;01:56 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.126864722170964, -87.95195682754316];6001 N TEUTONIA AV
