Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
60900041;03/31/2006;09:36 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11282903743778, -87.9563348139964];5250 N 35TH ST
60900129;03/31/2006;06:37 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.10545463336027, -87.9340329190665];4846 N 19TH ST #A
60890094;03/30/2006;01:43 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.100714739452584, -87.94613113188139];2503 W GLENDALE AV
60890119;03/30/2006;03:46 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10654341326679, -87.9589553280341];4900 N 37TH ST
60880063;03/29/2006;11:59 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.10321366472388, -87.95164635356933];4730 N 31ST ST
60880084;03/29/2006;01:46 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.08945448600596, -87.92522958090484];1116 W CAPITOL DR
60870170;03/28/2006;06:10 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.120501658895506, -87.95740486078269];5654 N 36TH ST
60870183;03/28/2006;07:17 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.092243785734894, -87.93824855539827];4135 N 21ST ST
60880003;03/28/2006;10:17 PM;7.0;THEFT FROM BUILDING;;;[43.10561951457095, -87.97262289200206];4842 N 48TH ST
60860036;03/27/2006;08:53 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09409248514061, -87.93521094754458];1931 W OLIVE ST
60860044;03/27/2006;10:06 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.0995231829015, -87.95040465803011];4522 N 30TH ST
60860052;03/27/2006;10:51 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.117972207340216, -87.93874119689553];2208 W NEIL PL
