;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;73340086;11/30/2007;12:13 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0969664787926, -87.93650208090484];1984 W CONGRESS ST
1;73340087;11/30/2007;11:30 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089697486005974, -87.93733997155059];2002 W CAPITOL DR
2;73350001;11/30/2007;11:47 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.097743446015365, -87.9467353607827];4416 N 27TH ST
3;73330036;11/29/2007;05:36 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09998400582839, -87.94917762479058];4545 N 29TH ST
4;73320036;11/28/2007;05:06 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.112811638178115, -87.95399484073008];5300 N 33RD ST
5;73320054;11/28/2007;07:33 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12698540683139, -87.96479936771314];6021 N 42ND ST
6;73320081;11/28/2007;10:26 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14795149125743, -87.96419386799604];7164 N 42ND ST
7;73320149;11/28/2007;02:33 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.131099104937796, -87.96273638067687];4005 W DOUGLAS AV
8;73320158;11/28/2007;02:40 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.127929148161456, -87.95214025386831];6083 N TEUTONIA AV
9;73330009;11/28/2007;11:13 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11198686348805, -87.95894067757094];3700 W VILLARD AV
10;73300035;11/26/2007;06:49 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10526098347259, -87.93921128889298];4850 N 22ND ST
11;73300147;11/26/2007;10:55 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090917137022466, -87.9394461310036];4050 N TEUTONIA AV
12;73290009;11/25/2007;12:42 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10263761226844, -87.93298759925536];4701 N 18TH ST
13;73290040;11/25/2007;04:08 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12658352986306, -87.96131172300768];3908 W FLORIST AV
14;73290062;11/25/2007;09:17 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10998609160776, -87.95640081264074];5100 N 35TH ST
15;73290115;11/25/2007;03:11 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.112689522621025, -87.96626588184586];5230 N SHERMAN BL
16;73280015;11/24/2007;01:23 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.126864722170964, -87.95195682754316];6001 N TEUTONIA AV
17;73280036;11/24/2007;03:17 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11214231418432, -87.94994249509524];5208 N TEUTONIA AV
18;73280050;11/24/2007;08:42 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.093043560909535, -87.9409776468347];2305 W ATKINSON AV
19;73280190;11/24/2007;08:35 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.1030771046224, -87.93079272026637];4715 N GREEN BAY AV
