Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
073340002;11/30/2007;12:13 AM;7.0;SIMPLE ASSAULT;;;;;3112 W GLENDALE AV #APT3
073340029;11/30/2007;06:55 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4124 W PORTAGE ST
073340034;11/30/2007;08:00 AM;4.0;ALL OTHER LARCENY;;;;;5222 N 38TH ST
073340086;11/30/2007;12:13 PM;5.0;MOTOR VEHICLE THEFT;;;;;1984 W CONGRESS ST
073340087;11/30/2007;11:30 AM;5.0;MOTOR VEHICLE THEFT;;;;;2002 W CAPITOL DR
073340106;11/30/2007;01:45 PM;4.0;ALL OTHER LARCENY;;;;;3520 W VILLARD AV
073340106;11/30/2007;01:45 PM;4.0;SHOPLIFTING;;;;;3520 W VILLARD AV
073340118;11/30/2007;04:53 PM;5.0;ALL OTHER LARCENY;;;;;1801 W OLIVE ST
073340120;11/30/2007;03:53 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6083 N 37TH ST
073340184;11/30/2007;08:24 PM;4.0;THEFT FROM BUILDING;;;;;6955 N TEUTONIA AV #4
073340215;11/30/2007;10:30 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4550 N 26TH ST
073340220;11/30/2007;10:31 PM;5.0;AGGRAVATED ASSAULT;;;;;4196 N 17TH ST
073350001;11/30/2007;11:47 PM;5.0;MOTOR VEHICLE THEFT;;;;;4416 N 27TH ST
073350002;11/30/2007;11:52 PM;5.0;ALL OTHER LARCENY;;;;;4545 N 23RD ST
073330036;11/29/2007;05:36 AM;7.0;MOTOR VEHICLE THEFT;;;;;4545 N 29TH ST
073330076;11/29/2007;10:07 AM;4.0;ALL OTHER LARCENY;;;;;7222 N TEUTONIA AV
073330105;11/29/2007;10:57 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4702 N 31ST ST
073330133;11/29/2007;02:54 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5063 N 37TH ST
073330136;11/29/2007;01:50 PM;5.0;ROBBERY;;;;;4159 N 16TH ST
073330140;11/29/2007;02:24 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4022 W KAUL AV
073330140;11/29/2007;02:24 PM;4.0;SIMPLE ASSAULT;;;;;4022 W KAUL AV
073320014;11/28/2007;01:10 AM;5.0;SIMPLE ASSAULT;;;;;1985 W HAMPTON AV
073320036;11/28/2007;05:06 AM;4.0;MOTOR VEHICLE THEFT;;;;;5300 N 33RD ST
073320047;11/28/2007;08:21 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;4110 W FLORIST AV
073320054;11/28/2007;07:33 AM;4.0;MOTOR VEHICLE THEFT;;;;;6021 N 42ND ST
073320056;11/28/2007;09:10 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4611 W KILEY AV
073320059;11/28/2007;09:31 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4618 W WOOLWORTH AV
073320081;11/28/2007;10:26 AM;4.0;MOTOR VEHICLE THEFT;;;;;7164 N 42ND ST
073320088;11/28/2007;08:55 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5550 N 27TH ST #3
073320107;11/28/2007;12:34 PM;4.0;SIMPLE ASSAULT;;;;;6024 N 35TH ST #203
073320112;11/28/2007;12:55 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5150 N 35TH ST
073320149;11/28/2007;02:33 PM;4.0;MOTOR VEHICLE THEFT;;;;;4005 W DOUGLAS AV
073320150;11/28/2007;03:36 PM;4.0;ALL OTHER LARCENY;;;;;5464 N LONG ISLAND DR
073320158;11/28/2007;02:40 PM;4.0;MOTOR VEHICLE THEFT;;;;;6083 N TEUTONIA AV
073320167;11/28/2007;04:19 PM;4.0;DISORDERLY CONDUCT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5261 N 33RD ST
073320192;11/28/2007;06:03 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;7140 N 48TH ST
073320197;11/28/2007;06:46 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5973 N 38TH ST
073320210;11/28/2007;08:19 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4976 N 36TH ST
073320214;11/28/2007;05:45 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4461 N 30TH ST
