Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
70590037;02/28/2007;09:23 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.128558206518164, -87.95220295939865];6129 N TEUTONIA AV
70590092;02/28/2007;02:25 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.105543478792605, -87.96599083236194];4228 W LUSCHER AV
70580027;02/27/2007;06:53 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11596783819033, -87.95879165753918];5415 N 37TH ST
70580032;02/27/2007;07:40 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.118316586733215, -87.95993915753918];5541 N 38TH ST
70580077;02/27/2007;12:58 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09968499417161, -87.94911391185313];4530 N 29TH ST
70570072;02/26/2007;12:28 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09328425088613, -87.93447485274609];1910 W HOPE AVE
70570073;02/26/2007;12:28 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
70570075;02/26/2007;02:32 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10419942680009, -87.93230640204331];1733 W HAMPTON AV
70560064;02/25/2007;02:22 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11186948268775, -87.9523512485429];3120 W VILLARD AV
70560074;02/25/2007;04:12 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.115648691165646, -87.95884285945384];3700 W CUSTER AV
70550057;02/24/2007;10:40 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10956758090484, -87.94521338631792];5054 N 26TH ST
70550090;02/24/2007;02:37 PM;7.0;THEFT FROM BUILDING;;;;;[43.10021240022504, -87.94554565762608];4558 N 26TH ST
70550092;02/24/2007;02:38 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.089832486005974, -87.944202];2462 W CAPITOL DR
70550099;02/24/2007;03:39 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11306758024705, -87.94876150788504];5300 N 29TH ST
70540144;02/23/2007;06:43 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1064725115412, -87.971211];4628 W STARK ST
70530036;02/22/2007;06:44 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.108349169714806, -87.93787571274245];2032 W FAIRMOUNT AV
70530041;02/22/2007;06:55 AM;4.0;THEFT FROM MOTOR VEHICLE;ARSON;;;;[43.12948407799067, -87.95964285356932];6124 N 38TH ST
70530119;02/22/2007;04:29 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.13899103165207, -87.95394672162362];6680 N TEUTONIA AV
70530121;02/22/2007;04:33 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.096742947544584, -87.94931007372014];4371 N 29TH ST
70530134;02/22/2007;05:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.109464877974354, -87.96630476639115];5076 N SHERMAN BL
70520129;02/21/2007;04:38 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09243082653356, -87.92692538631792];4146 N 13TH ST
70510100;02/20/2007;03:20 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10759666472387, -87.9713663280341];4950 N 47TH ST
70500012;02/19/2007;02:00 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.129672916669264, -87.9521983082302];6200 N TEUTONIA AV
70500048;02/19/2007;09:55 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.13204572687416, -87.95262637916093];6263 N TEUTONIA AV
70500074;02/19/2007;12:51 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10473345715252, -87.97210357660568];4720 W HAMPTON AV
70500078;02/19/2007;01:16 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11854986372555, -87.95143063200395];5555 N 31ST ST
70500125;02/19/2007;05:16 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10087126054742, -87.94618022449069];2522 W GLENDALE AV
70490044;02/18/2007;08:22 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09612357658127, -87.94305821774493];4364 N 24TH PL
70490048;02/18/2007;09:22 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11419852842077, -87.92776286081136];1339 W LAWN AV
70490052;02/18/2007;09:41 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090477994171636, -87.92698388631791];4046 N 13TH ST
70480015;02/17/2007;02:21 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11188029080677, -87.97535433618351];5025 W VILLARD AV
70480132;02/17/2007;05:20 PM;4.0;THEFT FROM BUILDING;;;;;[43.14599486649551, -87.95611541023702];7049 N TEUTONIA AV #2
70470027;02/16/2007;08:35 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090695754371296, -87.94351065364403];4043 N 24TH PL
70470034;02/16/2007;09:56 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10471452596791, -87.96757008090484];4330 W HAMPTON AV
70460034;02/15/2007;09:20 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.105152970858114, -87.96015143903314];4808 N HOPKINS ST
70460039;02/15/2007;11:33 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.148645515436336, -87.957452690836];3632 W GOOD HOPE RD
70460091;02/15/2007;06:04 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10212486372555, -87.93703911368208];4655 N 20TH ST
70450036;02/14/2007;08:50 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10955941909515, -87.9452891281088];5059 N 26TH ST
70450081;02/14/2007;01:50 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10473049321934, -87.97283197446477];4800 W HAMPTON AV
70450180;02/14/2007;10:59 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14288989111384, -87.95778877780967];3733 W CHEYENNE ST
70440074;02/13/2007;07:54 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10588565889549, -87.93284340463977];4870 N 18TH ST
70430051;02/12/2007;12:55 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10281880682672, -87.95035487520941];4710 N 30TH ST
70430074;02/12/2007;02:25 PM;7.0;THEFT FROM BUILDING;;;;;[43.091260826533556, -87.93311543738835];4078 N 18TH ST
70430103;02/12/2007;05:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.106543444630375, -87.97144909925535];4901 N 47TH ST
70410034;02/10/2007;07:10 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10901799417161, -87.94271588631791];5030 N 24TH PL
70400125;02/09/2007;05:14 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.118197994171624, -87.94621535299241];5550 N 27TH ST
70390021;02/08/2007;07:09 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.119094509812314, -87.94845271472553];2935 W SILVER SPRING DR
70390084;02/08/2007;04:36 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11102506419875, -87.93915417248289];5145 N 22ND ST
70390094;02/08/2007;05:10 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.114545031363605, -87.95882863200394];5335 N 37TH ST
70370090;02/06/2007;11:41 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11480047013695, -87.94806227699232];2801 W CUSTER AV
70370194;02/06/2007;11:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10145967055226, -87.94915062479058];4625 N 29TH ST
70370195;02/06/2007;11:09 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11186647013694, -87.95690141909516];3515 W VILLARD AV
70350040;02/04/2007;11:29 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.102133549541236, -87.94672954097155];4661 N 27TH ST
70340099;02/03/2007;02:26 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09765459525831, -87.94671340552955];4410 N 27TH ST
70320107;02/01/2007;04:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08973945715252, -87.93964110410279];2200 W CAPITOL DR
70320174;02/01/2007;09:43 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.099316717179306, -87.94670589353127];4512 N 27TH ST
70580091;02/27/2007;02:24 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07469266472387, -87.9861643607827];3054 N 59TH ST
70570041;02/26/2007;09:29 AM;7.0;THEFT FROM BUILDING;;;;;[43.072739612268464, -87.97486107372015];2951 N 49TH ST
70570058;02/26/2007;12:22 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.026790832618126, -88.00242262908161];543 S 72ND ST
70570065;02/26/2007;01:07 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0724545994865, -87.98900235847408];6101 W APPLETON AV
70570123;02/26/2007;05:51 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.066655077990646, -87.98332336799605];2620 N 56TH ST
70550030;02/24/2007;07:37 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.03604956059242, -87.99523996280801];6629 W BLUE MOUND RD
70520033;02/21/2007;08:04 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08283716180969, -87.98959539353127];3500 N 62ND ST
70520039;02/21/2007;08:36 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.02918883236194, -87.99362438631792];214 S 65TH ST
