Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
70300146;01/30/2007;08:33 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10626617346645, -87.93809157372014];4885 N 21ST ST
70290051;01/29/2007;10:38 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11189694678888, -87.94900009147919];2900 W VILLARD AV
70290079;01/29/2007;12:49 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08999024669271, -87.95368184801562];3200 W CAPITOL DR
70290091;01/29/2007;02:10 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.13204572687416, -87.95262637916093];6263 N TEUTONIA AV
70290121;01/29/2007;05:05 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1222137543713, -87.95743159925536];5733 N 36TH ST
70290154;01/29/2007;07:00 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.13439919900168, -87.96221916201122];6423 N 40TH ST
70280097;01/28/2007;03:06 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09782200279864, -87.9371658475098];2000 W ROOSEVELT DR
70270005;01/27/2007;12:46 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12804202412781, -87.95203389689945];6100 N TEUTONIA AV
70260118;01/26/2007;03:05 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV
70260125;01/26/2007;03:15 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.099486826533564, -87.9466959190665];4520 N 27TH ST
70260133;01/26/2007;04:20 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090993173466444, -87.93202009925535];4067 N 17TH ST
70240096;01/24/2007;12:54 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09101285957062, -87.92388033253482];4087 N GREEN BAY AV
70240170;01/24/2007;02:17 PM;7.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
