;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;81820036;06/30/2008;03:02 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14945951624266, -87.95919177464667];7233 N 38TH ST
1;81800027;06/28/2008;12:11 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11852294754459, -87.9526416503258];5553 N 32ND ST
2;81790054;06/27/2008;07:57 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14556189203072, -87.95597591023702];7027 N TEUTONIA AV
3;81780050;06/26/2008;05:51 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11884669608747, -87.95993015753918];5565 N 38TH ST
4;81780154;06/26/2008;02:56 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11102633527614, -87.96896810646872];5151 N 45TH ST
5;81770015;06/25/2008;12:52 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.1015132173291, -87.93119875461984];4650 N PARKWAY AV
6;81770049;06/25/2008;05:20 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11149669404192, -87.97388215282648];5175 N 49TH ST
7;81770182;06/25/2008;06:20 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10641651933149, -87.95652123685748];3500 W MOTHER DANIELS WA
8;81750157;06/23/2008;05:59 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14490551875455, -87.95714302553522];3700 W KILEY AV
9;81730073;06/21/2008;09:19 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10931278351319, -87.96218424926404];5065 N HOPKINS ST
10;81720019;06/20/2008;02:00 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10993783819032, -87.95284062479058];5107 N 32ND ST
11;81720094;06/20/2008;11:32 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10473049321934, -87.9730335];4806 W HAMPTON AV
12;81730009;06/20/2008;11:32 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10828549321932, -87.96249097446477];3930 W FAIRMOUNT AV
13;81710056;06/19/2008;07:31 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.127431910352584, -87.95846236078269];6034 N 37TH ST
14;81710152;06/19/2008;07:29 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.106544502914204, -87.97392762479058];4899 N 49TH ST
15;81700123;06/18/2008;03:36 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11079840486167, -87.9588360672589];5140 N 37TH ST
16;81700126;06/18/2008;01:35 PM;7.0;MOTOR VEHICLE THEFT;ALL OTHER LARCENY;;;;[43.11079840486167, -87.9588360672589];5140 N 37TH ST
17;81690045;06/17/2008;08:05 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10473252596792, -87.97088233236194];4616 W HAMPTON AV
18;81690057;06/17/2008;10:38 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10944960644008, -87.97381636078269];5052 N 49TH ST
19;81680172;06/16/2008;04:00 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11711148600597, -87.9361303097409];1916 W SHERIDAN AV
