Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
83350041;11/30/2008;09:03 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11000185444857, -87.97130060120685];5100 N 47TH ST
83340071;11/29/2008;09:34 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10202683819031, -87.93703813921731];4649 N 20TH ST
83320058;11/27/2008;11:18 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110656528449425, -87.96018763200395];5139 N 38TH ST
83320064;11/27/2008;11:30 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09213488481737, -87.94687239353127];4120 N 27TH ST
83300075;11/25/2008;11:43 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10592258090483, -87.96777286078269];4860 N 44TH ST
83290041;11/24/2008;10:04 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11893686372554, -87.95141810646872];5573 N 31ST ST
83290107;11/24/2008;10:44 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11094525310187, -87.94777127840595];5147 N 28TH ST
83290125;11/24/2008;04:50 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11079840486167, -87.9588360672589];5140 N 37TH ST
83280031;11/23/2008;07:25 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10229588481735, -87.95166443738836];4664 N 31ST ST
83280169;11/23/2008;11:50 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10816374854292, -87.9725923607827];4976 N 48TH ST
83270065;11/22/2008;12:53 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13828249047803, -87.95597013918865];3500 W ELM ST
83270110;11/22/2008;04:47 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.111933484272235, -87.95412052915958];3300 W VILLARD AV
83260021;11/21/2008;08:29 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.126864722170964, -87.95195682754316];6001 N TEUTONIA AV
83250051;11/20/2008;12:01 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12007453231588, -87.96532058381904];4221 W REICHERT PL
83250073;11/20/2008;01:43 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10837783546858, -87.97519019705024];5000 W FAIRMOUNT AV
83240029;11/19/2008;08:57 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.099653154307866, -87.94416428437856];4533 N TEUTONIA AV
83230149;11/18/2008;05:37 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12658429331842, -87.95499717705512];3402 W FLORIST AV
83200097;11/15/2008;01:14 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110245045366824, -87.962626413028];5119 N HOPKINS ST
83180024;11/13/2008;07:08 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11199233819671, -87.96273008967763];4028 W VILLARD AV
