;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;80310041;01/31/2008;09:19 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.13454294754459, -87.96472159925536];6429 N 42ND ST
1;80310047;01/31/2008;09:44 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.092620381903174, -87.92814293738836];4154 N 14TH ST
2;80300043;01/30/2008;01:20 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09409248514061, -87.93521094754458];1931 W OLIVE ST
3;80300086;01/30/2008;05:28 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10741669608748, -87.96505161368208];4945 N 42ND ST
4;80300096;01/30/2008;03:39 PM;4.0;THEFT FROM BUILDING;;;;;[43.127499749288226, -87.96485067434293];6047 N 42ND ST
5;80300100;01/30/2008;06:35 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10361, -87.94913015753917];4751 N 29TH ST
6;80290053;01/29/2008;09:35 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.090699978206594, -87.94470973307286];4059 N 25TH ST
7;80280032;01/28/2008;06:30 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.118197994171624, -87.94621535299241];5550 N 27TH ST #1
8;80280083;01/28/2008;02:01 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0899075337582, -87.95081216472387];3000 W CAPITOL DR
9;80280084;01/28/2008;02:05 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09882337301637, -87.94373147755185];4485 N TEUTONIA AV
10;80270087;01/27/2008;03:12 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.091411481245466, -87.93547241909516];1933 W FIEBRANTZ AV
11;80270115;01/27/2008;07:50 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1426462586465, -87.95690494397353];6871 N DARIEN ST
12;80260076;01/26/2008;11:50 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.127343954321354, -87.95615737254921];6035 N 35TH ST
