Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
92430084;08/31/2009;07:40 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09515146436588, -87.94851299999999];2808 W ROOSEVELT DR
92430152;08/31/2009;06:30 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10279172300767, -87.93657284635597];4706 N 20TH ST
92430184;08/31/2009;09:04 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09344799417161, -87.94558290463978];4230 N 26TH ST
92410040;08/29/2009;05:35 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12946719900168, -87.95848009925535];6125 N 37TH ST
92400083;08/28/2009;01:23 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.124563962231235, -87.9461586379486];2706 W BOBOLINK AV
92400127;08/28/2009;05:43 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10970372300767, -87.96140536078269];5064 N 39TH ST
92390036;08/27/2009;08:09 AM;5.0;MOTOR VEHICLE THEFT;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09844349708581, -87.93937485356932];4464 N 22ND ST
92390140;08/27/2009;04:08 PM;4.0;BURGLARY/BREAKING AND ENTERING;MOTOR VEHICLE THEFT;;;;[43.14550323980035, -87.96430495902844];7022 N 42ND ST
92390160;08/27/2009;03:33 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11124040432549, -87.95648585218129];5169 N 35TH ST
92390185;08/27/2009;08:09 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1174366541578, -87.95620396403346];5500 N 35TH ST
92380039;08/26/2009;06:27 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14717108964743, -87.96116015032581];7123 N 40TH ST
92380056;08/26/2009;08:06 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.141306490478044, -87.966774];4330 W GREEN TREE RD
92380062;08/26/2009;10:02 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09049672745109, -87.93440103375819];4039 N 19TH ST
92380101;08/26/2009;01:01 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.103358000000014, -87.94905638631792];4738 N 29TH ST
92370030;08/25/2009;04:23 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09907125825496, -87.94924825825495];2900 W RUBY AV
92370073;08/25/2009;11:52 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11944728421804, -87.96470578421804];4200 W SILVER SPRING DR
92360052;08/24/2009;08:14 AM;4.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.12721719900168, -87.95854759925535];6023 N 37TH ST
92350020;08/23/2009;02:46 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092067842605054, -87.9400393407874];4126 N TEUTONIA AV
92350031;08/23/2009;04:12 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.120953052455434, -87.95859286078269];5678 N 37TH ST
92350111;08/23/2009;02:54 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10234932944775, -87.94905435356932];4668 N 29TH ST
92340016;08/22/2009;02:10 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.099082329447754, -87.94169540132155];4500 N 24TH ST
92340094;08/22/2009;02:20 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09643703136362, -87.94684961036386];4355 N 27TH ST
92340111;08/22/2009;02:43 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14870946826103, -87.96476305536962];4230 W GOOD HOPE RD
92340129;08/22/2009;06:40 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09813659562003, -87.94439106437198];4450 N 25TH ST
92330077;08/21/2009;12:24 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.111905274604865, -87.95004027460486];3000 W VILLARD AV
92330133;08/21/2009;06:06 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10466749321933, -87.96012180270043];3800 W HAMPTON AV
92320119;08/20/2009;02:49 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.093615657685135, -87.92549007771866];1201 W OLIVE ST
92310031;08/19/2009;06:33 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.103655, -87.93298063200395];4751 N 18TH ST
92310156;08/19/2009;06:38 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09739228044888, -87.94672112470306];4400 N 27TH ST
92300224;08/18/2009;11:26 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11680299417162, -87.96345240463978];5454 N 41ST ST
92290027;08/17/2009;04:30 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10696148958399, -87.94792203583566];4923 N TEUTONIA AV #3
92290039;08/17/2009;07:43 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11067461226844, -87.97262812089545];5129 N 48TH ST
92290084;08/17/2009;10:16 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14600108964743, -87.96569111036386];7047 N 43RD ST #2
92280086;08/16/2009;12:33 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09704999454981, -87.93897810194092];2110 W CONGRESS ST
92280123;08/16/2009;04:11 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11884602553522, -87.95509761368207];5567 N 34TH ST
92270046;08/15/2009;01:34 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11040682292687, -87.96388097374363];5126 N 41ST ST
92260069;08/14/2009;10:30 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110513419095156, -87.97020815753918];5127 N 46TH ST
92260081;08/14/2009;11:22 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12100289504805, -87.95074436562344];5700 N TEUTONIA AV
92260103;08/14/2009;01:22 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11193227463925, -87.95297475];3200 W VILLARD AV
