;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;93640040;12/30/2009;08:02 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14129822968839, -87.95797877798333];3750 W GREEN TREE RD
1;93630052;12/29/2009;12:13 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110182903124944, -87.9394958614761];2228 W LANCASTER AV
2;93620038;12/28/2009;10:01 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12455452654483, -87.94838330682671];2830 W BOBOLINK AV
3;93600002;12/26/2009;12:46 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09140248124546, -87.93502144463038];1919 W FIEBRANTZ AV
4;93580036;12/24/2009;10:36 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09146280711517, -87.93856465860704];2100 W ATKINSON AV
5;93580065;12/24/2009;03:52 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09096340743841, -87.93430441185313];4060 N 19TH ST
6;93570071;12/23/2009;12:23 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11425751154118, -87.92717013918865];1314 W LAWN AV
7;93560023;12/22/2009;07:17 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14535539494492, -87.95591774551315];7017 N TEUTONIA AV
8;93550018;12/21/2009;04:50 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.094491826533556, -87.92931391185313];4228 N 15TH ST
9;93530007;12/19/2009;01:21 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10671503136362, -87.95780157372015];4911 N 36TH ST
10;93520067;12/18/2009;07:51 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11501412101103, -87.95399052986305];5359 N 33RD ST
11;93500061;12/16/2009;01:00 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10902577793559, -87.93838579700088];2035 W COLFAX PL
12;93490009;12/15/2009;05:59 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.145215250072106, -87.96571163979422];7009 N 43RD ST
13;93490022;12/15/2009;09:10 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12008750043269, -87.9516627485429];3114 W REICHERT PL
14;93490107;12/15/2009;06:33 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11262833527613, -87.95521963200395];5233 N 34TH ST
15;93480034;12/14/2009;10:07 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11409695920133, -87.9501045572742];5314 N TEUTONIA AV
16;93460073;12/12/2009;01:24 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.109614896413696, -87.93796581892455];5062 N 21ST ST
17;93450031;12/11/2009;10:01 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.15368248014893, -87.95847772095885];7477 N TEUTONIA AV
18;93450036;12/11/2009;11:13 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090973779906506, -87.94350859925535];4053 N 24TH PL
19;93450046;12/11/2009;12:15 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
20;93450134;12/11/2009;10:59 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10000969608748, -87.95047916143432];4547 N 30TH ST
21;93440008;12/10/2009;02:20 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089937670213466, -87.9470507731148];2700 W CAPITOL DR
22;93450004;12/10/2009;11:06 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11188648124544, -87.9622425];3927 W VILLARD AV
23;93430019;12/09/2009;08:04 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11693117346644, -87.95631064311246];5463 N 35TH ST
24;93400161;12/06/2009;09:35 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.118712546742614, -87.92621052844942];1229 W SILVER SPRING DR
25;93390093;12/05/2009;02:19 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14600108964743, -87.96569111036386];7047 N 43RD ST
26;93390109;12/05/2009;01:35 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11378419141787, -87.9552294965222];5301 N 34TH ST
27;93390142;12/05/2009;07:48 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12658602141596, -87.95617649105935];3500 W FLORIST AV
28;93350160;12/01/2009;07:50 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11923446826101, -87.9538635];3232 W SILVER SPRING DR
29;93650028;12/31/2009;07:56 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07014000582839, -87.97864760646873];2813 N 52ND ST
30;93590037;12/25/2009;10:08 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06710074250306, -87.97860089400163];2652 N 52ND ST
31;93570007;12/23/2009;12:42 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04677533527612, -87.97031064253552];1241 N 45TH ST
32;93570037;12/23/2009;08:09 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08619483236194, -88.00716640074464];3776 N 76TH ST
