;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;90590081;02/28/2009;04:18 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14648708964742, -87.96566861036386];7069 N 43RD ST
1;90590084;02/28/2009;04:28 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10901967055224, -87.9528486503258];5037 N 32ND ST
2;90580030;02/27/2009;07:40 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14736948600597, -87.95859207799064];3716 W ROCHELLE AV
3;90560117;02/25/2009;05:23 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14839952452562, -87.95826];3707 W GOOD HOPE RD
4;90550019;02/24/2009;06:54 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10551883819031, -87.96156013200395];4841 N 39TH ST
5;90550025;02/24/2009;07:46 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.115848994171614, -87.95992486078269];5408 N 38TH ST
6;90540064;02/23/2009;11:20 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.105365419095165, -87.96784909925536];4835 N 44TH ST
7;90530048;02/22/2009;12:31 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111881506203744, -87.96417044892955];4129 W VILLARD AV
8;90510024;02/20/2009;08:59 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.124786329447744, -87.96212633524746];5886 N 40TH ST
9;90510096;02/20/2009;04:00 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14685365889551, -87.95988241185313];7110 N 39TH ST
10;90510117;02/20/2009;04:34 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.101853292255754, -87.93539897547438];4661 N 19TH PL
11;90510121;02/20/2009;08:26 PM;4.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.11243975437128, -87.96007963200395];5219 N 38TH ST
12;90490162;02/18/2009;11:02 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10471609913085, -87.95860602865434];3630 W HAMPTON AV
13;90480115;02/17/2009;01:03 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.100714739452584, -87.94617531522977];2521 W GLENDALE AV
14;90470077;02/16/2009;03:37 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11193227463925, -87.95297475];3200 W VILLARD AV
15;90450110;02/14/2009;04:54 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.120278785150184, -87.96112188708122];5647 N 39TH ST
16;90450117;02/14/2009;02:07 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10658928282069, -87.93288859925535];4903 N 18TH ST
17;90430077;02/12/2009;01:00 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.108757580904836, -87.9452258280341];5016 N 26TH ST
18;90420121;02/11/2009;03:57 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110953687460494, -87.94769566720538];5148 N 28TH ST
19;90400047;02/09/2009;11:56 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.128007658895484, -87.95969341185312];6060 N 38TH ST
20;90400138;02/09/2009;09:27 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12476486508119, -87.9661556695151];5860 N SHERMAN BL
21;90390021;02/08/2009;03:51 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10819851399404, -87.934401];1911 W FAIRMOUNT AV
22;90370021;02/06/2009;05:02 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
23;90370034;02/06/2009;07:38 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.112689522621025, -87.96626588184586];5230 N SHERMAN BL
24;90360115;02/05/2009;09:33 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092790575076464, -87.93931643738836];4132 N 22ND ST
25;90350026;02/04/2009;07:47 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10720966472388, -87.97877235356933];4930 N 53RD ST
26;90350054;02/04/2009;01:20 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09079329808415, -87.93431341185313];4054 N 19TH ST
27;90350070;02/04/2009;02:29 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09027379776987, -87.937046255993];4015 N 20TH ST
28;90330015;02/02/2009;02:40 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08961119458041, -87.93208946804508];4001 N 17TH ST
