;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;91510005;05/31/2009;12:13 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09003788481738, -87.92699485688755];4028 N 13TH ST
1;91510083;05/31/2009;12:37 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11194652264969, -87.96592333236194];4224 W VILLARD AV
2;91510112;05/31/2009;04:17 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11186050432783, -87.9517932485429];3100 W VILLARD AV
3;91510152;05/31/2009;09:09 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09390786372555, -87.94691008093349];4259 N 27TH ST
4;91470021;05/27/2009;05:05 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089652486005974, -87.93534049417161];1928 W CAPITOL DR #3
5;91470060;05/27/2009;10:14 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09340413627447, -87.93550591185313];4172 N 19TH PL
6;91460123;05/26/2009;04:47 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090936994171614, -87.92697341517136];4072 N 13TH ST
7;91440120;05/24/2009;05:17 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09762146768411, -87.94616445045877];2614 W PORT SUNLIGHT WA
8;91440185;05/24/2009;11:34 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09129062447347, -87.938897988199];4080 N 21ST ST
9;91430070;05/23/2009;11:15 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.118260994171635, -87.94621338242277];5530 N 27TH ST #1
10;91410077;05/21/2009;11:45 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090450524265826, -87.9372075996594];2001 W ATKINSON AV
11;91410127;05/21/2009;05:16 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.103106, -87.94912909925536];4727 N 29TH ST
12;91400068;05/20/2009;11:46 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.15368248014893, -87.95847772095885];7477 N TEUTONIA AV
13;91390017;05/19/2009;02:25 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09741827200067, -87.944012624185];4414 N 25TH ST
14;91390039;05/19/2009;09:26 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11630968027578, -87.93835080708651];5450 N LONG ISLAND DR
15;91390127;05/19/2009;07:12 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10478928348007, -87.97586297961504];5030 W HAMPTON AV
16;91370074;05/17/2009;04:53 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14286083753314, -87.9569465892384];6900 N 37TH ST
17;91370091;05/17/2009;01:48 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.129561410574055, -87.96398575267956];4130 W KAUL AV
18;91370113;05/17/2009;06:03 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10430153563413, -87.93506202844941];1935 W HAMPTON AV
19;91370114;05/17/2009;09:02 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12722424439709, -87.9647407050763];6036 N 42ND ST
20;91360020;05/16/2009;12:22 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10880232944774, -87.95278636799604];5024 N 32ND ST
21;91360037;05/16/2009;07:02 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10825048124544, -87.967143];4323 W FAIRMOUNT AV
22;91370008;05/16/2009;08:44 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1438047543713, -87.96574863589909];6937 N 43RD ST #3
23;91340090;05/14/2009;02:13 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.127764910352596, -87.9584533607827];6048 N 37TH ST
24;91340096;05/14/2009;02:59 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.104351303679, -87.94420882644931];2501 W HAMPTON AV
25;91320030;05/12/2009;04:18 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.148725864715, -87.96084811241549];3922 W GOOD HOPE RD
26;91320056;05/12/2009;10:06 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.112689522621025, -87.96626588184586];5230 N SHERMAN BL
27;91310019;05/11/2009;01:23 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092067842605054, -87.9400393407874];4126 N TEUTONIA AV
28;91300017;05/10/2009;02:57 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.094473994171636, -87.93421441185313];4214 N 19TH ST
29;91300161;05/10/2009;09:21 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08968542367896, -87.93447803499687];1900 W CAPITOL DR
30;91290016;05/09/2009;02:30 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11175436081135, -87.97385960646872];5179 N 49TH ST
31;91290105;05/09/2009;12:44 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
32;91290122;05/09/2009;04:43 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.118261413266794, -87.96461535356933];5534 N 42ND ST
33;91290196;05/09/2009;11:48 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10432853563412, -87.93837411226845];2109 W HAMPTON AV
34;91280156;05/08/2009;05:17 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12091250678068, -87.95226149999999];3125 W THURSTON AV
35;91280168;05/08/2009;04:25 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13102740430715, -87.96092651490596];6191 N 39TH ST
36;91260139;05/06/2009;04:29 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10456548709775, -87.94798356957365];2800 W HAMPTON AV
37;91250066;05/05/2009;12:08 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11703724562872, -87.95869538631791];5466 N 37TH ST
38;91230048;05/03/2009;08:50 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09762399417161, -87.95041441185313];4416 N 30TH ST
39;91230051;05/03/2009;09:39 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08980646047076, -87.94221322009349];2400 W CAPITOL DR
40;91210043;05/01/2009;09:18 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.115904754371286, -87.96118909925535];5411 N 39TH ST
41;91210106;05/01/2009;05:15 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14129515250507, -87.95776799092593];3730 W GREEN TREE RD
42;91510010;05/30/2009;10:11 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03321817453073, -87.98606267453073];5900 W PARK HILL AV
43;91470046;05/27/2009;10:06 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07165378681175, -87.97607609423629];2900 N 50TH ST
44;91460102;05/26/2009;02:49 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06653245294027, -87.98450383071714];5707 W LISBON AV
45;91420068;05/22/2009;10:47 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.081818873160614, -87.9821593877602];3445 N 55TH ST
46;91390066;05/19/2009;01:25 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.072173167638056, -87.9851690809335];2921 N 58TH ST
47;91380096;05/18/2009;02:06 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06392072191116, -87.97938657395129];5230 W LISBON AV
48;91360075;05/16/2009;10:13 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06839760357952, -87.98561553290538];5815 W APPLETON AV
49;91360156;05/16/2009;07:29 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.033544635197984, -88.03120965757793];317 N 95TH ST
50;91350067;05/15/2009;11:42 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07626809683213, -87.98381451067581];5629 W AUER AV
51;91340046;05/14/2009;09:39 AM;3.0;MOTOR VEHICLE THEFT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.04727916763807, -87.96557110315051];4227 W HIGHLAND BL
52;91310103;05/11/2009;03:03 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0811571268394, -87.98203309391792];3414 N 55TH ST
53;91300039;05/10/2009;03:18 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.063659167638065, -87.98639113200394];2451 N 59TH ST
54;91300155;05/10/2009;09:58 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.027974, -87.99740111757723];419 S 68TH ST
55;91290125;05/09/2009;04:44 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.02706516763806, -88.00109438631792];502 S 71ST ST
56;91280096;05/08/2009;12:50 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08322600582838, -87.9921881281088];3527 N 64TH ST
57;91240036;05/04/2009;09:59 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.069610733019665, -87.99019717219704];6200 W LISBON AV
58;91210035;05/01/2009;09:20 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05795316763806, -87.97878057372014];2135 N 52ND ST
59;91210057;05/01/2009;12:31 PM;3.0;THEFT FROM MOTOR VEHICLE;MOTOR VEHICLE THEFT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;[43.05609033527614, -87.9799048607827];2004 N 53RD ST
60;91510060;05/31/2009;10:36 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98792828372003, -87.96046657275414];3120 S 37TH ST
61;91430009;05/23/2009;01:41 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98453499599454, -87.95229865136133];3330 S 30TH ST
62;91430141;05/23/2009;05:53 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97862713627447, -87.98657549956731];3622 S 58TH ST
