Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
091200008;04/30/2009;12:04 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4383 N 27TH ST
091200040;04/30/2009;09:25 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;3903 W VILLARD AV
091200043;04/30/2009;10:03 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4550 N 27TH ST
091200059;04/30/2009;10:53 AM;4.0;ALL OTHER LARCENY;;;;;5324 N 26TH ST
091200089;04/30/2009;03:47 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5357 N 38TH ST
091200130;04/30/2009;08:29 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3500 W FLORIST AV
091200133;04/30/2009;08:52 PM;4.0;ALL OTHER LARCENY;;;;;5546 N 34TH ST
091200145;04/30/2009;09:46 PM;7.0;SIMPLE ASSAULT;;;;;2839 W ATKINSON AV #3
091200149;04/30/2009;08:20 PM;5.0;ROBBERY;;;;;4802 N 20TH ST
091200150;04/30/2009;08:01 PM;7.0;ROBBERY;;;;;4803 N GREEN BAY AV
091210003;04/30/2009;09:39 PM;5.0;ROBBERY;;;;;4022 N 16TH ST
091190037;04/29/2009;08:20 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2510 W CAPITOL DR
091190043;04/29/2009;06:55 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;1923 W FIEBRANTZ AV
091190055;04/29/2009;10:37 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4057 N 13TH ST
091190070;04/29/2009;12:10 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4026 N 25TH ST
091190092;04/29/2009;01:54 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2300 W CAPITOL DR
091190109;04/29/2009;02:59 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4911 N 50TH ST
091190118;04/29/2009;03:07 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4925 N 19TH PL
091190126;04/29/2009;05:11 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4758 N 31ST ST
091190142;04/29/2009;05:42 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;1634 W CAPITOL DR
091190171;04/29/2009;07:38 PM;4.0;ROBBERY;;;;;5800 N 37TH ST
091180012;04/28/2009;12:38 AM;4.0;AGGRAVATED ASSAULT;;;;;3700 W KAUL AV
091180022;04/28/2009;01:37 AM;4.0;SIMPLE ASSAULT;;;;;3508 W FLORIST AV
091180028;04/28/2009;06:19 AM;4.0;ALL OTHER LARCENY;;;;;4126 W GOOD HOPE RD
091180040;04/28/2009;09:10 AM;4.0;ALL OTHER LARCENY;;;;;5681 N 39TH ST
091180042;04/28/2009;08:30 AM;7.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5148 N TEUTONIA AV
091180043;04/28/2009;08:56 AM;5.0;MOTOR VEHICLE THEFT;;;;;4512 N 27TH ST #201
091180059;04/28/2009;10:33 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4339 N 27TH ST
091180075;04/28/2009;11:21 AM;4.0;AGGRAVATED ASSAULT;;;;;3700 W KAUL AV
091180077;04/28/2009;11:26 AM;7.0;ALL OTHER LARCENY;;;;;3323 W VILLARD AV
091180124;04/28/2009;02:44 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4624 N 19TH ST
091180127;04/28/2009;11:05 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5734 N 35TH ST
091180142;04/28/2009;05:08 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4117 N GREEN BAY AV
091180215;04/28/2009;08:56 PM;4.0;AGGRAVATED ASSAULT;;;;;3030 W VILLARD AV
091170010;04/27/2009;12:31 AM;4.0;SIMPLE ASSAULT;;;;;3726 W JUNIPER CT
091170085;04/27/2009;12:29 PM;7.0;SIMPLE ASSAULT;;;;;4938 W HAMPTON AV
091170089;04/27/2009;03:20 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5056 N HOPKINS ST
091170093;04/27/2009;12:09 PM;5.0;ALL OTHER LARCENY;;;;;1960 W ATKINSON AV
091170112;04/27/2009;01:57 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5715 N 41ST ST
091170128;04/27/2009;05:33 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4754 N PARKWAY AV
091170130;04/27/2009;05:13 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3402 W FLORIST AV #206
091170151;04/27/2009;07:38 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;1801 W OLIVE ST
091170170;04/27/2009;05:06 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4415 N 29TH ST
091170177;04/27/2009;10:40 PM;5.0;ROBBERY;;;;;2613 W HAMPTON AV
091170185;04/27/2009;08:23 PM;7.0;ALL OTHER LARCENY;TRESPASSING;;;;4552 N 28TH ST
091170191;04/27/2009;10:19 PM;7.0;SIMPLE ASSAULT;;;;;4938 W HAMPTON AV #10
091180007;04/27/2009;11:10 PM;4.0;ROBBERY;;;;;5736 N 33RD ST
091160002;04/26/2009;12:46 AM;5.0;MOTOR VEHICLE THEFT;;;;;4951 N 26TH ST
091160026;04/26/2009;05:29 AM;5.0;AGGRAVATED ASSAULT;;;;;4140 N 24TH PL
091160050;04/26/2009;11:21 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4628 N 29TH ST
091160053;04/26/2009;11:30 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2516 W CAPITOL DR
091160054;04/26/2009;11:38 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2516 W CAPITOL DR
091160079;04/26/2009;01:49 PM;4.0;MOTOR VEHICLE THEFT;;;;;3500 W VILLARD AV
091160080;04/26/2009;12:27 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4918 N 32ND ST
091160089;04/26/2009;02:13 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4876 N 21ST ST
091150022;04/25/2009;03:26 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;6044 N 36TH ST
091150046;04/25/2009;07:41 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7105 N TEUTONIA AV #106
091150067;04/25/2009;09:27 AM;7.0;ROBBERY;KIDNAPING;;;;2703 W CONGRESS ST
091150070;04/25/2009;09:37 AM;4.0;MOTOR VEHICLE THEFT;;;;;6945 N TEUTONIA AV #3
091150086;04/25/2009;08:38 AM;5.0;ALL OTHER LARCENY;;;;;4200 N TEUTONIA AV
091150093;04/25/2009;01:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5168 N 35TH ST
091150130;04/25/2009;04:03 PM;4.0;SIMPLE ASSAULT;;;;;4221 W REICHERT PL
091150132;04/25/2009;03:54 PM;4.0;AGGRAVATED ASSAULT;;;;;3628 W FLORIST AV
091150144;04/25/2009;06:13 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4061 N TEUTONIA AV
091150156;04/25/2009;08:59 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3701 W ROCHELLE AV
091140013;04/24/2009;01:58 AM;5.0;SIMPLE ASSAULT;;;;;5015 N 24TH ST
091140039;04/24/2009;08:50 AM;4.0;SIMPLE ASSAULT;;;;;6921 N TEUTONIA AV #3
091140041;04/24/2009;09:26 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4734 N 31ST ST
091140052;04/24/2009;09:36 AM;4.0;MOTOR VEHICLE THEFT;;;;;3505 W KIEHNAU AV
091140071;04/24/2009;01:24 PM;7.0;ALL OTHER LARCENY;;;;;4576 N 30TH ST
091140101;04/24/2009;02:43 PM;5.0;MOTOR VEHICLE THEFT;;;;;2404 W HOPE AV
091140151;04/24/2009;11:04 PM;7.0;AGGRAVATED ASSAULT;;;;;5035 N SHERMAN BL
091150013;04/24/2009;11:18 PM;4.0;SIMPLE ASSAULT;;;;;5754 N 41ST ST
091130012;04/23/2009;02:48 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;3300 W CAMERON AV
091130024;04/23/2009;07:47 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5169 N TEUTONIA AV
091130030;04/23/2009;08:10 AM;5.0;MOTOR VEHICLE THEFT;;;;;4240 N 24TH PL
091130045;04/23/2009;10:11 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5748 N 36TH ST
091130073;04/23/2009;01:26 PM;7.0;SIMPLE ASSAULT;;;;;2700 W CAPITOL DR
091130094;04/23/2009;04:22 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5131 N GREEN BAY AV
091130105;04/23/2009;04:54 PM;5.0;SIMPLE ASSAULT;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;DISORDERLY CONDUCT;;4038 N 25TH ST
091130106;04/23/2009;05:30 PM;5.0;ALL OTHER LARCENY;;;;;2008 W CAPITOL DR
091130110;04/23/2009;05:50 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;4123 W DOUGLAS AV
091130119;04/23/2009;06:31 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4021 N 24TH ST
091130169;04/23/2009;10:48 PM;4.0;MOTOR VEHICLE THEFT;;;;;3232 W SILVER SPRING DR
091130170;04/23/2009;10:01 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4165 N GREEN BAY AV
091140037;04/23/2009;01:09 PM;7.0;THEFT FROM BUILDING;;;;;3226 W FAIRMOUNT AV
091120021;04/22/2009;03:23 AM;5.0;SIMPLE ASSAULT;;;;;2330 W ROOSEVELT DR #109
091120054;04/22/2009;09:42 AM;5.0;MOTOR VEHICLE THEFT;;;;;4428 N 21ST ST
091120090;04/22/2009;01:25 PM;4.0;PURSE SNATCHING;;;;;7449 N TEUTONIA AV
091120110;04/22/2009;01:02 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;3119 W FAIRMOUNT AV
091120129;04/22/2009;05:45 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5165 N SHERMAN BL
091120164;04/22/2009;03:43 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5674 N 37TH ST
091120179;04/22/2009;09:51 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3200 W HAMPTON AV
091110040;04/21/2009;08:57 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5314 N TEUTONIA AV
091110045;04/21/2009;09:49 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4224 W VILLARD AV
091110047;04/21/2009;08:24 AM;7.0;ALL OTHER LARCENY;;;;;5025 N 51ST BL
091110130;04/21/2009;08:50 PM;4.0;ALL OTHER LARCENY;;;;;4012 W THURSTON AV
091110156;04/21/2009;06:54 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4670 N 19TH PL
091110159;04/21/2009;08:24 PM;4.0;ROBBERY;;;;;3500 W THURSTON AV
