;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;91800040;06/29/2009;07:12 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.154200571469794, -87.96242410502641];7528 N 41ST ST
1;91800086;06/29/2009;12:50 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10266458090484, -87.93532485356933];4702 N 19TH PL
2;91800155;06/29/2009;06:22 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10686090615462, -87.96157108005377];4945 N 39TH ST
3;91790010;06/28/2009;12:39 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.091144124640806, -87.93971088865388];4077 N TEUTONIA AV
4;91790049;06/28/2009;07:39 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10012582653357, -87.94667244460172];4550 N 27TH ST
5;91790064;06/28/2009;09:17 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1115794782131, -87.93921042312442];2229 W VILLARD AV
6;91790087;06/28/2009;10:41 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.121913443793666, -87.9511305717869];5743 N TEUTONIA AV
7;91790088;06/28/2009;11:11 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.121124251457104, -87.95498015753917];5689 N 34TH ST
8;91790091;06/28/2009;11:27 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12480416180969, -87.96459339353127];5900 N 42ND ST
9;91790202;06/28/2009;04:34 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12842240990597, -87.96731259902663];6096 N HOPKINS ST
10;91780066;06/27/2009;10:54 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09193677990652, -87.94349059925536];4115 N 24TH PL
11;91780099;06/27/2009;02:21 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.099937329447755, -87.94050541185312];4546 N 23RD ST
12;91780112;06/27/2009;03:39 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12597583819033, -87.96463962479058];5955 N 42ND ST
13;91780126;06/27/2009;04:40 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09870458090484, -87.9381833280341];4480 N 21ST ST
14;91780128;06/27/2009;04:59 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.089877486005975, -87.94602072300768];2604 W CAPITOL DR
15;91760083;06/25/2009;01:11 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09075777990651, -87.9409081392173];4045 N 23RD ST
16;91760106;06/25/2009;02:56 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.120861994171634, -87.95614486078269];5680 N 35TH ST
17;91760117;06/25/2009;03:33 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.091198779906506, -87.94349862479058];4065 N 24TH PL
18;91750068;06/24/2009;11:42 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11944728421804, -87.96470578421804];4200 W SILVER SPRING DR
19;91750099;06/24/2009;12:49 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09461011518263, -87.93429056650677];4221 N 19TH ST #A
20;91740061;06/23/2009;08:35 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.107876555369614, -87.97135635356932];4962 N 47TH ST
21;91730055;06/22/2009;09:41 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09879583819031, -87.93712108814687];4485 N 20TH ST
22;91730084;06/22/2009;12:34 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10520286372554, -87.97028015753918];4823 N 46TH ST
