;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;93040032;10/31/2009;09:01 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09767751659017, -87.93202088773155];1700 W CORNELL ST
1;93040053;10/31/2009;11:57 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.13120649567217, -87.95668427699232];3519 W DOUGLAS AV
2;93040085;10/31/2009;02:46 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10453046047076, -87.94253208090484];2426 W HAMPTON AV
3;93030163;10/30/2009;05:55 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.117605, -87.95502533524747];5506 N 34TH ST
4;93020023;10/29/2009;08:14 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09679694754459, -87.9481196281088];4377 N 28TH ST
5;93020031;10/29/2009;09:15 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10910911518263, -87.93522814311245];5037 N 19TH PL
6;93020172;10/29/2009;10:19 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09993134748116, -87.94430395201663];4545 N TEUTONIA AV
7;93030015;10/29/2009;10:44 PM;4.0;THEFT FROM BUILDING;;;;;[43.12459046436587, -87.95034930391252];3020 W BOBOLINK AV
8;93010033;10/28/2009;07:47 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09480593698433, -87.94168000155787];4277 N TEUTONIA AV
9;93010059;10/28/2009;11:07 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12488911260771, -87.95728317390989];5904 N 36TH ST
10;93010123;10/28/2009;03:11 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.147610392351474, -87.96300242473127];7152 N 41ST ST
11;93010126;10/28/2009;03:34 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09094677990652, -87.9409081392173];4055 N 23RD ST
12;93010129;10/28/2009;03:11 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.109657968636384, -87.95642589901388];5070 N 35TH ST
13;93010188;10/28/2009;07:45 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12230224562873, -87.9525023280341];5760 N 32ND ST
14;93000049;10/27/2009;09:51 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.101513115182655, -87.95176159925535];4627 N 31ST ST
15;93000184;10/27/2009;09:39 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.107753940100565, -87.96151867621413];4965 N HOPKINS ST
16;92990080;10/26/2009;10:30 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09779212418407, -87.93502490559206];1900 W CORNELL ST
17;92990122;10/26/2009;04:03 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11191645325738, -87.95665308090484];3500 W VILLARD AV
18;92990133;10/26/2009;04:32 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10004215569285, -87.93735069983839];2005 W CORNELL ST
19;92990139;10/26/2009;04:55 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10654341326679, -87.9589553280341];4900 N 37TH ST
20;92980045;10/25/2009;07:43 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12428207799064, -87.9597324190665];5862 N 38TH ST
21;92970046;10/24/2009;09:52 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.148414678624974, -87.96715183604844];4389 W GOOD HOPE RD
22;92970059;10/24/2009;12:01 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12529089508916, -87.95316903049823];5926 N 32ND ST
23;92970062;10/24/2009;12:19 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.102133549541236, -87.94672954097155];4661 N 27TH ST #104
24;92970066;10/24/2009;12:30 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09600505245544, -87.94925235356932];4334 N 29TH ST
25;92970088;10/24/2009;02:46 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11902713627447, -87.96224385356932];5570 N 40TH ST
26;92970117;10/24/2009;05:44 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.152845647787004, -87.95818785584835];7433 N TEUTONIA AV
27;92970146;10/24/2009;10:50 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10242605522539, -87.9329808988687];4695 N 18TH ST
28;92960177;10/23/2009;11:12 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.121717779906504, -87.96344809925536];5709 N 41ST ST
29;92950036;10/22/2009;09:06 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09307161809684, -87.92820754097156];4173 N 14TH ST
30;92950128;10/22/2009;06:50 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12403152345776, -87.95134739546452];5860 N TEUTONIA AV
31;92950140;10/22/2009;08:04 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10551883819031, -87.96156013200395];4841 N 39TH ST
32;92950164;10/22/2009;10:46 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10473049321934, -87.97283197446477];4800 W HAMPTON AV
33;92940077;10/21/2009;01:32 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12984519956794, -87.96433473644231];4216 W KAUL AV
34;92940102;10/21/2009;03:40 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08980839366885, -87.94094629111447];4001 N 23RD ST
35;92930068;10/20/2009;10:42 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.129858399056026, -87.96435096824523];4220 W KAUL AV
36;92930071;10/20/2009;11:00 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.149030968089, -87.959216896435];7215 N 38TH ST
37;92930178;10/20/2009;08:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1108584139792, -87.93824290039538];2028 W EGGERT PL
38;92930182;10/20/2009;08:29 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11193227463925, -87.95297475];3200 W VILLARD AV
39;92930208;10/20/2009;11:24 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.095933031363614, -87.94685763589908];4331 N 27TH ST
40;92920056;10/19/2009;12:12 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10090575385169, -87.93984317288952];2200 W CORNELL ST
41;92890122;10/16/2009;04:28 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10731699417161, -87.94526641185313];4930 N 26TH ST
42;92880048;10/15/2009;10:10 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1156672793995, -87.9636032793995];4100 W CUSTER AV
43;92810106;10/14/2009;03:34 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12108794754457, -87.95867113200394];5685 N 37TH ST
44;92870073;10/14/2009;10:42 AM;4.0;THEFT FROM BUILDING;;;;;[43.13383649062319, -87.96425238634657];4111 W MILL RD
45;92870115;10/14/2009;03:39 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.107292486005974, -87.94988958090484];2924 W CAMERON AV
46;92870164;10/14/2009;07:04 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1214334565756, -87.95659033236194];3500 W THURSTON AV
47;92860022;10/13/2009;08:14 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.125483255632304, -87.96607721153708];5930 N SHERMAN BL
48;92860068;10/13/2009;12:06 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.100777474032085, -87.95206366763806];3105 W GLENDALE AV
49;92850026;10/12/2009;07:52 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10981673959275, -87.93907621081804];5076 N 22ND ST
50;92850059;10/12/2009;10:49 AM;4.0;THEFT FROM COIN-OPPERATED MACHINES;;;;;[43.11194652264969, -87.96592333236194];4224 W VILLARD AV
51;92850060;10/12/2009;10:49 AM;4.0;THEFT FROM COIN-OPPERATED MACHINES;;;;;[43.111936464365876, -87.96539135789716];4208 W VILLARD AV
