;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;92730008;09/30/2009;02:03 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.111995274719554, -87.96149277471955];3900 W VILLARD AV
1;92730036;09/30/2009;10:18 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0899075337582, -87.95081216472387];3000 W CAPITOL DR
2;92730037;09/30/2009;06:45 AM;4.0;THEFT FROM BUILDING;;;;;[43.124345674995645, -87.9528270772695];5876 N 32ND ST #4
3;92720024;09/29/2009;08:35 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09560945045877, -87.93308060646872];4319 N 18TH ST
4;92720134;09/29/2009;07:13 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10304266472389, -87.95164635356933];4722 N 31ST ST
5;92720153;09/29/2009;09:10 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09048699417161, -87.92822491185314];4046 N 14TH ST
6;92710159;09/28/2009;07:03 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.092314077990665, -87.92570588631791];4142 N 12TH ST
7;92710172;09/28/2009;08:17 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11191645325738, -87.95665308090484];3500 W VILLARD AV
8;92710207;09/28/2009;10:35 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.098830697183985, -87.94948637650748];2901 W ATKINSON AV
9;92700046;09/27/2009;10:01 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09817299417162, -87.95039535356932];4444 N 30TH ST
10;92700056;09/27/2009;11:38 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.094494088550896, -87.9414239729069];4260 N TEUTONIA AV
11;92690066;09/26/2009;10:48 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11057752120741, -87.95027283527612];3015 W EGGERT PL
12;92690127;09/26/2009;04:12 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12713574702063, -87.96348739174985];6030 N 41ST ST
13;92690134;09/26/2009;05:01 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09131619900168, -87.94572807372015];4067 N 26TH ST
14;92680030;09/25/2009;08:07 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09515146436588, -87.94778416763806];2726 W ROOSEVELT DR
15;92680053;09/25/2009;10:15 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0941959686364, -87.94453440463978];4266 N 25TH ST
16;92670050;09/24/2009;08:20 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1290004188263, -87.96283029974661];4026 W KAUL AV
17;92670094;09/24/2009;12:40 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09566199417162, -87.93544291185313];4316 N 19TH PL
18;92660027;09/23/2009;06:34 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09140482653356, -87.92695591185313];4102 N 13TH ST
19;92660062;09/23/2009;11:04 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14867145715252, -87.96070032514858];3900 W GOOD HOPE RD
20;92660065;09/23/2009;11:22 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.099486826533564, -87.9466959190665];4520 N 27TH ST
21;92660085;09/23/2009;01:12 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12791011518263, -87.96096762479058];6055 N 39TH ST
22;92660089;09/23/2009;01:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.111877481245465, -87.95850202553522];3621 W VILLARD AV
23;92660103;09/23/2009;03:10 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11793741326679, -87.95987536078269];5520 N 38TH ST
24;92660123;09/23/2009;05:28 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11863994754458, -87.95263812479058];5559 N 32ND ST
25;92650030;09/22/2009;07:52 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12588981381074, -87.95605328999717];5964 N 35TH ST
26;92650113;09/22/2009;04:37 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08980646047076, -87.94221322009349];2400 W CAPITOL DR
27;92640055;09/21/2009;09:35 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11190904974128, -87.95041763625309];3030 W VILLARD AV
28;92640060;09/21/2009;09:57 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1105484970858, -87.96139636078269];5130 N 39TH ST
29;92640124;09/21/2009;09:21 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.13457380486482, -87.96586540074465];6400 N 43RD ST
30;92630016;09/20/2009;02:40 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11182653173897, -87.95365303664373];3217 W VILLARD AV
31;92630049;09/20/2009;08:53 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.118468580904846, -87.96342637910455];5544 N 41ST ST
32;92630072;09/20/2009;11:22 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11198627470808, -87.95772177470806];3600 W VILLARD AV
33;92630094;09/20/2009;02:05 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10200769608747, -87.94796015753917];4653 N 28TH ST
34;92630111;09/20/2009;03:08 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14769055203881, -87.9641880786487];7150 N 42ND ST
35;92630120;09/20/2009;04:44 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09140248124546, -87.93502144463038];1919 W FIEBRANTZ AV
36;92630146;09/20/2009;07:23 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10369983236194, -87.95034234967419];4752 N 30TH ST
37;92630147;09/20/2009;07:24 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09124467055227, -87.94089913921731];4069 N 23RD ST
38;92620039;09/19/2009;07:43 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10686090615462, -87.96157108005377];4945 N 39TH ST
39;92610083;09/18/2009;01:08 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09413303136361, -87.92818159925535];4213 N 14TH ST
40;92610106;09/18/2009;03:21 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14282114855147, -87.9569128776698];6872 N DARIEN ST
41;92610155;09/18/2009;07:36 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10563516763807, -87.96389915753917];4847 N 41ST ST
42;92610162;09/18/2009;08:14 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.105152970858114, -87.96015143903314];4808 N HOPKINS ST
43;92600070;09/17/2009;10:25 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10470648909623, -87.95799050506199];3600 W HAMPTON AV
44;92590034;09/16/2009;09:41 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10489792200934, -87.96666761036386];4805 N SHERMAN BL
45;92590043;09/16/2009;10:39 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
46;92580041;09/15/2009;07:41 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11244749708581, -87.95147589353127];5222 N 31ST ST
47;92570039;09/14/2009;07:49 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09369254674263, -87.92601367055225];1217 W OLIVE ST
48;92560008;09/13/2009;01:17 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14845951731226, -87.96503202844941];4225 W GOOD HOPE RD
49;92560010;09/13/2009;01:17 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14845951731226, -87.96503202844941];4225 W GOOD HOPE RD
50;92560012;09/13/2009;01:17 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14845951731226, -87.96503202844941];4225 W GOOD HOPE RD
51;92560028;09/13/2009;02:31 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11278961226844, -87.95154161757722];5241 N 31ST ST
52;92560064;09/13/2009;09:56 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0922689103526, -87.93190238631792];4134 N 17TH ST
53;92560120;09/13/2009;03:16 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09783227200067, -87.94423065693358];4434 N 25TH ST
54;92560183;09/13/2009;09:50 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09145216260307, -87.94351540109082];4113 N 24TH PL
55;92550069;09/12/2009;10:16 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.108744830688515, -87.96193523483733];5019 N HOPKINS ST
56;92550176;09/12/2009;09:01 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0922666261469, -87.93933389742641];4110 N 22ND ST
57;92540053;09/11/2009;09:12 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11469830391252, -87.95511286799605];5342 N 34TH ST
58;92540065;09/11/2009;10:34 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1161919686364, -87.96231338631792];5424 N 40TH ST
59;92540092;09/11/2009;01:40 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09565595002608, -87.9411403823072];2311 W ROOSEVELT DR
60;92540122;09/11/2009;04:28 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10489792200934, -87.96666761036386];4805 N SHERMAN BL
61;92540161;09/11/2009;08:15 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09218749125742, -87.92816641185313];4136 N 14TH ST
62;92530025;09/10/2009;07:41 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12380594754458, -87.96102162479058];5841 N 39TH ST
63;92520050;09/09/2009;09:22 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0986335029142, -87.93943865032581];4475 N 22ND ST
64;92520105;09/09/2009;02:55 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.126864722170964, -87.95195682754316];6001 N TEUTONIA AV
65;92520106;09/09/2009;02:56 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0899075337582, -87.95081216472387];3000 W CAPITOL DR
66;92520115;09/09/2009;03:57 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.118936413266795, -87.96459637910455];5568 N 42ND ST
67;92510116;09/08/2009;02:53 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.127294913317876, -87.9597016271968];6030 N 38TH ST
68;92510177;09/08/2009;06:32 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09391624562872, -87.94683286799605];4248 N 27TH ST
69;92510201;09/08/2009;08:33 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.101440025535226, -87.94662638631792];4620 N 27TH ST
70;92500034;09/07/2009;08:31 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.148086742714526, -87.9722738974264];7170 N 48TH ST
71;92500116;09/07/2009;04:29 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0899075337582, -87.95081216472387];3000 W CAPITOL DR
72;92480056;09/05/2009;08:07 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11188648124544, -87.9627102485429];4001 W VILLARD AV
73;92480058;09/05/2009;08:59 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10987048932419, -87.96286366763806];4010 W LANCASTER AV
74;92480059;09/05/2009;09:12 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10818258673322, -87.94281161757722];4977 N 24TH PL
75;92480061;09/05/2009;07:19 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12270702553522, -87.95496763200394];5763 N 34TH ST
76;92470107;09/04/2009;01:26 PM;4.0;THEFT FROM BUILDING;;;;;[43.122453359974635, -87.95123002792981];5769 N TEUTONIA AV
77;92470140;09/04/2009;06:29 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10304968241277, -87.9459511013258];4739 N TEUTONIA AV
78;92460010;09/03/2009;01:55 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.111107586733226, -87.95157013200395];5163 N 31ST ST
79;92460030;09/03/2009;08:03 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10471346768411, -87.96861097446477];4422 W HAMPTON AV
80;92460035;09/03/2009;08:54 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09077491035259, -87.94191540463977];4046 N 24TH ST
81;92460043;09/03/2009;10:15 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12320002415026, -87.96461696208686];5812 N 42ND ST
82;92460132;09/03/2009;04:42 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.107255754371295, -87.97517165753918];4931 N 50TH ST
83;92460133;09/03/2009;05:39 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09401992440697, -87.93461783039045];1913 W OLIVE ST
84;92450054;09/02/2009;12:01 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11190247013696, -87.96763391909515];4339 W VILLARD AV
85;92450060;09/02/2009;12:32 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.091172754371286, -87.92950009925535];4077 N 15TH ST
86;92450124;09/02/2009;06:19 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09509849567218, -87.94763083236194];2721 W ROOSEVELT DR
87;92450167;09/02/2009;07:55 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.098160411593334, -87.94447446505838];4453 N 25TH ST
88;92440039;09/01/2009;09:58 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.107408586733214, -87.95900863200394];4945 N 37TH ST
89;92440072;09/01/2009;12:55 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11183748600598, -87.94812222300767];2808 W VILLARD AV
90;92720025;09/29/2009;07:42 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.078297116856085, -87.98267537552653];5566 W ROOSEVELT DR
91;92720060;09/29/2009;12:07 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0799438465002, -87.9835583465002];5607 W PHILIP PL
92;92720138;09/29/2009;07:26 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.06072748211082, -87.983172];5604 W NORTH AV
93;92700062;09/27/2009;12:29 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.028781976348085, -87.97877566764105];100 N MITCHELL BL
