;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;102120091;07/31/2010;02:54 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11416817346645, -87.96124857372014];5315 N 39TH ST
1;102110028;07/30/2010;06:37 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11515551399404, -87.92939300291418];1511 W CUSTER AV
2;102110126;07/30/2010;04:57 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09046111518265, -87.92706109925535];4045 N 13TH ST
3;102090071;07/28/2010;11:48 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09750126421037, -87.94740148753517];2711 W ATKINSON AV
4;102070088;07/26/2010;11:21 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08973945715252, -87.93964110410279];2200 W CAPITOL DR
5;102070178;07/26/2010;05:43 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09048919771869, -87.95236284901209];4010 N 31ST ST
6;102070200;07/26/2010;07:10 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11939250822297, -87.9656815771826];4240 W SILVER SPRING DR
7;102060109;07/25/2010;02:58 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV
8;102050162;07/24/2010;05:28 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.147610392351474, -87.96300242473127];7152 N 41ST ST
9;102020168;07/21/2010;12:36 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11805417043669, -87.93889034525944];2220 W NEIL PL
10;102020266;07/21/2010;07:41 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.099866670552245, -87.94057912089545];4545 N 23RD ST
11;102020297;07/21/2010;09:50 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10368241909515, -87.9353886503258];4753 N 19TH PL
12;102010071;07/20/2010;11:25 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10123129615091, -87.9323846771887];4632 N 18TH ST
13;102010156;07/20/2010;06:51 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12464232944774, -87.95487586078269];5886 N 34TH ST
14;102000155;07/19/2010;04:05 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09432609631252, -87.92686435688755];4230 N 13TH ST
15;101970041;07/16/2010;07:45 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14839952452562, -87.95826];3707 W GOOD HOPE RD
16;101970077;07/16/2010;11:36 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11187851788918, -87.96539177699232];4205 W VILLARD AV
17;101970183;07/16/2010;11:04 PM;4.0;MOTOR VEHICLE THEFT;STOLEN PROPERTY OFFENSES;;;;[43.1126467543713, -87.95642812089545];5239 N 35TH ST
18;101950105;07/14/2010;02:39 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09178399999999, -87.95567640463977];4104 N 34TH ST
19;101940053;07/13/2010;09:09 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.094050491257434, -87.93926596292359];4198 N 22ND ST
20;101930033;07/12/2010;06:32 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10093429615092, -87.93221367718868];4618 N 18TH ST
21;101900050;07/09/2010;07:40 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095051450458755, -87.9330995809335];4249 N 18TH ST
22;101880041;07/07/2010;06:39 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110503670907384, -87.93916875681884];5117 N 22ND ST
23;101880117;07/07/2010;02:02 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.091920173466434, -87.93069956650677];4123 N 16TH ST
