Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
100900131;03/31/2010;06:12 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11888199417163, -87.96104438631792];5566 N 39TH ST
100900194;03/31/2010;09:57 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09091111518265, -87.92704759925536];4067 N 13TH ST
100890085;03/30/2010;03:20 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09611199417162, -87.93542491185313];4336 N 19TH PL
100890148;03/30/2010;08:53 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10203583819032, -87.9504376031505];4653 N 30TH ST
100880081;03/29/2010;10:25 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.094781220093495, -87.93807541185313];4224 N 21ST ST
100870082;03/28/2010;01:11 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.097421793496515, -87.94409435417491];4415 N 25TH ST
100870143;03/28/2010;07:19 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12730990721464, -87.96485394748213];6037 N 42ND ST
100860181;03/27/2010;11:25 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0921522142651, -87.93817644460172];4132 N 21ST ST
100850081;03/26/2010;01:49 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10477808836588, -87.97892014068873];4800 N 53RD ST
100840109;03/25/2010;05:10 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10463448900313, -87.95174900497179];3100 W HAMPTON AV
100830186;03/24/2010;10:24 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14577886649552, -87.95604791023702];7039 N TEUTONIA AV
100800149;03/21/2010;10:13 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08945448600596, -87.92479349999999];1102 W CAPITOL DR
100790141;03/20/2010;08:35 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08980646047076, -87.94221322009349];2400 W CAPITOL DR
100780090;03/19/2010;03:48 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09063217458076, -87.937304202715];2024 W ATKINSON AV
100760027;03/17/2010;08:12 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09302003184242, -87.95624832387627];3450 W HOPKINS ST
100760165;03/17/2010;11:05 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10435648845882, -87.94099366763807];2313 W HAMPTON AV
100770011;03/17/2010;11:36 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.096957478792596, -87.93635358090484];1978 W CONGRESS ST
100750148;03/16/2010;06:51 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09129062447347, -87.938897988199];4080 N 21ST ST
100740008;03/14/2010;11:27 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09723525591687, -87.94986825499073];3000 W CONGRESS ST
100710043;03/12/2010;10:37 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09514215072983, -87.92602410664254];4320 N GREEN BAY AV
100680132;03/09/2010;05:32 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11939250822297, -87.9656815771826];4240 W SILVER SPRING DR
100680148;03/09/2010;07:09 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14378141944073, -87.95701726955245];6947 N 37TH ST
100670044;03/08/2010;10:12 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.107876555369614, -87.97135635356932];4962 N 47TH ST
100660082;03/07/2010;04:19 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0972881202978, -87.9469844363963];2700 W ATKINSON AV
100640058;03/05/2010;12:48 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09117052426583, -87.93825811076789];2061 W ATKINSON AV
100640071;03/05/2010;02:26 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12704933706935, -87.96598683082559];6014 N SHERMAN BL
100630058;03/04/2010;11:37 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10132452510255, -87.94569002262104];2605 W VICTORY LA
100630093;03/04/2010;04:10 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14569454674262, -87.95748108090484];3707 W HELENA ST
100870048;03/28/2010;09:09 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03066650764605, -88.01650391909516];8324 W DANA ST
100820071;03/23/2010;12:04 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08231683819031, -87.98725011368208];3465 N 60TH ST
100810131;03/22/2010;05:40 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06582766362737, -87.98300057063305];5540 W LISBON AV
100760069;03/17/2010;01:14 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.053929329447755, -87.98092493017501];1740 N 54TH ST
100770022;03/17/2010;10:59 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07069683236193, -87.98427059536021];2839 N 57TH ST
100720041;03/13/2010;06:41 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08582261697166, -87.99929629949779];7001 W BECKETT AV
100720076;03/13/2010;11:01 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08553951791784, -88.00043743363744];7120 W APPLETON AV
100670048;03/08/2010;09:46 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04594952264971, -87.96621247446477];4120 W MARTIN DR
100660096;03/07/2010;06:21 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08727558673323, -87.98829807372014];3845 N 61ST ST
100650081;03/06/2010;04:47 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07439528322495, -87.97729156653475];3050 N 51ST ST
100620015;03/03/2010;05:46 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03661052986305, -87.98404444463038];5706 W BLUE MOUND RD
100860047;03/27/2010;07:24 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.96855717346645, -87.9782805337582];4175 S 51ST ST
100830111;03/24/2010;04:03 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98199690758263, -87.94850954602053];3473 S 27TH ST
100800127;03/21/2010;06:54 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9740340995265, -87.95183559952648];2912 W HOWARD AV
100770119;03/18/2010;04:11 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00417674271452, -87.9578254773503];2224 S 35TH ST
100730083;03/14/2010;02:52 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98062533527613, -88.00797157703836];3505 S 76TH ST
100630036;03/04/2010;07:10 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97213407720993, -88.00819805189627];3975 S 76TH ST
100890082;03/30/2010;02:52 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01480663336028, -87.93066544791995];1550 S 15TH ST
100870145;03/28/2010;07:37 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00911739607011, -87.93590929306382];1958 S CONGO AV
100850127;03/26/2010;05:28 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01804049567216, -87.92351099999999];931 W MADISON ST
100830189;03/24/2010;10:06 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00017277990651, -87.92857954818491];2449 S 13TH ST
100820012;03/23/2010;01:25 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00447528282069, -87.9258375337582];2201 S 11TH ST
100820068;03/23/2010;12:38 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.020212147493645, -87.91129164483976];100 W WASHINGTON ST
100820107;03/23/2010;10:44 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01433615057671, -87.91329036427395];250 W LAPHAM BL
100780092;03/19/2010;04:12 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.022104646977745, -87.91693280680957];901 S 5TH ST
100760039;03/17/2010;10:25 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01840808964741, -87.91980104428977];1227 S 7TH ST
100750039;03/16/2010;07:51 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01639354703108, -87.93653087411289];1424 S COMSTOCK AV
100750089;03/16/2010;02:29 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01584032361936, -87.92392645902845];1500 S 10TH ST
100720087;03/13/2010;01:15 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01110514648013, -87.92563214648011];1100 W MAPLE ST
100710053;03/12/2010;09:52 AM;2.0;MOTOR VEHICLE THEFT;;;;;[42.99906717346644, -87.92613154818491];2501 S 11TH ST
100700098;03/11/2010;02:58 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00991113627447, -87.9213239662418];1906 S 8TH ST
100680082;03/09/2010;02:51 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00116727130363, -87.92477804986558];2400 S 10TH ST
100680139;03/09/2010;06:19 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01226751399403, -87.92721352553522];1201 W HISTORIC MITCHELL ST
100670080;03/08/2010;01:28 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01604053318129, -87.91424983236193];300 W ORCHARD ST
100670083;03/08/2010;02:01 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00888038885673, -87.93568684413427];1970 S CONGO AV
100670094;03/08/2010;11:44 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.009109392174956, -87.91120050216345];1933 S 1ST ST
100670109;03/08/2010;04:12 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01319767638063, -87.92551998268775];1643 S 11TH ST
100600028;03/01/2010;05:24 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.015071445755574, -87.935133728028];1543 S MUSKEGO AV
100810020;03/22/2010;08:10 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97505383236194, -87.93392245181508];3824 S 16TH ST
100810113;03/22/2010;04:36 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00302246768412, -87.93705180391252];1900 W LINCOLN AV
100800039;03/21/2010;04:08 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.94280460115995, -87.95388768939371];5614 S MARILYN ST
100790065;03/20/2010;12:04 PM;2.0;MOTOR VEHICLE THEFT;;;;;[42.998472303912536, -87.93708647013695];2534 S 19TH ST
100790119;03/20/2010;06:39 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9752732894858, -87.94823542123089];3804 S 27TH ST
100780055;03/19/2010;11:57 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.95782883819032, -87.94380904097154];4765 S 23RD ST
100750085;03/16/2010;09:34 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.95588425145709, -87.93052906318856];4853 S 14TH ST
100750135;03/16/2010;06:08 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97957901641727, -87.9469042511973];2536 W WARNIMONT AV
100710023;03/12/2010;08:17 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.954638872183736, -87.92934739399247];4951 S 13TH ST
100700074;03/11/2010;12:17 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.968969025535216, -87.90969101543632];4161 S HOWELL AV
100650058;03/06/2010;02:04 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00470403017009, -87.9381657980196];2200 S 20TH ST
100640113;03/05/2010;10:31 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00110832944776, -87.93551445571023];2402 S 18TH ST
100620048;03/03/2010;10:35 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.95942248326467, -87.9368715];1716 W LAYTON AV
100610021;03/02/2010;10:03 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.95489798112987, -87.93086739733951];4927 S 14TH ST
100610116;03/02/2010;05:41 PM;2.0;MOTOR VEHICLE THEFT;ALL OTHER LARCENY;;;;[42.99921127673254, -87.93446252611214];1710 W WINDLAKE AV
100900002;03/30/2010;10:26 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9703827485429, -87.90943247735031];4068 S HOWELL AV
100870054;03/28/2010;10:42 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.99000199417162, -87.92503343738835];3000 S 10TH ST
100870163;03/28/2010;09:08 PM;6.0;MOTOR VEHICLE THEFT;;;;;[43.0015243411045, -87.90697902986305];2361 S AUSTIN ST #LWR
100860010;03/27/2010;01:57 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98751841326677, -87.92878345181508];3128 S 13TH ST
100860049;03/27/2010;08:31 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.993378922009356, -87.92019057372015];2811 S 7TH ST
100850151;03/26/2010;08:32 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97707880099833, -87.9094349878819];3710 S HOWELL AV
100840021;03/25/2010;05:51 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.99593452510255, -87.90795];201 E DOVER ST
100810031;03/22/2010;07:41 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.992509653326906, -87.88341712505039];2861 S WENTWORTH AV
100750036;03/16/2010;09:19 AM;2.0;MOTOR VEHICLE THEFT;;;;;[42.996645257000445, -87.91698241945247];2640 S 5TH ST
100710022;03/12/2010;08:14 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.993883005828394, -87.90818104818491];2759 S BURRELL ST
100700041;03/11/2010;09:38 AM;6.0;MOTOR VEHICLE THEFT;;;;;[43.00066732944774, -87.9047424190665];2414 S HOWELL AV
100670008;03/08/2010;02:07 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00209706243876, -87.91754180933687];2341 S CHASE AV
100660042;03/07/2010;10:17 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98474807971472, -87.92674327200154];1124 W OHIO AV
100650008;03/06/2010;02:04 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.99760774854292, -87.905882930175];2566 S BRISBANE AV
100630049;03/04/2010;10:52 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.988115211592806, -87.88584506418348];1835 E OKLAHOMA AV
100610093;03/02/2010;05:44 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98606924562873, -87.92149291185314];3214 S 8TH ST
100610124;03/02/2010;08:12 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9924175822325, -87.88924620734021];2867 S KINNICKINNIC AV
100890064;03/30/2010;01:28 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06223949567218, -87.93683069608748];1919 W MEINECKE AV
100890095;03/30/2010;04:12 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.06969551788919, -87.94905303704776];2807 W ELDER WALLACE DR
100880127;03/29/2010;04:31 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05424461226846, -87.94271906650677];1823 N 24TH ST
