;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;103040057;10/31/2010;08:57 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10163774271453, -87.95293486799605];4636 N 32ND ST
1;103010013;10/28/2010;04:13 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1265854787926, -87.95934072300767];3724 W FLORIST AV
2;103000019;10/27/2010;02:26 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09165777990651, -87.93699065032581];4105 N 20TH ST
3;102980064;10/25/2010;10:50 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.139650181228056, -87.95433697137676];6701 N TEUTONIA AV
4;102980114;10/25/2010;02:34 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.118884542847496, -87.93655063780368];1935 W SILVER SPRING DR
5;102970108;10/24/2010;04:17 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1063369237997, -87.94763077139908];4901 N TEUTONIA AV
6;102960019;10/23/2010;02:27 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.108182546742626, -87.95238227699232];3123 W FAIRMOUNT AV
7;102960068;10/23/2010;11:07 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10712048237063, -87.94799403583565];4933 N TEUTONIA AV
8;102960130;10/23/2010;04:32 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0973374288187, -87.94681755150313];4405 N 27TH ST
9;102940038;10/21/2010;09:50 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12991079807843, -87.96245817291563];6143 N 40TH ST
10;102940054;10/21/2010;11:42 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0972881202978, -87.9469844363963];2700 W ATKINSON AV
11;102940137;10/21/2010;08:31 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09282083418014, -87.94455266025324];4200 N 25TH ST
12;102930170;10/20/2010;10:25 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10466749321933, -87.96012180270043];3800 W HAMPTON AV
13;102900111;10/17/2010;03:39 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09570187901765, -87.94156672664302];2330 W ROOSEVELT DR
14;102900146;10/17/2010;08:29 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11157050678067, -87.93619075867045];1981 W VILLARD AV
15;102870023;10/14/2010;08:03 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.103176104622406, -87.93085122026638];4721 N GREEN BAY AV
16;102870051;10/14/2010;01:11 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09570187901765, -87.94156672664302];2330 W ROOSEVELT DR
17;102860049;10/13/2010;12:02 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10577911518263, -87.95905010646872];4855 N 37TH ST
18;102860084;10/13/2010;04:12 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1191045650645, -87.95106163474526];3001 W SILVER SPRING DR
19;102860102;10/13/2010;06:19 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.117685528449414, -87.95629811757723];5509 N 35TH ST
20;102840016;10/12/2010;05:21 AM;7.0;ALL OTHER LARCENY;MOTOR VEHICLE THEFT;;;;[43.10769343274128, -87.95557971886906];3400 W CAMERON AV
21;102850066;10/12/2010;11:21 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090469245628725, -87.94462537910455];4026 N 25TH ST
22;102840077;10/11/2010;12:50 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.108714005828375, -87.94655959925535];5025 N 27TH ST
23;102830058;10/10/2010;09:45 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110792586733226, -87.95158159925535];5147 N 31ST ST
24;102820076;10/09/2010;11:37 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12722424439709, -87.9647407050763];6036 N 42ND ST
25;102820088;10/09/2010;12:48 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11188648124544, -87.9622425];3927 W VILLARD AV
26;102810117;10/08/2010;06:46 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095173658607024, -87.94187328146437];4295 N TEUTONIA AV
27;102770010;10/04/2010;01:50 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10996282653355, -87.94028393738836];5076 N 23RD ST
28;102770095;10/04/2010;03:01 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10918900744114, -87.93875339871825];2122 W COLFAX PL
29;102750061;10/02/2010;11:22 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.133074798812636, -87.97152156735375];4725 W WOOLWORTH AV
30;102740049;10/01/2010;10:50 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.108267506780685, -87.97480216763806];4933 W FAIRMOUNT AV
