Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
101780027;06/30/2010;06:39 AM;4.0;AGGRAVATED ASSAULT;;;;;5662 N 36TH ST
101810010;06/30/2010;12:54 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5227 W FAIRMOUNT AV
101810050;06/30/2010;08:01 AM;5.0;ALL OTHER LARCENY;;;;;1980 W FIEBRANTZ AV
101810054;06/30/2010;09:14 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4376 N 30TH ST
101810055;06/30/2010;10:11 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;3500 W VILLARD AV
101810057;06/30/2010;10:27 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;2700 W SILVER SPRING DR
101810067;06/30/2010;09:51 AM;4.0;SIMPLE ASSAULT;;;;;4816 W BRENTWOOD AV
101810123;06/30/2010;03:49 PM;4.0;AGGRAVATED ASSAULT;;;;;5376 N 34TH ST
101810125;06/30/2010;02:42 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4976 N 48TH ST
101810128;06/30/2010;02:42 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4600 W STARK ST
101810170;06/30/2010;05:31 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6864 N DARIEN ST #1
101810182;06/30/2010;09:54 PM;5.0;ALL OTHER LARCENY;;;;;4624 N 29TH ST
101800066;06/29/2010;09:03 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;4033 W CUSTER AV
101800132;06/29/2010;02:00 PM;7.0;ROBBERY;;;;;4854 N HOPKINS ST
101800147;06/29/2010;11:54 AM;5.0;ALL OTHER LARCENY;;;;;4240 N GREEN BAY AV
101800159;06/29/2010;05:23 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6046 N HOPKINS ST
101800198;06/29/2010;07:54 PM;4.0;SIMPLE ASSAULT;;;;;5354 N 26TH ST
