Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
100900008;03/31/2010;12:08 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4810 N TEUTONIA AV
100900045;03/31/2010;10:28 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4717 N 19TH PL
100900077;03/31/2010;01:13 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4954 N SHERMAN BL
100900084;03/31/2010;01:10 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5106 N 48TH ST
100900103;03/31/2010;03:56 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4370 N 29TH ST
100900120;03/31/2010;04:38 PM;4.0;ALL OTHER LARCENY;;;;;5356 N 36TH ST
100900130;03/31/2010;03:17 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4701 N 20TH ST
100900131;03/31/2010;06:12 PM;4.0;MOTOR VEHICLE THEFT;;;;;5566 N 39TH ST
100900146;03/31/2010;04:17 PM;4.0;SIMPLE ASSAULT;DISORDERLY CONDUCT;;;;5999 N 40TH ST
100900150;03/31/2010;06:28 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5922 N 35TH ST
100900194;03/31/2010;09:57 PM;5.0;MOTOR VEHICLE THEFT;;;;;4067 N 13TH ST
100910003;03/31/2010;04:55 PM;5.0;ROBBERY;;;;;2519 W GLENDALE AV
100910011;03/31/2010;11:57 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;DISORDERLY CONDUCT;;;;2820 W CARMEN AV #1
100890010;03/30/2010;02:03 AM;5.0;AGGRAVATED ASSAULT;;;;;4248 N 27TH ST #6
100890022;03/30/2010;08:07 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5522 N 41ST ST
100890048;03/30/2010;11:50 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;2700 W CAPITOL DR
100890052;03/30/2010;12:15 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2900 W CAPITOL DR
100890062;03/30/2010;01:07 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5676 N 39TH ST
100890080;03/30/2010;02:40 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4100 N TEUTONIA AV
100890085;03/30/2010;03:20 PM;5.0;MOTOR VEHICLE THEFT;;;;;4336 N 19TH PL
100890124;03/30/2010;06:43 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3200 W HAMPTON AV
100890127;03/30/2010;06:19 PM;5.0;SIMPLE ASSAULT;;;;;2041 W ATKINSON AV #302
100890129;03/30/2010;05:14 PM;7.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4025 W FAIRMOUNT AV
100890145;03/30/2010;06:42 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4230 N 13TH ST
100890148;03/30/2010;08:53 PM;5.0;MOTOR VEHICLE THEFT;;;;;4653 N 30TH ST
100880019;03/29/2010;06:24 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5412 N 38TH ST
100880020;03/29/2010;07:36 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4333 N 28TH ST
100880038;03/29/2010;08:59 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4505 N 29TH ST
100880045;03/29/2010;09:58 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4821 N 19TH ST
100880049;03/29/2010;10:20 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4245 N 27TH ST
100880069;03/29/2010;11:40 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2316 W ROOSEVELT DR
100880077;03/29/2010;12:17 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4971 N 36TH ST
100880081;03/29/2010;10:25 AM;5.0;MOTOR VEHICLE THEFT;;;;;4224 N 21ST ST
100880100;03/29/2010;02:02 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4619 N 19TH ST
100880103;03/29/2010;02:21 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4028 N 19TH ST
100880107;03/29/2010;02:49 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4695 N 18TH ST
100880108;03/29/2010;12:57 PM;4.0;SIMPLE ASSAULT;;;;;5937 N 35TH ST #4
100880155;03/29/2010;06:43 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6082 N 41ST ST
100870041;03/28/2010;06:38 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4624 N 19TH PL
100870042;03/28/2010;04:11 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2615 W VICTORY LA
100870045;03/28/2010;08:00 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4900 N HOPKINS ST
100870064;03/28/2010;11:44 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4752 N 30TH ST
