;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;102120031;07/31/2010;06:00 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10127967055226, -87.94171759925536];4623 N 24TH ST
1;102120035;07/31/2010;08:04 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.091334922009366, -87.9258096025736];4103 N 12TH ST
2;102120052;07/31/2010;10:22 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV
3;102120059;07/31/2010;10:50 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12203325145711, -87.95497115753918];5731 N 34TH ST
4;102120063;07/31/2010;11:01 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV
5;102110164;07/30/2010;07:58 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09746939780987, -87.92765925947413];4427 N GREEN BAY AV
6;102100060;07/29/2010;09:17 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.090073863725536, -87.92953062479059];4025 N 15TH ST
7;102100110;07/29/2010;02:50 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12308658673322, -87.95618111757723];5805 N 35TH ST
8;102100179;07/29/2010;09:12 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11903169448957, -87.95690579243912];3515 W SILVER SPRING DR
9;102080135;07/27/2010;03:37 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.121870779906516, -87.96343909925535];5715 N 41ST ST
10;102080155;07/27/2010;05:06 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08996234300251, -87.94951463128002];2900 W CAPITOL DR
11;102070036;07/26/2010;05:49 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.126647293398754, -87.96240058357881];4018 W FLORIST AV
12;102070076;07/26/2010;09:56 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14270887766978, -87.95699285144852];6875 N DARIEN ST
13;102070089;07/26/2010;10:53 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.15139435221302, -87.9574166979634];7350 N TEUTONIA AV
14;102070093;07/26/2010;11:51 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.099486826533564, -87.9466959190665];4520 N 27TH ST
15;102070109;07/26/2010;01:04 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11063041909517, -87.97020815753918];5133 N 46TH ST
16;102070118;07/26/2010;01:48 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14381542425249, -87.95551079844459];6935 N TEUTONIA AV
17;102070133;07/26/2010;03:00 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11923446826101, -87.9538635];3232 W SILVER SPRING DR
18;102070141;07/26/2010;03:11 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.098914741745055, -87.94979275825496];2901 W RUBY AV
19;102060067;07/25/2010;10:18 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11339330391252, -87.94876637520942];5274 N 29TH ST
20;102050076;07/24/2010;11:47 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10453426521323, -87.93818276521323];2100 W HAMPTON AV
21;102050113;07/24/2010;03:52 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11416817346645, -87.96124857372014];5315 N 39TH ST
22;102040035;07/23/2010;08:19 AM;7.0;THEFT FROM BUILDING;;;;;[43.10574258090483, -87.95774236078269];4852 N 36TH ST
23;102040048;07/23/2010;09:48 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11203169454393, -87.944071383359];2500 W VILLARD AV
24;102040050;07/23/2010;09:55 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.093817779906516, -87.94345107372014];4249 N 24TH PL
25;102040092;07/23/2010;01:15 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1100984970858, -87.96140536078269];5110 N 39TH ST
26;102040167;07/23/2010;08:04 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10867847204785, -87.93697215489114];5023 N 20TH ST
27;102040168;07/23/2010;08:06 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14535539494492, -87.95591774551315];7017 N TEUTONIA AV
28;102030091;07/22/2010;03:07 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10162103136361, -87.94290860646872];4637 N 24TH PL
29;102020058;07/21/2010;08:34 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09676425976697, -87.93888029265979];2121 W ROOSEVELT DR
30;102020135;07/21/2010;10:04 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09232282653355, -87.92693438631792];4140 N 13TH ST
31;102020143;07/21/2010;08:15 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV
32;102020152;07/21/2010;11:05 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09097324562873, -87.94343642627985];4054 N 24TH PL
33;102020160;07/21/2010;11:48 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10534867028629, -87.93920963442478];4856 N 22ND ST
34;102020171;07/21/2010;12:49 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.107183031363604, -87.95778807372014];4935 N 36TH ST
35;102020192;07/21/2010;02:20 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09164992200934, -87.92579863200395];4115 N 12TH ST
36;102020303;07/21/2010;10:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10368241909515, -87.9353886503258];4753 N 19TH PL
37;102020309;07/21/2010;10:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.110857298917985, -87.93823397990566];2026 W EGGERT PL
38;102000058;07/19/2010;09:49 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.110708735177546, -87.9627026581511];5112 N HOPKINS ST
39;102000065;07/19/2010;10:13 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.101108220093494, -87.94165635356933];4614 N 24TH ST
40;102000133;07/19/2010;01:04 PM;4.0;THEFT FROM BUILDING;;;;;[43.14579123980033, -87.96429595902845];7036 N 42ND ST
41;102000224;07/19/2010;09:37 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0997762828207, -87.946759092042];4537-A N 27TH ST
42;101990038;07/18/2010;07:34 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09115388481737, -87.94689489353127];4060 N 27TH ST
43;101980056;07/17/2010;08:07 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.103889806826714, -87.95034234967419];4760 N 30TH ST
44;101980098;07/17/2010;11:38 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.114361481245446, -87.94121441909516];2339 W LAWN AV
45;101980112;07/17/2010;02:44 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.095266549541236, -87.93301291185313];4300 N 18TH ST
46;101970099;07/16/2010;01:47 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.091277525967925, -87.92491270038664];1100 W FIEBRANTZ AV
47;101970101;07/16/2010;02:25 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0899455232266, -87.95353122300767];3100 W CAPITOL DR
48;101960035;07/15/2010;08:48 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.095941056350576, -87.94330856301566];4341 N 24TH PL
49;101960133;07/15/2010;05:49 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09945810796929, -87.9491996281088];4521 N 29TH ST
50;101950046;07/14/2010;09:05 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.096005115182635, -87.935509092042];4333 N 19TH PL
51;101940216;07/13/2010;11:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11137510352589, -87.97872341517136];5156 N 53RD ST
52;101930031;07/12/2010;07:38 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10148313015762, -87.93394228576355];4645 N 19TH ST
53;101930034;07/12/2010;07:02 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12299683819032, -87.96103962479059];5801 N 39TH ST #LWR
54;101930060;07/12/2010;09:37 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12325767055225, -87.95377160646872];5819 N 33RD ST
55;101930165;07/12/2010;05:54 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.105152970858114, -87.96015143903314];4808 N HOPKINS ST
56;101920072;07/11/2010;10:06 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09585099417163, -87.93417488631792];4326 N 19TH ST
57;101920093;07/11/2010;11:12 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.095330115182634, -87.935531592042];4255 N 19TH PL
58;101920109;07/11/2010;01:03 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.093269031363604, -87.94566762479059];4221 N 26TH ST
59;101920148;07/11/2010;02:21 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.095330115182634, -87.935531592042];4255 N 19TH PL
60;101920182;07/11/2010;07:17 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09856945771006, -87.92826082077451];4501 N GREEN BAY AV
61;101910049;07/10/2010;08:00 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09685045325739, -87.93205247155058];1700 W CONGRESS ST
62;101910054;07/10/2010;08:42 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.094500994171625, -87.93547441185314];4214 N 19TH PL
63;101910079;07/10/2010;11:40 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.13008749708581, -87.96235287131427];6152 N 40TH ST
64;101900043;07/09/2010;07:06 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09421945741234, -87.94258667441873];2430 W ATKINSON AV
65;101900046;07/09/2010;09:11 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.093467031363616, -87.94565862479058];4231 N 26TH ST
66;101900067;07/09/2010;11:51 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12966770254917, -87.9662693593952];4305 W DOUGLAS AV
67;101890072;07/08/2010;01:09 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.092108366639735, -87.92946859925536];4131 N 15TH ST
68;101890108;07/08/2010;03:57 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.116451994171626, -87.96346590463978];5438 N 41ST ST
69;101880084;07/07/2010;11:04 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10087126054742, -87.94642077827628];2620 W GLENDALE AV
70;101880108;07/07/2010;01:25 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.095572664723875, -87.93184336799605];4326 N 17TH ST
71;101870190;07/06/2010;08:44 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08973945715252, -87.93964110410279];2200 W CAPITOL DR
72;101870204;07/06/2010;09:56 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08978762106314, -87.93883689398197];4000 N TEUTONIA AV
73;101850055;07/04/2010;09:23 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09423925116863, -87.94270727589578];2439 W ATKINSON AV
74;101850080;07/04/2010;11:27 AM;4.0;THEFT FROM BUILDING;;;;;[43.12170958673323, -87.95619911757723];5711 N 35TH ST
75;101840030;07/03/2010;04:14 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09038572075798, -87.94471597978055];4037 N 25TH ST
