Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
110570119;02/26/2011;07:42 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10752373575327, -87.97381921377283];4956 N 49TH ST
110550043;02/24/2011;11:26 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10162069608748, -87.94915062479058];4633 N 29TH ST
110530036;02/22/2011;10:05 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09956663252355, -87.94547589012615];4525 N 26TH ST
110500085;02/19/2011;12:59 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09432132944775, -87.93808441185313];4204 N 21ST ST
110490033;02/18/2011;06:43 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09095675437129, -87.92950909925536];4067 N 15TH ST
110480104;02/17/2011;04:37 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09056220083717, -87.93720327904634];2016 W ATKINSON AV
110470063;02/16/2011;12:06 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11127716180968, -87.95638284246083];5168 N 35TH ST
110450038;02/14/2011;10:20 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0913690244387, -87.92439418318996];1030 W FIEBRANTZ AV
110450063;02/14/2011;01:39 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.111926511541185, -87.95688258090483];3510 W VILLARD AV
110430019;02/12/2011;05:30 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.1035191931733, -87.95042066143431];4747 N 30TH ST #LWR
110430079;02/12/2011;11:29 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10152132944776, -87.94907235356932];4628 N 29TH ST
110430133;02/12/2011;08:58 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.109559199001666, -87.94778809925535];5063 N 28TH ST
110420112;02/11/2011;07:13 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.100855453257395, -87.94814416763806];2800 W GLENDALE AV
110400014;02/09/2011;06:49 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.127614450760795, -87.96626910032522];6049 N SHERMAN BL
110400026;02/09/2011;09:35 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12755743660787, -87.964734960383];6056 N 42ND ST
110400035;02/09/2011;11:03 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12840570371222, -87.96641664679562];4314 W MONROVIA WA
110400068;02/09/2011;06:26 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09480593698433, -87.94168000155787];4277 N TEUTONIA AV
110370052;02/06/2011;11:40 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09184677990652, -87.93825960978694];4121 N 21ST ST
110370056;02/06/2011;12:16 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10471452596791, -87.96757008090484];4330 W HAMPTON AV
110340045;02/03/2011;01:20 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.098164497085804, -87.94672636078269];4440 N 27TH ST
110580012;02/27/2011;01:13 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03817944602065, -87.97865759352948];544 N 52ND ST
110560109;02/25/2011;06:00 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08823416431986, -88.00259736522608];7284 W APPLETON AV
110520107;02/21/2011;06:21 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07537754674263, -87.99252244463038];6411 W BURLEIGH ST
110520111;02/21/2011;06:44 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.086024543453064, -88.00083793363746];7148 W APPLETON AV
