;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;110310004;01/31/2011;01:07 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09083953427779, -87.93567859925535];4053 N 19TH PL
1;110300095;01/30/2011;05:42 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10826535414335, -87.9527746685183];5000 N 32ND ST
2;110280020;01/28/2011;05:44 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09577891035258, -87.93050641185313];4336 N 16TH ST
3;110240022;01/24/2011;05:56 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10261080099832, -87.93929491185312];4706 N 22ND ST
4;110240152;01/24/2011;09:16 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.119280796155174, -87.95617162380229];5600 N 35TH ST
5;110240158;01/24/2011;08:37 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11903541326677, -87.96459637910455];5572 N 42ND ST
6;110230004;01/23/2011;12:40 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11534524562873, -87.9599338607827];5374 N 38TH ST
7;110230021;01/23/2011;04:23 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1073883997817, -87.9529191066472];3200 W CAMERON AV
8;110230060;01/23/2011;01:23 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.091524718531424, -87.93628265911461];1974 W FIEBRANTZ AV
9;110230086;01/23/2011;06:33 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0936906588955, -87.93186638631792];4196 N 17TH ST
10;110220024;01/22/2011;08:17 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08968542367896, -87.93447803499687];1900 W CAPITOL DR
11;110220092;01/22/2011;04:02 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10946377240468, -87.9622557093021];5045 N HOPKINS ST
12;110220150;01/22/2011;11:08 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092376910352584, -87.93189241185313];4138 N 17TH ST
13;110200010;01/20/2011;03:40 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09318867055225, -87.93695865364403];4167 N 20TH ST
14;110200056;01/20/2011;02:41 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110385575076464, -87.94146488631792];5108 N 24TH ST
15;110190029;01/19/2011;08:08 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110657521812975, -87.96018763200395];5151 N 38TH ST
16;110190064;01/19/2011;03:07 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09643703136362, -87.94684961036386];4355 N 27TH ST
17;110190107;01/19/2011;07:02 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10697683819032, -87.94411062479058];4915 N 25TH ST
18;110170068;01/17/2011;01:13 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10932432944776, -87.97133588631792];5044 N 47TH ST
19;110170139;01/17/2011;11:11 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.127103154411145, -87.96347368216016];6028 N 41ST ST
20;110140017;01/14/2011;12:24 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110404497085824, -87.96139636078269];5122 N 39TH ST
