Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
122740040;09/30/2012;06:21 AM;7.0;MOTOR VEHICLE THEFT;;;;;4909 N 49TH ST
122740044;09/30/2012;09:00 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4320 N 19TH PL
122740073;09/30/2012;12:49 PM;4.0;MOTOR VEHICLE THEFT;;;;;5329 N TEUTONIA AV
122740077;09/30/2012;01:42 PM;5.0;MOTOR VEHICLE THEFT;;;;;4765 N 32ND ST
122740105;09/30/2012;05:28 PM;7.0;ARSON;;;;;4618 W HAMPTON AV
122740107;09/30/2012;06:03 PM;4.0;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5810 N 41ST ST
122740113;09/30/2012;06:14 PM;5.0;INTIMIDATION;;;;;4218 N 25TH ST
122740113;09/30/2012;06:14 PM;5.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4218 N 25TH ST
122740153;09/30/2012;10:33 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4422 W HAMPTON AV #102
122730040;09/29/2012;07:47 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5879 N 34TH ST #ALLEY
122730042;09/29/2012;07:36 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2800 W ROOSEVELT DR
122730064;09/29/2012;11:39 AM;4.0;MOTOR VEHICLE THEFT;;;;;5339 N 39TH ST
122730066;09/29/2012;11:24 AM;4.0;SIMPLE ASSAULT;;;;;6583 N 42ND ST
122730069;09/29/2012;11:18 AM;5.0;MOTOR VEHICLE THEFT;;;;;4159 N 15TH ST
122730108;09/29/2012;03:35 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4800 W FAIRMOUNT AV
122730134;09/29/2012;05:05 PM;7.0;ALL OTHER LARCENY;;;;;3541 W VILLARD AV
122730145;09/29/2012;08:21 PM;7.0;AGGRAVATED ASSAULT;;;;;2215 W HAMPTON AV
122730153;09/29/2012;06:37 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5922 N 35TH ST
122730182;09/29/2012;09:58 PM;7.0;AGGRAVATED ASSAULT;;;;;5075 N SHERMAN BL
122730182;09/29/2012;09:58 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5075 N SHERMAN BL
122730182;09/29/2012;09:58 PM;7.0;SIMPLE ASSAULT;;;;;5075 N SHERMAN BL
122720025;09/28/2012;08:05 AM;5.0;THEFT FROM MOTOR VEHICLE;MOTOR VEHICLE THEFT;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;2128 W ATKINSON AV
122720062;09/28/2012;02:00 PM;7.0;ROBBERY;KIDNAPING;;;;5045 N HOPKINS ST #31
122720091;09/28/2012;12:57 PM;4.0;AGGRAVATED ASSAULT;;;;;3530 W SILVER SPRING DR
122720096;09/28/2012;11:14 AM;5.0;ALL OTHER LARCENY;;;;;4022 N 27TH ST
122720113;09/28/2012;04:22 PM;4.0;THEFT FROM BUILDING;;;;;4216 W KAUL AV
122720152;09/28/2012;08:32 PM;5.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4148 N 24TH PL
122720153;09/28/2012;07:20 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;1700 W CONGRESS ST
122720158;09/28/2012;06:02 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4552 N TEUTONIA AV
122720160;09/28/2012;07:48 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6027 N 39TH ST #LWR
122720178;09/28/2012;10:40 PM;5.0;MOTOR VEHICLE THEFT;;;;;4035 N 19TH PL
122720188;09/28/2012;11:12 PM;5.0;SIMPLE ASSAULT;;;;;4505 N 29TH ST #201
122720192;09/28/2012;10:39 PM;4.0;SIMPLE ASSAULT;;;;;3842 W KILEY AV
122710057;09/27/2012;11:36 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5250 N 31ST ST
122710074;09/27/2012;12:55 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6912 N 37TH ST #4
122710088;09/27/2012;11:42 AM;7.0;SIMPLE ASSAULT;;;;;4881-A N 19TH PL
122710135;09/27/2012;03:53 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4352 N 16TH ST
122710157;09/27/2012;09:48 PM;4.0;ALL OTHER LARCENY;;;;;6859 N TEUTONIA AV
122710165;09/27/2012;08:06 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4847 N 25TH ST
122690060;09/26/2012;07:45 AM;5.0;ROBBERY;;;;;4456 N TEUTONIA AV
122700003;09/26/2012;12:08 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4938 W HAMPTON AV #4
122700029;09/26/2012;04:07 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;1951 W HAMPTON AV
122700057;09/26/2012;09:29 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5286 N 29TH ST #3
122700065;09/26/2012;10:38 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4188 N 14TH ST
122700069;09/26/2012;10:55 AM;5.0;MOTOR VEHICLE THEFT;;;;;4722 N 31ST ST
122700086;09/26/2012;11:29 AM;5.0;MOTOR VEHICLE THEFT;;;;;4456 N TEUTONIA AV
122700113;09/26/2012;02:15 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;6111 N TEUTONIA AV
122700115;09/26/2012;11:15 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5190 N 35TH ST
122700118;09/26/2012;02:57 PM;5.0;MOTOR VEHICLE THEFT;;;;;4349 N 14TH ST
122700132;09/26/2012;03:27 PM;7.0;ALL OTHER LARCENY;;;;;4931 N 40TH ST #LWR
122700154;09/26/2012;03:01 PM;7.0;MOTOR VEHICLE THEFT;;;;;5131 N GREEN BAY AV
122700161;09/26/2012;07:13 PM;7.0;MOTOR VEHICLE THEFT;;;;;3118 W CAMERON AV
122700163;09/26/2012;07:35 PM;4.0;THEFT FROM BUILDING;;;;;3120 W VILLARD AV
122690010;09/25/2012;12:46 AM;7.0;MOTOR VEHICLE THEFT;;;;;4856 N 22ND ST
122690033;09/25/2012;10:25 AM;5.0;MOTOR VEHICLE THEFT;;;;;4102 N 27TH ST
122690035;09/25/2012;08:58 AM;7.0;MOTOR VEHICLE THEFT;;;;;4740 W HAMPTON AV
122690043;09/25/2012;07:54 AM;5.0;ROBBERY;;;;;1801 W OLIVE ST
122690087;09/25/2012;02:04 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6013 N 41ST ST
122690109;09/25/2012;02:55 PM;4.0;MOTOR VEHICLE THEFT;;;;;5445 N 27TH ST
122700004;09/25/2012;11:31 PM;7.0;MOTOR VEHICLE THEFT;;;;;4821 N 22ND ST #APT12
122680018;09/24/2012;01:54 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4265 N 27TH ST
122680020;09/24/2012;03:02 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;3502 W HAMPTON AV
122680032;09/24/2012;08:08 AM;5.0;THEFT FROM BUILDING;;;;;2450 W ROOSEVELT DR
122680080;09/24/2012;11:37 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2905 W HOPE AV
122680086;09/24/2012;02:50 PM;7.0;ALL OTHER LARCENY;;;;;5020 N 19TH ST
122680096;09/24/2012;02:10 PM;7.0;SIMPLE ASSAULT;ALL OTHER OFFENSES;;;;3733 W FAIRMOUNT AV
122680131;09/24/2012;06:04 PM;4.0;SIMPLE ASSAULT;;;;;7100 N 42ND ST
122680150;09/24/2012;07:49 PM;5.0;AGGRAVATED ASSAULT;;;;;4041 N 24TH PL
122680182;09/24/2012;07:31 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4331 N 15TH ST
122480028;09/23/2012;07:21 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4281 N TEUTONIA AV
122670008;09/23/2012;12:59 AM;4.0;MOTOR VEHICLE THEFT;;;;;5700 N TEUTONIA AV
122670017;09/23/2012;12:26 AM;7.0;ROBBERY;;;;;4805 N 47TH ST
122670022;09/23/2012;01:38 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4113 W GOOD HOPE RD
122670023;09/23/2012;01:38 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;4113 W GOOD HOPE RD
122670060;09/23/2012;09:57 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3802 W VILLARD AV
122670071;09/23/2012;11:59 AM;4.0;MOTOR VEHICLE THEFT;;;;;5569 N 41ST ST #A
122670079;09/23/2012;01:19 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;1608 W CAPITOL DR
