;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;122440088;08/31/2012;01:19 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10315336637994, -87.93222555785111];4734 N PARKWAY AV
1;122430033;08/30/2012;08:11 AM;4.0;THEFT FROM BUILDING;;;;;[43.143999694702494, -87.9631995976679];6945 N 41ST ST
2;122430040;08/30/2012;08:23 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.101853292255754, -87.93539897547438];4661 N 19TH PL
3;122430041;08/30/2012;08:23 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.101853292255754, -87.93539897547438];4661 N 19TH PL
4;122420046;08/29/2012;09:11 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12533541326678, -87.95851383135233];5928 N 37TH ST
5;122420047;08/29/2012;07:24 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.089937670213466, -87.9470507731148];2700 W CAPITOL DR
6;122420141;08/29/2012;05:44 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09171091035259, -87.93191491185313];4112 N 17TH ST
7;122420156;08/29/2012;07:10 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0967064446304, -87.9319101719659];4379 N 17TH ST
8;122400071;08/27/2012;12:13 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12658429331842, -87.95503986578956];3406 W FLORIST AV
9;122400193;08/27/2012;10:31 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10553967319477, -87.93923795083258];4868 N 22ND ST
10;122390072;08/26/2012;08:41 AM;5.0;THEFT FROM BUILDING;;;;;[43.09461824562871, -87.94681389353127];4282 N 27TH ST
11;122380010;08/25/2012;01:02 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.111878539529265, -87.95761152844942];3535 W VILLARD AV
12;122380019;08/25/2012;01:40 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11198686348805, -87.95894067757094];3700 W VILLARD AV
13;122380078;08/25/2012;01:27 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12724500582837, -87.96099012479058];6023 N 39TH ST
14;122370047;08/24/2012;08:48 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.15192764778699, -87.95788484142162];7373 N TEUTONIA AV
15;122370100;08/24/2012;02:37 PM;5.0;THEFT FROM BUILDING;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
16;122370180;08/24/2012;09:07 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.089779460470744, -87.94155108090484];2320 W CAPITOL DR
17;122360060;08/23/2012;10:55 AM;7.0;THEFT FROM BUILDING;;;;;[43.104639518754546, -87.96090191909515];3818-B W HAMPTON AV
18;122360091;08/23/2012;02:51 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12815993296535, -87.96248059286427];6069 N 40TH ST
19;122360099;08/23/2012;03:37 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.093584220093504, -87.94337342627985];4234 N 24TH PL
