Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
122130135;07/31/2012;04:52 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09538274271452, -87.92928390463977];4318 N 15TH ST
122120144;07/30/2012;05:21 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.099622968636396, -87.94288634635598];4530 N 24TH PL
122090087;07/27/2012;12:55 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11067461226844, -87.97262812089545];5129 N 48TH ST
122090100;07/27/2012;02:05 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10526098347259, -87.93921128889298];4850 N 22ND ST
122070046;07/25/2012;09:55 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09642699362335, -87.9267504257316];4380 N GREEN BAY AV
122070158;07/25/2012;07:18 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10817151399405, -87.95354383236193];3219 W FAIRMOUNT AV
122050035;07/23/2012;01:24 AM;7.0;THEFT FROM BUILDING;;;;;[43.10701099417162, -87.93918585356933];4918 N 22ND ST
122050161;07/23/2012;04:54 PM;4.0;THEFT FROM BUILDING;;;;;[43.143347949782466, -87.9553881855112];6907 N TEUTONIA AV
122040113;07/22/2012;02:02 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.127337120620986, -87.96627521790184];6035 N SHERMAN BL
122040121;07/22/2012;02:25 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09316378711987, -87.94692014715088];4201 N 27TH ST
122040157;07/22/2012;05:39 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.127099077990664, -87.95615113200395];6019 N 35TH ST
122040165;07/22/2012;08:26 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10774949708582, -87.97383436078269];4954 N 49TH ST
122040178;07/22/2012;09:26 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10955968082404, -87.96351736438938];5060 N 41ST ST
122020069;07/20/2012;11:30 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.13539944272581, -87.95259134055625];3212 W MILL RD
122000103;07/18/2012;01:56 PM;4.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.13828249047803, -87.95597013918865];3500 W ELM ST
122000113;07/18/2012;03:27 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1191045650645, -87.95106163474526];3001 W SILVER SPRING DR
122000125;07/18/2012;04:28 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12899344617441, -87.95224624936446];6153 N TEUTONIA AV
