;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;131190036;04/29/2013;08:09 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10296169499096, -87.94578005323483];4730 N TEUTONIA AV
1;131190044;04/29/2013;09:28 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089832486005974, -87.944202];2462 W CAPITOL DR
2;131170071;04/27/2013;12:09 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090380115182654, -87.92829859925536];4039 N 14TH ST
3;131170102;04/27/2013;03:42 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09204884595194, -87.92448241052547];4117 N GREEN BAY AV
4;131160044;04/26/2013;09:27 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0968912388075, -87.94685566114039];4393 N 27TH ST
5;131160116;04/26/2013;05:11 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
6;131130064;04/23/2013;11:19 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10447646047076, -87.9372405];2000 W HAMPTON AV
7;131090020;04/19/2013;06:33 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090803534277796, -87.92583004818492];4063 N 12TH ST
8;131090091;04/19/2013;02:52 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.094383994171636, -87.94556490463978];4274 N 26TH ST
9;131090092;04/19/2013;02:54 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.094383994171636, -87.94556490463978];4274 N 26TH ST
10;131070081;04/17/2013;03:05 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12668329344469, -87.96638253124964];4308 W FLORIST AV
11;131070153;04/17/2013;10:02 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10595214574275, -87.940734660905];2318 W LINWAL LA
12;131040076;04/14/2013;12:13 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111931502885525, -87.97463108381903];4923 W VILLARD AV
13;131040107;04/14/2013;02:32 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10296169499096, -87.94578005323483];4730 N TEUTONIA AV
14;131040131;04/14/2013;05:00 PM;7.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
15;131020145;04/12/2013;09:20 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1439825072311, -87.95555517986078];6945 N TEUTONIA AV
16;131010038;04/11/2013;09:50 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09476207799065, -87.92685241185313];4246 N 13TH ST
17;131000024;04/10/2013;08:31 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11634424562871, -87.96110386078269];5428 N 39TH ST
18;131000071;04/10/2013;02:39 PM;4.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;MOTOR VEHICLE THEFT;;;[43.14230148899702, -87.95633984769812];6844 N DARIEN ST
19;130970050;04/07/2013;08:00 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14535539494492, -87.95591774551315];7017 N TEUTONIA AV
20;130960035;04/06/2013;09:01 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089722255992996, -87.93709470223016];4001 N 20TH ST
21;130950014;04/05/2013;01:44 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.102800167638065, -87.95042966143431];4711 N 30TH ST
22;131190092;04/29/2013;01:15 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06533926698034, -87.98218742604871];5505 W LISBON AV
23;131170063;04/27/2013;11:21 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06880783819031, -87.97986005539828];2737 N 53RD ST
24;131160099;04/26/2013;03:00 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06800654674262, -87.98551127699231];5801 W CENTER ST
25;131150023;04/25/2013;07:14 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.076069413266794, -87.97846635356932];3132 N 52ND ST
26;131130068;04/23/2013;01:21 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06978634361468, -87.99128288455756];2795 N CARLTON PL
27;131130150;04/23/2013;10:38 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0754108749512, -87.98311907123299];5600 W BURLEIGH ST
28;131100042;04/20/2013;09:18 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.048599443245415, -87.98118774961075];1356 N 54TH ST
29;131090115;04/19/2013;05:55 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.026578832361935, -88.02744006982499];439 S 92ND ST
30;131080033;04/18/2013;09:04 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.051158000000015, -87.97580536078269];1544 N 50TH ST
31;131080111;04/18/2013;01:41 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.028037167638075, -87.99494007372014];333 S 66TH ST
32;131080127;04/18/2013;07:32 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.075411032018174, -87.98313791927005];5602 W BURLEIGH ST
33;131020024;04/12/2013;06:25 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07103824562873, -87.98087491185314];2856 N 54TH ST
34;131010113;04/11/2013;06:05 PM;7.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.068099323155074, -87.98396445337774];5620 W CENTER ST
35;130960069;04/06/2013;01:55 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05999574854292, -87.98414485688754];2234 N 57TH ST
36;130940090;04/04/2013;04:51 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07416233527613, -87.97974110646872];3029 N 53RD ST
37;130940121;04/04/2013;07:26 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.064135612268444, -87.97751862479058];2477 N 51ST ST
38;130920090;04/02/2013;03:56 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06364726698035, -87.97898342604871];5211 W LISBON AV
39;130920124;04/02/2013;07:37 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.082612506793, -87.99803443819292];6870 W APPLETON AV
40;130910018;04/01/2013;12:56 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03873944568933, -87.96397767672387];3841 W WISCONSIN AV
41;130910082;04/01/2013;01:06 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07328866472389, -87.99388341574829];2972 N 66TH ST
42;130910110;04/01/2013;05:09 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03319927036521, -87.96129869350364];200 N 38TH ST
43;131170049;04/27/2013;06:50 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9709491618097, -88.00790394460172];4036 S 76TH ST
44;131140037;04/24/2013;09:53 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.982712276992316, -87.94702054818492];3413 S 26TH ST
45;131130055;04/23/2013;12:03 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98112351875455, -88.00251227699232];7106 W MORGAN AV
46;130930027;04/03/2013;08:19 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98823408962591, -87.99325204858759];6429 W OKLAHOMA AV
47;130920111;04/02/2013;06:00 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98012898499637, -87.9485415289958];3545 S 27TH ST
48;131190006;04/29/2013;01:31 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00293750764606, -87.931962];1520 W LINCOLN AV
49;131190096;04/29/2013;01:57 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00914594754457, -87.9310015226497];1943 S 15TH ST
50;131190133;04/29/2013;05:44 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00654252596793, -87.93189972300767];1524 W BECHER ST
51;131190167;04/29/2013;05:19 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01706352596791, -87.92947333236194];1400 W GREENFIELD AV
52;131120056;04/22/2013;12:41 PM;1.0;MOTOR VEHICLE THEFT;;;;;[43.02742462790482, -87.91575989028097];420 W FLORIDA ST
53;131120130;04/22/2013;07:43 PM;2.0;MOTOR VEHICLE THEFT;;;;;[42.99948832944776, -87.92604347013695];2482 S 11TH ST
54;131130014;04/22/2013;02:46 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00599583236195, -87.9343524190665];2120 S 17TH ST
55;131110068;04/21/2013;12:54 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02331816196853, -87.91408966196852];300 W NATIONAL AV
56;131080047;04/18/2013;11:00 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02013947157924, -87.92636383236193];1130 W WASHINGTON ST
57;131080152;04/18/2013;10:28 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00280386384389, -87.92740413433471];1209 W LINCOLN AV
58;131040045;04/14/2013;07:37 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.001127838190314, -87.92244957372014];2401 S 9TH ST
59;131040058;04/14/2013;10:35 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.020149529863055, -87.93016158090484];1424 W WASHINGTON ST
60;131040080;04/14/2013;01:15 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.018139067468006, -87.92302608298426];920 W MADISON ST
61;131030061;04/13/2013;11:59 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.021159478792605, -87.93401441909515];1630 W MINERAL ST
62;131020057;04/12/2013;11:49 AM;2.0;MOTOR VEHICLE THEFT;;;;;[42.99556146768411, -87.92961258090484];1322 W CLEVELAND AV
63;131010043;04/11/2013;07:55 AM;2.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.00292346768411, -87.93063938773155];1420 W LINCOLN AV #1
64;130990055;04/09/2013;11:02 AM;2.0;MOTOR VEHICLE THEFT;;;;;[42.99767047489748, -87.93070238773154];1426 W HARRISON AV
65;130970069;04/07/2013;12:08 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02377002553524, -87.93940637520942];712 S 21ST ST
66;130960118;04/06/2013;07:43 PM;2.0;MOTOR VEHICLE THEFT;;;;;[42.99962955203195, -87.92860940402439];2479 S 13TH ST
67;130940009;04/04/2013;02:00 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02013947157924, -87.9284835];1314 W WASHINGTON ST
68;130940032;04/04/2013;09:52 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02430914393217, -87.92537015913135];1100 W PIERCE ST
69;130930154;04/03/2013;10:37 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01488800000001, -87.91534495902845];1550 S 4TH ST
70;130920063;04/02/2013;12:43 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.022229525967916, -87.92269161226845];900 W WALKER ST
71;131190165;04/29/2013;09:14 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97686533399597, -87.94817994740104];3734 S 27TH ST
72;131120016;04/22/2013;06:01 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97314010222357, -87.94038925352957];2062 W VAN BECK AV
73;131100047;04/20/2013;10:00 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.95942248326467, -87.9368715];1716 W LAYTON AV
74;131040151;04/15/2013;12:37 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.95190551284019, -87.9172016276761];501 W EDGERTON AV
75;131040077;04/14/2013;12:43 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.0008755029142, -87.93341905929343];2415 S 16TH ST
76;130960103;04/06/2013;06:10 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98580866472389, -87.93265643738836];3230 S 15TH PL
77;131170131;04/27/2013;07:42 PM;2.0;MOTOR VEHICLE THEFT;;;;;[42.99831903136362, -87.9170300809335];2537 S 5TH ST
78;131140046;04/24/2013;09:38 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98663283123677, -87.87233028016631];2939 E RHODE ISLAND AV
79;131130025;04/23/2013;07:49 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.989757463240714, -87.88219915194193];2964 S MABBETT AV
80;131070017;04/17/2013;12:01 AM;2.0;MOTOR VEHICLE THEFT;;;;;[42.998643922009364, -87.91795956982499];2521 S 5TH PL
81;131040066;04/14/2013;10:35 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98915861133246, -87.88502858251441];1930 E BENNETT AV
82;131040142;04/14/2013;07:13 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98610717346645, -87.89688154818492];3213 S LOGAN AV
83;130950095;04/05/2013;04:36 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.981984251457106, -87.91442059925535];3419 S 3RD ST
84;130940040;04/04/2013;09:49 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98259454371285, -87.90545661555801];3394 S WHITNALL AV
85;130940062;04/04/2013;12:49 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9998217485429, -87.89668240074464];2434 S LOGAN AV
86;130920076;04/02/2013;02:02 PM;6.0;MOTOR VEHICLE THEFT;;;;;[43.0011002514571, -87.89806645181508];2376 S LENOX ST
87;130910055;04/01/2013;10:56 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.99327177678148, -87.93130171125753];2814 S 15TH ST
88;131190017;04/29/2013;05:00 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06037554284748, -87.92827144463038];1319 W NORTH AV
89;131190059;04/29/2013;10:35 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06789178122237, -87.97383380423342];4807 W CENTER ST
