Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
130310075;01/31/2013;02:44 PM;4.0;ROBBERY;;;;;3720 W VILLARD AV
130310090;01/31/2013;04:35 PM;4.0;SIMPLE ASSAULT;;;;;6971 N TEUTONIA AV #2
130310105;01/31/2013;05:48 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5748 N 35TH ST
130310107;01/31/2013;04:46 PM;7.0;ROBBERY;;;;;4800 N 18TH ST
130300011;01/30/2013;01:53 AM;4.0;SIMPLE ASSAULT;;;;;5253 N 33RD ST
130300019;01/30/2013;05:30 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4945 N 39TH ST
130300024;01/30/2013;08:04 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4301 W GOOD HOPE RD
130300029;01/30/2013;09:20 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5060 N 24TH PL
130300046;01/30/2013;11:15 AM;5.0;THEFT FROM BUILDING;;;;;4572 N TEUTONIA AV
130300068;01/30/2013;01:04 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3016 W SHERIDAN AV
130300097;01/30/2013;03:15 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4331 N 27TH ST #4
130290018;01/29/2013;03:01 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3122 W CAMERON AV
130290036;01/29/2013;09:36 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5348 N 35TH ST
130290045;01/29/2013;12:06 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2319 W OLIVE ST
130290097;01/29/2013;04:11 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4859 N 25TH ST
130290120;01/29/2013;06:37 PM;7.0;ROBBERY;;;;;4808 N HOPKINS ST
130290136;01/29/2013;07:44 PM;5.0;ROBBERY;;;;;2222 W CAPITOL DR
130290151;01/29/2013;10:31 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5709 N 39TH ST
130290156;01/29/2013;10:49 PM;5.0;SIMPLE ASSAULT;;;;;4360 N 14TH ST
130280039;01/28/2013;08:44 AM;4.0;SIMPLE ASSAULT;;;;;5312 N 36TH ST
130280065;01/28/2013;12:27 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2708 W ROOSEVELT DR
130280115;01/28/2013;03:51 PM;7.0;SIMPLE ASSAULT;;;;;4876 N 46TH ST
130280119;01/28/2013;05:06 PM;7.0;ALL OTHER LARCENY;;;;;5130 W HAMPTON AV
130280129;01/28/2013;04:13 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4966 N 21ST ST
130290009;01/28/2013;11:02 PM;5.0;ROBBERY;;;;;4038 N 19TH ST
130290011;01/28/2013;10:29 PM;7.0;SIMPLE ASSAULT;;;;;4001 W VILLARD AV #6
130290014;01/28/2013;11:52 PM;4.0;AGGRAVATED ASSAULT;;;;;3025 W ORIOLE DR
130270017;01/27/2013;12:29 AM;7.0;SIMPLE ASSAULT;;;;;1818 W FAIRMOUNT AV
130270018;01/27/2013;12:29 AM;7.0;AGGRAVATED ASSAULT;;;;;4959 N 19TH ST
130270028;01/27/2013;03:25 AM;4.0;SIMPLE ASSAULT;;;;;5247-A N 36TH ST
130270032;01/27/2013;05:01 AM;7.0;SIMPLE ASSAULT;;;;;5000 N 48TH ST
130270067;01/27/2013;11:54 AM;4.0;SIMPLE ASSAULT;;;;;5611 N 40TH ST #5
130270089;01/27/2013;01:42 PM;5.0;SIMPLE ASSAULT;;;;;4476 N 29TH ST
130270114;01/27/2013;06:14 PM;7.0;AGGRAVATED ASSAULT;;;;;4957 N 46TH ST
130260005;01/26/2013;12:18 AM;4.0;AGGRAVATED ASSAULT;;;;;3006 W BOBOLINK AV #4
130260057;01/26/2013;11:55 AM;7.0;MOTOR VEHICLE THEFT;;;;;4811 N TEUTONIA AV
130260078;01/26/2013;02:25 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4030 N 23RD ST
130260086;01/26/2013;03:30 PM;5.0;AGGRAVATED ASSAULT;;;;;4292 N 27TH ST
130260115;01/26/2013;07:21 PM;4.0;ROBBERY;;;;;5462 N 19TH ST
130250043;01/25/2013;11:13 AM;4.0;SIMPLE ASSAULT;;;;;6141 N 35TH ST
130250061;01/25/2013;11:51 AM;5.0;THEFT FROM BUILDING;;;;;3040 W CAPITOL DR
