Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
133040020;10/31/2013;02:33 AM;5.0;SIMPLE ASSAULT;;;;;2901 W ATKINSON AV #8
133040049;10/31/2013;10:11 AM;7.0;AGGRAVATED ASSAULT;;;;;4965 N 39TH ST #3
133040095;10/31/2013;03:15 PM;5.0;MOTOR VEHICLE THEFT;;;;;1610 W OLIVE ST
133040147;10/31/2013;08:56 PM;4.0;SIMPLE ASSAULT;;;;;5839 N TEUTONIA AV #4
133050004;10/31/2013;09:01 PM;7.0;ROBBERY;;;;;4975 N 26TH ST
133030008;10/30/2013;01:49 AM;4.0;MOTOR VEHICLE THEFT;;;;;5659 N 32ND ST
133030021;10/30/2013;05:56 AM;4.0;MOTOR VEHICLE THEFT;;;;;5732 N 32ND ST
133030027;10/30/2013;08:28 AM;5.0;THEFT FROM MOTOR VEHICLE;ALL OTHER LARCENY;;;;1710 W CAPITOL DR
133030084;10/30/2013;01:44 PM;7.0;ALL OTHER LARCENY;;;;;4692 N GREEN BAY AV
133030103;10/30/2013;04:25 PM;7.0;ROBBERY;;;;;3501 W VILLARD AV
133030109;10/30/2013;04:46 PM;5.0;SIMPLE ASSAULT;;;;;2314 W HOPE AV
133030140;10/30/2013;07:39 PM;7.0;SIMPLE ASSAULT;;;;;4880 N 18TH ST
133030160;10/30/2013;09:56 PM;7.0;AGGRAVATED ASSAULT;;;;;4422 W HAMPTON AV #102
133030161;10/30/2013;09:56 PM;7.0;AGGRAVATED ASSAULT;;;;;5100 N 39TH ST
133030162;10/30/2013;09:44 PM;4.0;ROBBERY;;;;;2600 W VILLARD AV
133030169;10/30/2013;10:22 PM;4.0;SIMPLE ASSAULT;;;;;5200 N 37TH ST
133040009;10/30/2013;11:01 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5236 N 29TH ST
133020024;10/29/2013;03:13 AM;7.0;THEFT FROM BUILDING;;;;;5171 N TEUTONIA AV #2
133020028;10/29/2013;07:49 AM;4.0;MOTOR VEHICLE THEFT;;;;;3700 W VILLARD AV
133020037;10/29/2013;08:26 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2012 W CAPITOL DR
133020049;10/29/2013;10:10 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5421 N 38TH ST
133020094;10/29/2013;02:52 PM;7.0;THEFT FROM BUILDING;;;;;5104 N 19TH PL
133020108;10/29/2013;03:57 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5259 N 37TH ST
133020153;10/29/2013;09:09 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2820 W CARMEN AV
133020160;10/29/2013;06:14 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4119 W LANCASTER AV
133020179;10/29/2013;11:34 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4701 W MILL RD
133030004;10/29/2013;11:40 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4027 N 24TH ST
133010011;10/28/2013;01:48 AM;7.0;ROBBERY;;;;;5040 N 25TH ST
133010108;10/28/2013;03:54 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6369 N 46TH ST
133010110;10/28/2013;04:15 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4957 N 24TH PL
133010113;10/28/2013;03:34 PM;4.0;SHOPLIFTING;;;;;7171 N TEUTONIA AV
133010115;10/28/2013;05:15 PM;7.0;THEFT FROM BUILDING;;;;;4902 N 19TH ST
133010130;10/28/2013;06:18 PM;4.0;ALL OTHER LARCENY;;;;;5645 N 37TH ST
133010133;10/28/2013;06:00 PM;5.0;ROBBERY;;;;;1932 W CAPITOL DR
133010171;10/28/2013;08:49 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;3829 W FAIRMOUNT AV
133010180;10/28/2013;08:57 PM;7.0;AGGRAVATED ASSAULT;;;;;5035 N 46TH ST
133010180;10/28/2013;08:57 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5035 N 46TH ST
133010189;10/28/2013;10:44 PM;4.0;SIMPLE ASSAULT;;;;;6864 N DARIEN ST #3
133000027;10/27/2013;02:50 AM;7.0;ROBBERY;;;;;4834 W HAMPTON AV
