Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
131810102;06/30/2013;04:04 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12257274854292, -87.9548963280341];5750 N 34TH ST
131800168;06/29/2013;11:20 PM;7.0;SIMPLE ASSAULT;THEFT FROM MOTOR VEHICLE;;;;[43.10476826551133, -87.96790526551133];4400 W HAMPTON AV
131770099;06/26/2013;01:49 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11058925264214, -87.94025593109603];5134 N 23RD ST
131760070;06/25/2013;09:56 AM;7.0;THEFT FROM BUILDING;;;;;[43.109994132667794, -87.9440301801602];5075 N 25TH ST
131760080;06/25/2013;01:18 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0932242828207, -87.93065906650678];4177 N 16TH ST
131750040;06/24/2013;08:23 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10295219317328, -87.95042966143431];4719 N 30TH ST
131750089;06/24/2013;12:51 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14979894310117, -87.95719547241598];7265 N TEUTONIA AV
131740071;06/23/2013;11:51 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.111877481245465, -87.95850202553522];3621 W VILLARD AV
131740092;06/23/2013;01:16 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.160162376968444, -87.94714607438186];7835 N GREEN BAY RD
131730062;06/22/2013;10:32 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12310332944776, -87.9536923607827];5806 N 33RD ST
131720035;06/21/2013;06:51 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.108667497085804, -87.9725858280341];5012 N 48TH ST
131720082;06/21/2013;12:30 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10907277990651, -87.9650796503258];5035 N 42ND ST
131730007;06/21/2013;10:03 PM;7.0;THEFT FROM BUILDING;;;;;[43.10726324562873, -87.97509639353127];4932 N 50TH ST
131710039;06/20/2013;06:33 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09286497449907, -87.92512653523434];1124 W HOPE AV
131710111;06/20/2013;04:48 PM;4.0;THEFT FROM BUILDING;;;;;[43.129494859282154, -87.95598541459444];6152 N 35TH ST
131710112;06/20/2013;04:49 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0955449103526, -87.93051541185314];4326 N 16TH ST
131700083;06/19/2013;12:13 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08980646047076, -87.94221322009349];2400 W CAPITOL DR
131700145;06/19/2013;06:58 PM;4.0;THEFT FROM BUILDING;;;;;[43.15132464778698, -87.95769584142163];7343 N TEUTONIA AV #5
131700153;06/19/2013;08:30 PM;5.0;THEFT FROM BUILDING;;;;;[43.089937670213466, -87.9470507731148];2700 W CAPITOL DR
131690070;06/18/2013;12:30 PM;5.0;THEFT FROM BUILDING;;;;;[43.09061352037067, -87.93744060355453];2027 W ATKINSON AV
131690082;06/18/2013;12:30 PM;5.0;THEFT FROM BUILDING;;;;;[43.09117052426583, -87.93825811076789];2061 W ATKINSON AV
131690102;06/18/2013;04:38 PM;7.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10732046047074, -87.95206333236193];3110 W CAMERON AV
131690119;06/18/2013;04:55 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09302003184242, -87.95624832387627];3450 W HOPKINS ST
131670016;06/16/2013;02:01 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1090167237233, -87.956539239102];5043 N 35TH ST
131670091;06/16/2013;01:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10684069608749, -87.93407112479058];4915 N 19TH ST
131660119;06/15/2013;05:56 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0906947171793, -87.93313343738835];4050 N 18TH ST
131650042;06/14/2013;07:31 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.093782136274456, -87.94683286799605];4244 N 27TH ST
131650071;06/14/2013;11:39 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14777823841535, -87.95654857123864];7171 N TEUTONIA AV
131650078;06/14/2013;12:42 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.13380769726783, -87.97194180273216];4701 W MILL RD
131650141;06/14/2013;05:57 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09516152264969, -87.94731166763806];2708 W ROOSEVELT DR
131640033;06/13/2013;08:03 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10510354954124, -87.93287544460172];4832 N 18TH ST
131640058;06/13/2013;11:21 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.090325580904846, -87.94938638184585];4030 N 29TH ST
131630030;06/12/2013;07:04 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14489053952925, -87.96338116763806];4101 W KILEY AV
131630045;06/12/2013;10:24 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10844341909515, -87.97023859925535];5001 N 46TH ST
131630131;06/12/2013;08:35 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.110226089647426, -87.93519965032581];5105 N 19TH PL
131610031;06/10/2013;09:12 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV
131580140;06/07/2013;05:59 PM;4.0;THEFT FROM BUILDING;;;;;[43.142660252449964, -87.95668700429653];6862 N DARIEN ST
131580153;06/07/2013;07:09 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11907951399405, -87.95589227699232];3425 W SILVER SPRING DR
131570019;06/06/2013;04:23 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11191078914254, -87.95398559734485];5200 N 33RD ST
131560046;06/05/2013;09:26 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10679630391252, -87.97634237520941];4910 N 51ST BL
131560065;06/05/2013;11:17 AM;7.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10464746047075, -87.96107291909516];3822 W HAMPTON AV
131560077;06/05/2013;12:08 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12601069608749, -87.95857918307439];5959 N 37TH ST
131560116;06/05/2013;05:06 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0907950058284, -87.92704759925536];4061 N 13TH ST
131550087;06/04/2013;01:32 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10743399417163, -87.94651388631792];4950 N 27TH ST
131540048;06/03/2013;10:09 AM;7.0;THEFT FROM BUILDING;;;;;[43.091342580904836, -87.95567290074464];4060 N 34TH ST
131540057;06/03/2013;09:57 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09212482653356, -87.93061343738836];4130 N 16TH ST
131540098;06/03/2013;02:32 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09423230391252, -87.94929285356932];4266 N 29TH ST
131520035;06/01/2013;01:07 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.125764176562456, -87.9660444715966];5948 N SHERMAN BL
131520047;06/01/2013;06:09 AM;5.0;THEFT FROM BUILDING;;;;;[43.10208869608749, -87.94796113200395];4657 N 28TH ST
131530030;06/01/2013;11:13 PM;5.0;THEFT FROM BUILDING;;;;;[43.09680106494891, -87.94392596283667];4377 N 25TH ST
131810094;06/30/2013;02:28 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.029116435018075, -88.01427584035265];188 S HONEY CREEK DR
131790006;06/28/2013;12:12 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08641130391251, -88.00716640074464];3800 N 76TH ST
131790032;06/28/2013;06:12 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.062866664723884, -87.98188291185313];2414 N 55TH ST
131790124;06/28/2013;05:24 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.035513233971955, -87.96413141329543];429 N 40TH ST
131790167;06/28/2013;07:40 PM;3.0;THEFT FROM BUILDING;;;;;[43.02741625145711, -87.987422930175];412 S 60TH ST
131770066;06/26/2013;08:19 AM;3.0;THEFT FROM BUILDING;;;;;[43.029315, -87.99245059925535];209 S 64TH ST
131770107;06/26/2013;02:32 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0704843852214, -87.99355081429988];2824 N SHOLES AV
131770146;06/26/2013;06:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07169596863639, -87.9773638968495];2904 N 51ST ST
131760022;06/25/2013;04:35 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0663777543713, -87.9821990809335];2607 N 55TH ST
131730133;06/24/2013;07:37 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
131750074;06/24/2013;10:39 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.07164949495009, -87.97800319747245];5110 W LOCUST ST
131750161;06/24/2013;06:54 PM;7.0;THEFT FROM BUILDING;;;;;[43.06809145268047, -87.99297299999999];6432 W CENTER ST
131740053;06/23/2013;10:03 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08348436470649, -87.998778174967];6930 W APPLETON AV
131740103;06/23/2013;03:11 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
131740104;06/23/2013;03:12 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
131740106;06/23/2013;03:17 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
131740108;06/23/2013;03:19 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
131740116;06/23/2013;04:30 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
131740125;06/23/2013;04:52 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.034373000000016, -87.96525340074464];326 N 41ST ST
131730091;06/22/2013;02:15 PM;3.0;THEFT FROM BUILDING;;;;;[43.06609015164241, -87.9837593009933];5617 W LISBON AV
131730130;06/22/2013;07:37 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
131730131;06/22/2013;07:37 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
131730132;06/22/2013;07:37 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
131730134;06/22/2013;07:37 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
131740015;06/22/2013;09:39 PM;7.0;THEFT FROM BUILDING;;;;;[43.073474483841586, -87.9761812590745];5000 W CHAMBERS ST
131720083;06/21/2013;12:31 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0754014773503, -87.996771];6725 W BURLEIGH ST
131720085;06/21/2013;10:43 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06839760357952, -87.98561553290538];5815 W APPLETON AV
131720088;06/21/2013;01:05 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08784894561134, -88.00386557380706];7366 W POTOMAC AV
131720089;06/21/2013;12:36 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0754014773503, -87.996771];6725 W BURLEIGH ST
131720105;06/21/2013;02:51 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0754014773503, -87.996771];6725 W BURLEIGH ST
131730005;06/21/2013;10:49 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.07040058673323, -87.97745960646873];2827 N 51ST ST
131710083;06/20/2013;12:16 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.071450674158946, -87.99632963630312];2901 N 67TH ST
131710143;06/20/2013;07:50 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.06770902273661, -87.98677482197458];5929 W LISBON AV
131700030;06/19/2013;04:59 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.070364450458754, -87.9798175226497];2825 N 53RD ST
131700075;06/19/2013;11:25 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.054632, -87.98527541517136];1820 N 58TH ST
131700138;06/19/2013;06:10 PM;7.0;THEFT FROM BUILDING;;;;;[43.08259053997568, -87.99576944570387];6700 W KEEFE AVENUE PK
131690010;06/18/2013;12:08 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.02630916763806, -87.99485543738835];528 S 66TH ST
131690047;06/18/2013;10:06 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;THEFT FROM MOTOR VEHICLE;;;;[43.02901800000001, -87.98873907372014];225 S 61ST ST
