;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;130890018;03/30/2013;02:03 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.092067842605054, -87.9400393407874];4126 N TEUTONIA AV
1;130890053;03/30/2013;10:50 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1053986217035, -87.9776766594151];4828 N 52ND ST
2;130890064;03/30/2013;11:16 AM;5.0;THEFT FROM BUILDING;;;;;[43.09987513627445, -87.93934335356933];4544 N 22ND ST
3;130890098;03/30/2013;04:38 PM;4.0;THEFT FROM BUILDING;;;;;[43.11191550043269, -87.95609983236193];3432 W VILLARD AV
4;130880001;03/29/2013;12:01 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09981606440065, -87.94415942322144];4540 N TEUTONIA AV
5;130880038;03/29/2013;09:10 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10769460644008, -87.96263589353127];4958 N 40TH ST
6;130880039;03/29/2013;08:17 AM;4.0;THEFT FROM BUILDING;;;;;[43.12325767055225, -87.95377160646872];5819 N 33RD ST
7;130880041;03/29/2013;09:22 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10762366472389, -87.96263433856568];4960 N 40TH ST
8;130880049;03/29/2013;10:29 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09839938773155, -87.9467229190665];4452 N 27TH ST
9;130880077;03/29/2013;01:18 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10864983236195, -87.96141338631791];5014 N 39TH ST
10;130870048;03/28/2013;11:24 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.104733519331475, -87.97518097446478];4938 W HAMPTON AV
11;130870082;03/28/2013;04:27 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12100289504805, -87.95074436562344];5700 N TEUTONIA AV
12;130860023;03/27/2013;08:37 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09372201733751, -87.94681619117013];4238 N 27TH ST
13;130860108;03/27/2013;06:23 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.112988031363614, -87.95886913200395];5249 N 37TH ST
14;130850043;03/26/2013;10:30 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10884867055225, -87.97142164311245];5021 N 47TH ST
15;130850051;03/26/2013;11:08 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11840611518264, -87.95754057372014];5545 N 36TH ST
16;130850067;03/26/2013;10:57 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.092324670552244, -87.9408811392173];4145 N 23RD ST
17;130850078;03/26/2013;12:53 PM;4.0;THEFT FROM BUILDING;;;;;[43.129861255409544, -87.95230882240634];6201 N TEUTONIA AV
