;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;133320033;11/28/2013;11:10 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0905332828207, -87.93074906650678];4045 N 16TH ST
1;133310067;11/27/2013;01:52 PM;7.0;THEFT FROM BUILDING;;;;;[43.11071783211551, -87.93867075833566];2121 W EGGERT PL
2;133490066;11/26/2013;04:42 PM;4.0;THEFT FROM BUILDING;;;;;[43.11783441857557, -87.95057778561932];5525 N TEUTONIA AV #7
3;133290109;11/25/2013;05:58 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09444766472387, -87.93185483524746];4224 N 17TH ST
4;133290130;11/25/2013;08:45 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0950295434244, -87.94649236372554];2629 W ROOSEVELT DR
5;133260064;11/22/2013;12:41 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09069349016092, -87.93745692587582];2020 W ATKINSON AV
6;133260161;11/22/2013;07:11 PM;7.0;THEFT FROM BUILDING;;;;;[43.11166659567453, -87.95636214781872];5190 N 35TH ST
7;133250050;11/21/2013;11:03 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.109532670552255, -87.95160965753918];5061 N 31ST ST
8;133250051;11/21/2013;11:21 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0995231829015, -87.95040465803011];4522 N 30TH ST
9;133250112;11/21/2013;06:00 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12798018436785, -87.95214425670802];6091 N TEUTONIA AV
10;133240144;11/20/2013;06:13 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.13019692200936, -87.95971063200395];6159 N 38TH ST
11;133230141;11/19/2013;11:06 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10718357802915, -87.9763140094868];4936 N 51ST BL
12;133220058;11/18/2013;12:02 PM;5.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.096221052455434, -87.94924335356933];4344 N 29TH ST
13;133220091;11/18/2013;03:21 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.098272497085816, -87.9467229190665];4446 N 27TH ST
14;133220165;11/18/2013;07:28 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.116624586733224, -87.95758115753918];5447 N 36TH ST
15;133220184;11/18/2013;08:41 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09882337301637, -87.94373147755185];4485 N TEUTONIA AV
16;133210114;11/17/2013;06:17 PM;7.0;THEFT FROM BUILDING;;;;;[43.10443948600596, -87.93500047446477];1926 W HAMPTON AV
17;133200074;11/16/2013;07:37 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1061837799065, -87.95289864426628];4875 N 32ND ST
18;133200075;11/16/2013;12:06 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.103205, -87.93297965753918];4731 N 18TH ST
19;133190042;11/15/2013;09:41 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.15192764778699, -87.95788484142162];7373 N TEUTONIA AV
20;133190077;11/15/2013;01:11 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.129485922009366, -87.95971865753917];6123 N 38TH ST
21;133170083;11/13/2013;02:48 PM;5.0;THEFT FROM BUILDING;;;;;[43.093618491257445, -87.93927390463978];4174 N 22ND ST
22;133160017;11/12/2013;08:35 AM;4.0;THEFT FROM BUILDING;;;;;[43.129861255409544, -87.95230882240634];6201 N TEUTONIA AV
23;133160020;11/12/2013;08:39 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.096875893704166, -87.9439183877602];4383 N 25TH ST
24;133160026;11/12/2013;08:56 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10433954674261, -87.93864411226845];2115 W HAMPTON AV
25;133160101;11/12/2013;06:07 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09119782653357, -87.93064493738835];4076 N 16TH ST
26;133150017;11/11/2013;07:09 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1041041931733, -87.95042163589909];4775 N 30TH ST
27;133150029;11/11/2013;09:04 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11188785896577, -87.94779868196629];2800 W VILLARD AV
28;133150033;11/11/2013;09:27 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10981252120741, -87.96430252553522];4119 W LANCASTER AV
29;133140038;11/10/2013;07:33 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.147845754371275, -87.9656306614343];7155 N 43RD ST
30;133120045;11/08/2013;10:59 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10455285394593, -87.9393611681723];2200 W HAMPTON AV
31;133110060;11/07/2013;11:13 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12129432944775, -87.96219638631791];5692 N 40TH ST
32;133110073;11/07/2013;11:58 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.108309486005965, -87.96601333236194];4230 W FAIRMOUNT AV
33;133110095;11/07/2013;01:33 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.096859453257395, -87.93237197155058];1714 W CONGRESS ST
34;133100103;11/06/2013;04:37 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10833286102554, -87.96273867067042];4000 W FAIRMOUNT AV
35;133080086;11/04/2013;01:51 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.092783282820704, -87.93066806650677];4159 N 16TH ST
36;133080115;11/04/2013;03:36 PM;5.0;BURGLARY/BREAKING AND ENTERING;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09633811518265, -87.935500092042];4349 N 19TH PL
37;133340036;11/30/2013;08:50 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08201435749313, -87.99759722603744];6810 W APPLETON AV
38;133330143;11/29/2013;10:56 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.029882000000015, -87.98998760646872];171 S 62ND ST
39;133290066;11/25/2013;01:35 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06800654674262, -87.98551127699231];5801 W CENTER ST
