Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
143650015;12/31/2014;02:41 AM;4.0;SIMPLE ASSAULT;;;;;4010-A W GOOD HOPE RD
143650029;12/31/2014;08:56 AM;7.0;MOTOR VEHICLE THEFT;;;;;4856 N 50TH ST
143650047;12/31/2014;10:22 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;6073 N TEUTONIA AV
143650066;12/31/2014;11:24 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6958 N 41ST ST
143650109;12/31/2014;04:43 PM;5.0;ROBBERY;;;;;2002 W CAPITOL DR
143650144;12/31/2014;08:34 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4021 N 24TH ST
143650156;12/31/2014;10:34 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5250 N SHERMAN BL
150010004;12/31/2014;11:44 PM;5.0;SIMPLE ASSAULT;;;;;4371 N TEUTONIA AV
143640017;12/30/2014;01:38 AM;7.0;AGGRAVATED ASSAULT;;;;;2107 W EGGERT PL
143640030;12/30/2014;08:39 AM;5.0;MOTOR VEHICLE THEFT;;;;;2727 W ROOSEVELT DR
143640123;12/30/2014;06:17 PM;4.0;SIMPLE ASSAULT;;;;;5308 N 29TH ST #3
143640137;12/30/2014;07:08 PM;7.0;MOTOR VEHICLE THEFT;;;;;3927 W VILLARD AV
143640140;12/30/2014;08:27 PM;7.0;ROBBERY;BURGLARY/BREAKING AND ENTERING;;;;4847 N 25TH ST
143640141;12/30/2014;08:07 PM;4.0;SIMPLE ASSAULT;;;;;5512 N 31ST ST #1
143630014;12/29/2014;02:43 AM;7.0;AGGRAVATED ASSAULT;;;;;5168 N 35TH ST #17
143630020;12/29/2014;04:25 AM;5.0;SIMPLE ASSAULT;;;;;4505 N 29TH ST #302
143630097;12/29/2014;03:37 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5155 N 32ND ST
143630101;12/29/2014;03:50 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4055 N 12TH ST
