;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;141510093;05/31/2014;12:43 PM;7.0;THEFT FROM BUILDING;;;;;[43.105176115182644, -87.94539762479059];4831 N 26TH ST
1;141510111;05/31/2014;05:02 PM;5.0;THEFT FROM BUILDING;;;;;[43.08981144753335, -87.94030110857977];2222 W CAPITOL DR
2;141500053;05/30/2014;11:04 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.133222894772025, -87.96587485688754];6310 N SHERMAN BL
3;141470022;05/28/2014;06:26 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.111944511541196, -87.9627602514571];4010 W VILLARD AV
4;141480025;05/28/2014;03:24 AM;4.0;THEFT FROM BUILDING;;;;;[43.11852347155059, -87.95620433524746];5550 N 35TH ST
5;141480197;05/28/2014;07:10 PM;4.0;THEFT FROM BUILDING;;;;;[43.150482227866654, -87.95744033704668];7309 N TEUTONIA AV
6;141470068;05/27/2014;11:48 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08990457985948, -87.94567291352479];4000 N 26TH ST
7;141470089;05/27/2014;01:36 PM;7.0;THEFT FROM BUILDING;;;;;[43.10403055952457, -87.93127331825232];4775 N GREEN BAY AV
8;141470116;05/27/2014;04:49 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09356603136362, -87.94565862479058];4235 N 26TH ST
9;141470127;05/27/2014;05:10 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11360975437128, -87.96005165753917];5277 N 38TH ST
10;141470160;05/27/2014;07:40 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.152758717179296, -87.96500633524747];7424 N 43RD ST
11;141450057;05/25/2014;10:37 AM;7.0;THEFT FROM BUILDING;;;;;[43.10595452704309, -87.94089023919379];2334 W LINWAL LA
12;141440072;05/24/2014;11:25 AM;7.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.101336288937546, -87.93244371715063];4646 N 18TH ST
13;141440111;05/24/2014;05:59 PM;4.0;THEFT FROM BUILDING;;;;;[43.12830431671868, -87.95217770691859];6115 N TEUTONIA AV
14;141430053;05/23/2014;10:05 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.13380769726782, -87.97097402724513];4601 W MILL RD
15;141430109;05/23/2014;03:00 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09570187901765, -87.94156672664302];2330 W ROOSEVELT DR
16;141420018;05/22/2014;01:07 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11929748990111, -87.96158130391252];3914 W SILVER SPRING DR
17;141420104;05/22/2014;03:20 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10946377240468, -87.9622557093021];5045 N HOPKINS ST
18;141410074;05/21/2014;09:16 AM;5.0;THEFT FROM BUILDING;;;;;[43.09512837414156, -87.9417807512842];4290 N TEUTONIA AV
19;141410118;05/21/2014;05:04 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12340197446477, -87.95489386078269];5820 N 34TH ST
20;141410159;05/21/2014;04:54 PM;4.0;THEFT FROM BUILDING;;;;;[43.11586433415096, -87.93801621123535];5423 N LONG ISLAND DR
21;141400068;05/20/2014;11:20 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12528141326678, -87.9585163607827];5920 N 37TH ST
22;141400119;05/20/2014;10:09 PM;4.0;THEFT FROM BUILDING;;;;;[43.124318077990665, -87.94854388299969];5880 N 29TH ST
23;141390110;05/19/2014;03:43 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11177572536073, -87.95332073881676];3213 W VILLARD AV
24;141380128;05/18/2014;06:02 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
25;141370093;05/17/2014;04:14 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.123695539529244, -87.94840427699232];2835 W ORIOLE DR
26;141370126;05/17/2014;08:00 PM;5.0;THEFT FROM BUILDING;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
27;141360079;05/16/2014;02:34 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10812748845882, -87.94972327990651];2921 W FAIRMOUNT AV
28;141360102;05/16/2014;05:19 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.100827500432686, -87.9461235];2600 W GLENDALE AV
29;141350066;05/15/2014;12:51 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10554511518265, -87.95905010646872];4843 N 37TH ST
30;141340069;05/14/2014;01:03 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12477732944774, -87.95487233524747];5902 N 34TH ST
31;141330021;05/13/2014;05:53 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11928550432784, -87.960681];3824 W SILVER SPRING DR
32;141330057;05/13/2014;11:42 AM;5.0;THEFT FROM BUILDING;;;;;[43.09840000582838, -87.95046912479059];4455 N 30TH ST
33;141330123;05/13/2014;06:19 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.150793111736206, -87.95792792053551];3725 W CLINTON AV
34;141330184;05/13/2014;11:48 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09776054674262, -87.93566052844942];1973 W LAWRENCE AV
35;141320045;05/12/2014;09:28 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12160916180969, -87.96620333524747];5704 N 43RD ST
36;141300072;05/10/2014;12:24 PM;4.0;THEFT FROM BUILDING;;;;;[43.12279605809901, -87.94646952807429];2718 W CARMEN AV
37;141300079;05/10/2014;01:21 PM;5.0;THEFT FROM BUILDING;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
38;141290071;05/09/2014;09:47 AM;5.0;THEFT FROM BUILDING;;;;;[43.091217199001676, -87.94572807372015];4063 N 26TH ST
39;141290078;05/09/2014;12:39 PM;7.0;THEFT FROM BUILDING;;;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
40;141290158;05/09/2014;08:13 PM;4.0;THEFT FROM BUILDING;;;;;[43.11300524562873, -87.95635389353127];5246 N 35TH ST
41;141290168;05/09/2014;09:32 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.118351413266794, -87.96460537910455];5540 N 42ND ST
42;141280046;05/08/2014;10:25 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.098116689422376, -87.94797465803012];4446 N 28TH ST
43;141280155;05/08/2014;09:34 PM;5.0;THEFT FROM BUILDING;;;;;[43.09167540805028, -87.93882006070123];2122 W ATKINSON AV
44;141280168;05/08/2014;10:41 PM;7.0;THEFT FROM BUILDING;;;;;[43.10359091035258, -87.93926243738835];4754 N 22ND ST
45;141270155;05/07/2014;08:04 PM;4.0;BURGLARY/BREAKING AND ENTERING;THEFT FROM MOTOR VEHICLE;;;;[43.12875516180969, -87.9623748718912];6098 N 40TH ST
46;141260046;05/06/2014;10:24 AM;4.0;THEFT FROM BUILDING;;;;;[43.11932009060723, -87.95800955548108];3622 W SILVER SPRING DR
47;141260078;05/06/2014;02:13 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11562341123701, -87.96470184010805];5400 N 42ND ST
48;141250018;05/05/2014;02:09 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09776054674262, -87.93566052844942];1973 W LAWRENCE AV
49;141250124;05/05/2014;05:01 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.103016, -87.94905638631792];4722 N 29TH ST
50;141240033;05/04/2014;04:27 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.113878413266775, -87.95513536799605];5300 N 34TH ST
51;141240055;05/04/2014;10:53 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12069099417161, -87.95615491906649];5666 N 35TH ST
52;141220104;05/02/2014;05:18 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
53;141210077;05/01/2014;03:17 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11251600695356, -87.96511077780038];5230 N 42ND ST
54;141510092;05/31/2014;01:29 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06467583236193, -87.9841700809335];2513 N 57TH ST
55;141500037;05/30/2014;08:53 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.03562677575808, -87.95778219876378];461 N 35TH ST
56;141490022;05/29/2014;03:45 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.073757, -88.0035039190665];3006 N 73RD ST
57;141490099;05/29/2014;04:07 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.074746570014526, -87.97728984454068];3070 N 51ST ST
58;141480034;05/28/2014;07:38 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.07013858090485, -88.00619535356932];2810 N 75TH ST
59;141480037;05/28/2014;07:10 AM;3.0;THEFT FROM BUILDING;;;;;[43.03601974854291, -87.96283008482864];455 N 39TH ST
60;141480037;05/28/2014;07:10 AM;3.0;THEFT FROM COIN-OPPERATED MACHINES;;;;;[43.03601974854291, -87.96283008482864];455 N 39TH ST
61;141480123;05/28/2014;04:05 PM;3.0;THEFT FROM BUILDING;;;;;[43.035915470136935, -88.01555254775224];8235 W BLUE MOUND RD
62;141470174;05/27/2014;08:26 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
63;141430111;05/23/2014;03:19 PM;7.0;THEFT FROM BUILDING;;;;;[43.07272141326678, -87.98200285688755];2952 N 55TH ST
64;141430176;05/23/2014;09:51 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06364726698035, -87.97898342604871];5211 W LISBON AV
65;141400027;05/20/2014;06:39 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08642736470648, -87.99969571882409];7036 W BECKETT AV
66;141400118;05/20/2014;06:24 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06984162199197, -87.99423324008879];2789 N SHOLES AV
67;141390061;05/19/2014;11:10 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.034706, -87.96533158814687];343 N 41ST ST
68;141390126;05/19/2014;04:54 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0679575434244, -87.97887377699232];5219 W CENTER ST
69;141380144;05/18/2014;07:45 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.07116600582839, -87.97861807703836];2869 N 52ND ST
70;141380156;05/18/2014;08:22 PM;3.0;THEFT FROM BUILDING;;;;;[43.02569908575227, -88.01717590230344];500 S 84TH ST
71;141360074;05/16/2014;11:57 AM;7.0;THEFT FROM BUILDING;;;;;[43.07492644463039, -87.9797285809335];3067 N 53RD ST
72;141360085;05/16/2014;12:58 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.037347194684855, -87.9591254487905];3600 W MICHIGAN ST
73;141340058;05/14/2014;11:38 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.079922251457106, -87.98460013200395];3327 N 57TH ST
74;141340077;05/14/2014;11:51 AM;3.0;THEFT FROM BUILDING;;;;;[43.036462521207405, -87.98693245420966];5929 W BLUE MOUND RD
75;141340096;05/14/2014;07:30 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.06983149235396, -87.98923192339431];6119 W HADLEY ST
76;141340098;05/14/2014;03:52 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.034417046627055, -88.01649860768082];330 N GLENVIEW AV
77;141300088;05/10/2014;02:14 PM;7.0;THEFT FROM BUILDING;;;;;[43.07253199417161, -87.97733289353127];2940 N 51ST ST
78;141290022;05/09/2014;04:43 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08159264723872, -87.98085032226305];3435 N 54TH ST
79;141290023;05/09/2014;05:01 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08107964723874, -87.9807973183679];3415 N 54TH ST
80;141290036;05/09/2014;06:06 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.07357046047074, -87.99517349999999];6640 W CHAMBERS ST
81;141290038;05/09/2014;06:06 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.074411539529244, -87.995133];6639 W MOLTKE AV
82;141290051;05/09/2014;06:06 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.074410481245444, -87.99296302553522];6431 W MOLTKE AV
83;141290052;05/09/2014;06:06 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.073569486005965, -87.99311347446478];6502 W CHAMBERS ST
84;141270014;05/07/2014;06:34 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06651174854292, -87.98636863200394];2615 N 59TH ST
85;141270021;05/07/2014;08:26 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08602669357731, -88.00109841606539];7149 W APPLETON AV
86;141270046;05/07/2014;11:26 AM;3.0;THEFT FROM BUILDING;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
87;141270101;05/07/2014;05:13 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.086606623348295, -88.0035584203359];7317 W ABERT CT
88;141270146;05/07/2014;10:05 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.06459466472387, -87.98631541185313];2508 N 59TH ST
89;141260043;05/06/2014;10:04 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06237241909517, -87.98528863200394];2377 N 58TH ST
90;141260067;05/06/2014;12:36 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07759634497099, -88.0067022423105];7515 W LISBON AV
91;141260077;05/06/2014;01:52 PM;3.0;THEFT FROM BUILDING;;;;;[43.036036513848885, -88.02258102943036];8800 W BLUE MOUND RD
92;141250159;05/05/2014;06:28 PM;7.0;THEFT FROM BUILDING;;;;;[43.07363446684737, -87.99737809925536];3001 N 68TH ST
93;141250184;05/05/2014;06:43 PM;3.0;THEFT FROM BUILDING;;;;;[43.059554276992316, -87.9787691281088];2215 N 52ND ST
94;141240026;05/04/2014;01:56 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.081932017485144, -87.98209511945313];3450 N 55TH ST
95;141240049;05/04/2014;10:05 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07170222342416, -87.97873736041612];5208 W LOCUST ST
96;141220172;05/02/2014;11:48 PM;3.0;THEFT FROM BUILDING;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
97;141520085;05/30/2014;04:40 PM;6.0;THEFT FROM BUILDING;;;;;[42.97636060173686, -87.978088092042];3745 S 51ST ST
98;141480028;05/28/2014;05:27 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.978698413266784, -88.01276342627985];3620 S 80TH ST
99;141480069;05/28/2014;11:01 AM;6.0;THEFT FROM BUILDING;;;;;[42.98489091248832, -87.94843751889785];3355 S 27TH ST
100;141460008;05/26/2014;12:14 AM;6.0;THEFT FROM BUILDING;;;;;[42.98260045982171, -87.94573519001392];3422 S 25TH ST
101;141460032;05/26/2014;03:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.97984480985647, -87.98283793363746];5405 W FOREST HOME AV
102;141460046;05/26/2014;03:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.98748313627445, -87.97531494460172];3134 S 49TH ST
103;141460047;05/26/2014;03:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.98741113627446, -87.97531241517136];3136 S 49TH ST
104;141460048;05/26/2014;03:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.98699741909516, -87.97414909925536];3161 S 48TH ST
105;141460050;05/26/2014;03:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.98686213627445, -87.9753259989904];3162 S 49TH ST
106;141460051;05/26/2014;03:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.98742941909515, -87.97414009925535];3141 S 48TH ST
107;141460055;05/26/2014;03:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.98742941909515, -87.97414009925535];3141 S 48TH ST
108;141460056;05/26/2014;03:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.98727516180969, -87.97779295181508];3146 S 51ST ST
109;141460057;05/26/2014;03:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.987491161809686, -87.97779295181508];3134 S 51ST ST
110;141460059;05/26/2014;03:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.987408933694766, -87.97643155208006];3133 S 50TH ST
111;141460061;05/26/2014;03:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.98280912796459, -87.97838731002936];5128 W FOREST HOME AV
