;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
0;151200062;04/30/2015;11:55 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.11102633527614, -87.96896810646872];5151 N 45TH ST
1;151190037;04/29/2015;07:48 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.09040713627445, -87.92944335356933];4040 N 15TH ST
2;151160064;04/26/2015;12:59 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10712048237063, -87.94799403583565];4933 N TEUTONIA AV
3;151160084;04/26/2015;03:35 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12455452654483, -87.94838330682671];2830 W BOBOLINK AV
4;151150014;04/25/2015;01:32 AM;5.0;ALL OTHER LARCENY;MOTOR VEHICLE THEFT;;;[43.09765297336827, -87.93752234361466];2022 W ROOSEVELT DR
5;151150033;04/25/2015;07:40 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.14731950288554, -87.95926135206878];3803 W ROCHELLE AV
6;151150039;04/25/2015;09:33 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.14287022967994, -87.95782220224729];3737 W CHEYENNE ST
7;151110102;04/21/2015;04:27 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.148691508799885, -87.96210011365342];4006 W GOOD HOPE RD
8;151110131;04/21/2015;05:24 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.104592942905775, -87.94407126629166];4800 N 25TH ST
9;151110159;04/21/2015;07:50 PM;5.0;MOTOR VEHICLE THEFT;;;;[43.09482482653357, -87.92930391574828];4248 N 15TH ST
10;151080056;04/18/2015;10:26 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.09883961226845, -87.9467916503258];4469 N 27TH ST
11;151060117;04/16/2015;06:40 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.102889580904844, -87.93532485356933];4712 N 19TH PL
12;151060160;04/16/2015;10:56 PM;5.0;MOTOR VEHICLE THEFT;;;;[43.09254958673321, -87.92322638631792];4142 N 10TH ST
13;151050152;04/15/2015;07:31 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12360786372554, -87.9573981503258];5829 N 36TH ST
14;151040117;04/14/2015;04:15 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10471346768411, -87.96928033236193];4502 W HAMPTON AV
15;151040121;04/14/2015;04:24 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11770666869673, -87.95392084729481];5519 N 33RD ST
16;151030066;04/13/2015;12:04 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.14342502553524, -87.96321816475253];6915 N 41ST ST
17;151030072;04/13/2015;12:38 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.110683161809675, -87.95274489353127];5140 N 32ND ST
18;151030106;04/13/2015;02:44 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.1147982886491, -87.94396805539827];5355 N 25TH ST
19;151020098;04/12/2015;02:55 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12996238773155, -87.96236284577905];6146 N 40TH ST
20;151010118;04/11/2015;07:21 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.117630994171634, -87.95867288631791];5506 N 37TH ST
21;151000042;04/10/2015;09:45 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.092647864273815, -87.92482242105706];4145 N GREEN BAY AV
22;151000067;04/10/2015;12:58 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.11187969462108, -87.97519008702541];5011 W VILLARD AV
23;150980025;04/08/2015;06:36 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.12720220793441, -87.95604800582556];6028 N 35TH ST
24;150980108;04/08/2015;03:12 PM;5.0;MOTOR VEHICLE THEFT;;;;[43.08953181129675, -87.9271301732275];1300 W CAPITOL DR
25;150940069;04/04/2015;01:38 PM;5.0;MOTOR VEHICLE THEFT;;;;[43.10296169499096, -87.94578005323483];4730 N TEUTONIA AV
26;150940143;04/04/2015;10:48 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11646099417163, -87.9599124190665];5436 N 38TH ST
27;151170090;04/27/2015;02:04 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.07935956950787, -87.98453560087148];5701 W PHILIP PL
28;151160035;04/26/2015;07:30 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.072046832361934, -87.98509387910455];2914 N 58TH ST
29;151110029;04/21/2015;08:02 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.07317258673322, -87.97485109925536];2973 N 49TH ST
30;151100063;04/20/2015;11:22 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.08244239745509, -87.99793472603744];6836 W APPLETON AV
31;151090105;04/19/2015;05:03 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.07028199417161, -87.97857294460172];2818 N 52ND ST
32;151070031;04/17/2015;07:46 AM;3.0;MOTOR VEHICLE THEFT;;;;[43.04796316763807, -87.96716159536022];1359 N 42ND ST
33;151070050;04/17/2015;09:36 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.08081053952926, -87.98375177699232];5615 W TOWNSEND ST
34;151000036;04/10/2015;09:33 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.08872258832216, -88.00331775160824];7311 W APPLETON AV
35;151000112;04/10/2015;03:24 PM;3.0;MOTOR VEHICLE THEFT;;;;[43.06800654674262, -87.98551127699231];5801 W CENTER ST
36;150990109;04/09/2015;06:07 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.075952696087484, -87.9785405809335];3131 N 52ND ST
37;150960049;04/06/2015;08:42 AM;3.0;MOTOR VEHICLE THEFT;;;;[43.06364726698035, -87.97898342604871];5211 W LISBON AV
38;150950131;04/05/2015;08:04 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.07997863563929, -87.995948164465];6700 W APPLETON AV
39;151190122;04/29/2015;06:19 PM;6.0;MOTOR VEHICLE THEFT;;;;[42.990749245628706, -87.98900394460172];2960 S 61ST ST
40;151190174;04/29/2015;10:20 PM;2.0;MOTOR VEHICLE THEFT;;;;[43.003042478792615, -87.95839358534825];3510 W LINCOLN AV
