;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;150590027;02/28/2015;09:02 AM;7.0;MOTOR VEHICLE THEFT;;;[43.108982497085805, -87.97630540074464];5028 N 51ST BL
1;150590082;02/28/2015;02:44 PM;7.0;MOTOR VEHICLE THEFT;;;[43.11157423113474, -87.94999586359404];5191 N TEUTONIA AV
2;150590108;02/28/2015;11:40 PM;5.0;MOTOR VEHICLE THEFT;;;[43.104005832361935, -87.95034340795799];4768 N 30TH ST
3;150560025;02/25/2015;07:15 AM;4.0;MOTOR VEHICLE THEFT;;;[43.14399440273521, -87.95509558162692];6944 N TEUTONIA AV
4;150560054;02/25/2015;11:19 AM;5.0;MOTOR VEHICLE THEFT;;;[43.100714739452584, -87.94615567818605];2513 W GLENDALE AV
5;150560064;02/25/2015;11:25 AM;7.0;MOTOR VEHICLE THEFT;;;[43.107552335276125, -87.9602491392173];4953 N 38TH ST
6;150550102;02/24/2015;07:43 PM;4.0;MOTOR VEHICLE THEFT;;;[43.134054525967926, -87.97006128420567];4560 W MILL RD
7;150540061;02/23/2015;11:13 AM;4.0;MOTOR VEHICLE THEFT;;;[43.127677341104516, -87.95978810646872];6043 N 38TH ST
8;150530109;02/22/2015;10:25 PM;5.0;MOTOR VEHICLE THEFT;;;[43.093574779906504, -87.93695112479058];4179 N 20TH ST
9;150510134;02/20/2015;09:43 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10227291895093, -87.93417904097154];4689 N 19TH ST
10;150490022;02/18/2015;08:06 AM;4.0;MOTOR VEHICLE THEFT;;;[43.111995274719554, -87.96012927471955];3800 W VILLARD AV
11;150480020;02/17/2015;05:25 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12667116726372, -87.96506721444908];4230 W FLORIST AV
12;150480084;02/17/2015;02:13 PM;5.0;MOTOR VEHICLE THEFT;;;[43.092067842605054, -87.9400393407874];4126 N TEUTONIA AV
13;150480138;02/17/2015;08:20 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10514152983439, -87.95649333409362];4834 N MOTHER DANIELS WA
14;150470019;02/16/2015;07:03 AM;5.0;MOTOR VEHICLE THEFT;;;[43.09622080099834, -87.93049291185314];4356 N 16TH ST
15;150470113;02/16/2015;06:55 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10445030606816, -87.93142895904172];4803 N GREEN BAY AV
16;150460002;02/15/2015;12:17 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12003050678069, -87.9518623097409];3115 W REICHERT PL
17;150460024;02/15/2015;05:56 AM;5.0;MOTOR VEHICLE THEFT;;;[43.092067842605054, -87.9400393407874];4126 N TEUTONIA AV
18;150460088;02/15/2015;07:55 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10457962098931, -87.94669606996436];4801 N TEUTONIA AV
19;150440083;02/13/2015;05:20 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11435712101101, -87.95401850432783];5327 N 33RD ST
20;150440084;02/13/2015;05:23 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11435712101101, -87.95401850432783];5327 N 33RD ST
21;150430049;02/12/2015;12:13 PM;7.0;MOTOR VEHICLE THEFT;;;[43.08994550432782, -87.95543089355994];3336 W CAPITOL DR
22;150410117;02/10/2015;05:47 PM;5.0;MOTOR VEHICLE THEFT;;;[43.092026800998326, -87.941873930175];4120 N 24TH ST
23;150400003;02/09/2015;09:06 AM;7.0;MOTOR VEHICLE THEFT;;;[43.107292486005974, -87.94988958090484];2924 W CAMERON AV
24;150360068;02/05/2015;03:39 PM;4.0;MOTOR VEHICLE THEFT;;;[43.125764176562456, -87.9660444715966];5948 N SHERMAN BL
25;150360103;02/05/2015;06:21 PM;7.0;MOTOR VEHICLE THEFT;;;[43.111877481245465, -87.96363142339432];4105 W VILLARD AV
26;150340015;02/03/2015;06:24 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10505894754459, -87.9441591503258];4825 N 25TH ST
27;150340043;02/03/2015;11:42 AM;7.0;MOTOR VEHICLE THEFT;;;[43.111877481245465, -87.96363142339432];4105 W VILLARD AV
28;150330020;02/02/2015;08:39 AM;4.0;MOTOR VEHICLE THEFT;;;[43.14302632127718, -87.95692698081955];6908 N 37TH ST
29;150320028;02/01/2015;08:09 AM;5.0;MOTOR VEHICLE THEFT;;;[43.091277525967925, -87.92491270038664];1100 W FIEBRANTZ AV
30;150560029;02/25/2015;08:03 AM;7.0;MOTOR VEHICLE THEFT;;;[43.070825460470736, -87.99099380682671];6308 W RICHMOND AV
31;150560034;02/25/2015;08:39 AM;3.0;MOTOR VEHICLE THEFT;;;[43.06546816763807, -87.98752063200395];2549 N 60TH ST
32;150560036;02/25/2015;08:52 AM;7.0;MOTOR VEHICLE THEFT;;;[43.07359593173289, -87.99854371553452];3015 N 69TH ST
33;150560133;02/25/2015;09:49 PM;7.0;MOTOR VEHICLE THEFT;;;[43.07537946047075, -88.00694150291419];7530 W BURLEIGH ST
34;150550036;02/24/2015;02:26 PM;7.0;MOTOR VEHICLE THEFT;;;[43.08806733527612, -87.99946962479058];3913 N 70TH ST
35;150550069;02/24/2015;03:36 PM;3.0;MOTOR VEHICLE THEFT;;;[43.035425612268455, -87.96532161368208];425 N 41ST ST
36;150550089;02/24/2015;05:48 PM;3.0;MOTOR VEHICLE THEFT;;;[43.04824183236195, -87.96708436078269];1374 N 42ND ST
37;150540021;02/23/2015;07:31 AM;7.0;MOTOR VEHICLE THEFT;;;[43.07483641326678, -87.98081288631792];3062 N 54TH ST
38;150530111;02/22/2015;10:29 PM;7.0;MOTOR VEHICLE THEFT;;;[43.07483386302364, -87.98738953870763];3071 N 60TH ST
39;150500021;02/19/2015;06:56 AM;7.0;MOTOR VEHICLE THEFT;;;[43.08772558673323, -87.98829913200395];3867 N 61ST ST
40;150500054;02/19/2015;10:15 AM;7.0;MOTOR VEHICLE THEFT;;;[43.07997863563929, -87.995948164465];6700 W APPLETON AV
41;150460020;02/15/2015;04:10 AM;7.0;MOTOR VEHICLE THEFT;;;[43.074594754371276, -87.9851386392173];3049 N 58TH ST
42;150460099;02/15/2015;08:53 PM;3.0;MOTOR VEHICLE THEFT;;;[43.06771816763808, -87.9786881281088];2675 N 52ND ST
43;150450071;02/14/2015;01:48 PM;7.0;MOTOR VEHICLE THEFT;;;[43.087506945611324, -88.00360563209087];7352 W POTOMAC AV
44;150440064;02/13/2015;02:00 PM;7.0;MOTOR VEHICLE THEFT;;;[43.07103045045878, -87.97978954818491];2855 N 53RD ST
45;150440118;02/13/2015;08:51 PM;7.0;MOTOR VEHICLE THEFT;;;[43.07999922704706, -87.9818987906979];3354 N 55TH ST
46;150420042;02/11/2015;09:53 AM;7.0;MOTOR VEHICLE THEFT;;;[43.0773744970858, -87.98075538242277];3212 N 54TH ST
47;150400025;02/09/2015;08:45 AM;7.0;MOTOR VEHICLE THEFT;;;[43.07530652120739, -87.98329366763807];5601 W BURLEIGH ST
48;150390056;02/08/2015;11:07 AM;7.0;MOTOR VEHICLE THEFT;;;[43.06998554954123, -87.97975391517136];2810 N 53RD ST
49;150390057;02/08/2015;09:32 AM;7.0;MOTOR VEHICLE THEFT;;;[43.06860816180969, -87.98208638631792];2724 N 55TH ST
50;150380095;02/07/2015;06:59 PM;3.0;MOTOR VEHICLE THEFT;;;[43.0358132200935, -87.98876105539827];417 N 61ST ST
51;150370070;02/06/2015;02:43 PM;7.0;MOTOR VEHICLE THEFT;;;[43.075338987932845, -87.97483895418657];4900 W BURLEIGH ST
52;150360023;02/05/2015;09:54 AM;3.0;MOTOR VEHICLE THEFT;;;[43.044502864436566, -87.9767246519704];1102 N 50TH PL
53;150350079;02/04/2015;02:33 PM;3.0;MOTOR VEHICLE THEFT;;;[43.06556021065845, -87.98187700747316];2558 N 55TH ST
54;150340091;02/03/2015;07:49 PM;3.0;MOTOR VEHICLE THEFT;;;[43.027377878968586, -87.98535060950663];433 S HAWLEY RD
55;150320039;02/01/2015;11:23 AM;7.0;MOTOR VEHICLE THEFT;;;[43.08188857366268, -87.9872781074032];3435 N 60TH ST
56;150320056;02/01/2015;02:57 PM;3.0;MOTOR VEHICLE THEFT;;;[43.061229419095156, -87.98640807372014];2323 N 59TH ST
57;150320063;02/01/2015;04:06 PM;7.0;MOTOR VEHICLE THEFT;;;[43.08805153621105, -87.98918517346644];6131 W MELVINA ST
58;150580030;02/27/2015;09:35 AM;6.0;MOTOR VEHICLE THEFT;;;[42.97572691479598, -87.94859051889784];3775 S 27TH ST
59;150540033;02/23/2015;08:42 AM;6.0;MOTOR VEHICLE THEFT;;;[42.99563645325739, -87.99598341618096];6700 W CLEVELAND AV
60;150540036;02/23/2015;08:48 AM;2.0;MOTOR VEHICLE THEFT;;;[43.00123551154118, -87.95637016763806];3326 W HAYES AV
61;150540041;02/23/2015;09:28 AM;6.0;MOTOR VEHICLE THEFT;;;[42.984733095924774, -87.94244978869772];2201 W OHIO AV
62;150500072;02/19/2015;12:49 PM;6.0;MOTOR VEHICLE THEFT;;;[42.981157542847484, -87.96631041618096];4125 W MORGAN AV
63;150490062;02/18/2015;02:10 PM;6.0;MOTOR VEHICLE THEFT;;;[42.9717622910157, -88.00820846831982];4001 S 76TH ST
64;150490076;02/18/2015;03:46 PM;6.0;MOTOR VEHICLE THEFT;;;[42.975899860304196, -87.94860578460501];3785 S 27TH ST
65;150470036;02/16/2015;11:12 AM;6.0;MOTOR VEHICLE THEFT;;;[42.98109353318127, -88.01420399999999];8100 W MORGAN AV
66;150440020;02/15/2015;08:49 PM;6.0;MOTOR VEHICLE THEFT;;;[42.98402411217089, -87.94348254625433];2302 W SUNBURY CT
67;150420026;02/11/2015;05:50 AM;6.0;MOTOR VEHICLE THEFT;;;[42.98644858673322, -87.94457951543632];3201 S 24TH ST
68;150410136;02/10/2015;08:55 PM;6.0;MOTOR VEHICLE THEFT;;;[42.98392741326677, -87.96300245340255];3300 S 39TH ST
69;150400054;02/09/2015;11:22 AM;2.0;MOTOR VEHICLE THEFT;;;[43.00007349708582, -87.95672447013695];2452 S 34TH ST
