;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;151810065;06/30/2015;10:27 AM;5.0;MOTOR VEHICLE THEFT;;;[43.08978762106314, -87.93883689398197];4000 N TEUTONIA AV
1;151800042;06/29/2015;06:35 AM;4.0;MOTOR VEHICLE THEFT;;;[43.1245634427258, -87.94908930391252];2914 W BOBOLINK AV
2;151800053;06/29/2015;09:00 AM;4.0;MOTOR VEHICLE THEFT;;;[43.121772586733215, -87.9562011719659];5719 N 35TH ST
3;151800055;06/29/2015;09:14 AM;4.0;MOTOR VEHICLE THEFT;;;[43.117605838190315, -87.96236015753918];5505 N 40TH ST
4;151800067;06/29/2015;10:40 AM;7.0;MOTOR VEHICLE THEFT;;;[43.11140483819031, -87.9564576503258];5173 N 35TH ST
5;151810001;06/29/2015;11:01 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
6;151790036;06/28/2015;01:07 AM;7.0;MOTOR VEHICLE THEFT;;;[43.107851567574635, -87.94838117211013];4971 N TEUTONIA AV #LWR
7;151790079;06/28/2015;01:40 PM;4.0;MOTOR VEHICLE THEFT;;;[43.1160660313636, -87.95999863200394];5419 N 38TH ST
8;151790082;06/28/2015;11:49 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11436075698016, -87.93387120310129];5353 N GREEN BAY AV
9;151790083;06/28/2015;02:55 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11436075698016, -87.93387120310129];5353 N GREEN BAY AV
10;151780052;06/27/2015;11:13 AM;4.0;MOTOR VEHICLE THEFT;;;[43.123715466818716, -87.95065075145709];3025 W ORIOLE DR
11;151780079;06/27/2015;03:09 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11182946047075, -87.94739266763806];2726 W VILLARD AV
12;151780100;06/27/2015;04:02 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11276286372555, -87.96006965753918];5239 N 38TH ST
13;151780140;06/27/2015;09:17 PM;4.0;MOTOR VEHICLE THEFT;;;[43.12658429331842, -87.95512524325842];3414 W FLORIST AV
14;151760048;06/25/2015;09:36 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV
15;151760096;06/25/2015;02:33 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09416842670577, -87.93433745855543];1900 W OLIVE ST
16;151750107;06/24/2015;02:43 PM;4.0;MOTOR VEHICLE THEFT;;;[43.12437741104509, -87.95158658621362];5877 N TEUTONIA AV
17;151740053;06/23/2015;09:41 AM;5.0;MOTOR VEHICLE THEFT;;;[43.097933064660445, -87.92788970194452];4453 N GREEN BAY AV
18;151740103;06/23/2015;03:11 PM;4.0;MOTOR VEHICLE THEFT;;;[43.111933484272235, -87.95412052915958];3300 W VILLARD AV
19;151740145;06/23/2015;06:47 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11925251154119, -87.95699058090484];3518 W SILVER SPRING DR
20;151730046;06/22/2015;04:53 AM;7.0;MOTOR VEHICLE THEFT;;;[43.1059560153558, -87.9409874756243];2344 W LINWAL LA
21;151720062;06/21/2015;10:40 AM;4.0;MOTOR VEHICLE THEFT;;;[43.117364482110844, -87.95227033236193];3124 W SHERIDAN AV
22;151720093;06/21/2015;02:41 PM;7.0;MOTOR VEHICLE THEFT;;;[43.11177750678069, -87.94829266763806];2815 W VILLARD AV
23;151710121;06/20/2015;07:43 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09765963386534, -87.94800096755796];4422 N 28TH ST
24;151700152;06/19/2015;05:17 PM;4.0;MOTOR VEHICLE THEFT;;;[43.12895717620306, -87.95224264186731];6151 N TEUTONIA AV
