;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
0;150900047;03/31/2015;10:19 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.101633288937535, -87.93262469161542];4662 N 18TH ST
1;150870031;03/28/2015;05:54 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.125018045921216, -87.9661302030577];5900 N SHERMAN BL
2;150870066;03/28/2015;11:41 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.128987467153024, -87.96267164174898];4014 W KAUL AV
3;150870110;03/28/2015;06:43 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.1095590313636, -87.95896813200395];5063 N 37TH ST
4;150860023;03/27/2015;07:58 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.14490551875455, -87.95714302553522];3700 W KILEY AV
5;150850103;03/26/2015;04:39 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10881730820667, -87.96631599592469];5032 N SHERMAN BL
6;150830070;03/24/2015;12:35 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10472676961993, -87.9663901355317];4800 N SHERMAN BL
7;150820064;03/23/2015;10:55 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.11214231418432, -87.94994249509524];5208 N TEUTONIA AV
8;150830066;03/23/2015;12:11 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.108743464550386, -87.93697101065693];5027 N 20TH ST
9;150810013;03/22/2015;12:58 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.096950511541195, -87.93593958090484];1964 W CONGRESS ST
10;150810041;03/22/2015;02:29 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.09444120254394, -87.93922817917958];4212 N 22ND ST
11;150800082;03/21/2015;03:19 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10263749708582, -87.93291637910455];4700 N 18TH ST
12;150790101;03/20/2015;04:58 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10945838207832, -87.93695842408074];5071 N 20TH ST
13;150780004;03/19/2015;12:08 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.09595902553522, -87.92691013200395];4347 N 13TH ST
14;150770178;03/18/2015;07:53 PM;5.0;MOTOR VEHICLE THEFT;;;;[43.0899075337582, -87.95081216472387];3000 W CAPITOL DR #ALLEY
15;150760028;03/17/2015;08:02 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.0899075337582, -87.95081216472387];3000 W CAPITOL DR
