;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;153340036;11/30/2015;06:46 AM;5.0;MOTOR VEHICLE THEFT;;;[43.09270132944775, -87.93189338631792];4154 N 17TH ST
1;153340072;11/30/2015;08:44 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10649742795645, -87.96668007453552];4300 W STARK ST
2;153340098;11/30/2015;02:54 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09512837414156, -87.9417807512842];4290 N TEUTONIA AV
3;153340101;11/30/2015;03:10 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09636555536963, -87.93183640074464];4364 N 17TH ST
4;153340167;11/30/2015;08:41 PM;7.0;MOTOR VEHICLE THEFT;;;[43.109037680824024, -87.96329889713795];5034 N 41ST ST
5;153330003;11/29/2015;12:59 AM;5.0;MOTOR VEHICLE THEFT;;;[43.09685045325739, -87.93205247155058];1700 W CONGRESS ST
6;153330076;11/29/2015;01:43 PM;7.0;MOTOR VEHICLE THEFT;;;[43.107867251457094, -87.97267115032581];4963 N 48TH ST
7;153330094;11/29/2015;04:34 PM;5.0;MOTOR VEHICLE THEFT;;;[43.10339303486936, -87.95285668539785];4732 N 32ND ST
8;153330119;11/29/2015;06:03 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10731833527612, -87.97764109925535];4935 N 52ND ST
9;153320112;11/28/2015;08:26 PM;4.0;MOTOR VEHICLE THEFT;;;[43.129341115182655, -87.95606915753918];6119 N 35TH ST
10;153290135;11/25/2015;05:51 PM;5.0;MOTOR VEHICLE THEFT;;;[43.089937670213466, -87.9470507731148];2700 W CAPITOL DR
11;153290152;11/25/2015;04:30 PM;7.0;MOTOR VEHICLE THEFT;;;[43.108578502914185, -87.9763881503258];5009 N 51ST BL
12;153280031;11/24/2015;06:53 AM;4.0;MOTOR VEHICLE THEFT;;;[43.13129040276386, -87.96189367929482];3920 W DOUGLAS AV
13;153280068;11/24/2015;11:24 AM;5.0;MOTOR VEHICLE THEFT;;;[43.100702329447756, -87.94049288631791];4584 N 23RD ST
14;153280092;11/24/2015;01:37 PM;4.0;MOTOR VEHICLE THEFT;;;[43.14123447157924, -87.95547972300767];3432 W GREEN TREE RD
15;153280158;11/24/2015;07:03 PM;5.0;MOTOR VEHICLE THEFT;;;[43.10178716800682, -87.94280965797357];4650 N 24TH PL
16;153280194;11/24/2015;11:16 PM;7.0;MOTOR VEHICLE THEFT;;;[43.1063375115412, -87.94681297446478];2700 W STARK ST
17;153270025;11/23/2015;09:30 AM;5.0;MOTOR VEHICLE THEFT;;;[43.09515146436588, -87.94914299999999];2830 W ROOSEVELT DR
18;153270026;11/23/2015;09:42 AM;7.0;MOTOR VEHICLE THEFT;;;[43.11002287879302, -87.9392646360692];2207 W LANCASTER AV
19;153270049;11/23/2015;12:06 PM;4.0;MOTOR VEHICLE THEFT;;;[43.12592265316018, -87.95605296269468];5966 N 35TH ST
20;153260052;11/22/2015;01:52 PM;7.0;MOTOR VEHICLE THEFT;;;[43.104254502885524, -87.93305299295953];1825 W HAMPTON AV
21;153260056;11/22/2015;02:32 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09458093698433, -87.94155153430646];4267 N TEUTONIA AV
22;153260094;11/22/2015;07:51 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10456548709775, -87.94798356957365];2800 W HAMPTON AV
23;153250060;11/21/2015;12:13 PM;4.0;MOTOR VEHICLE THEFT;;;[43.14509666138463, -87.96442038334077];7007 N 42ND ST
24;153250138;11/21/2015;11:35 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10400692200935, -87.93815913864039];4771 N 21ST ST
25;153240133;11/20/2015;06:42 PM;7.0;MOTOR VEHICLE THEFT;;;[43.1057508687172, -87.9605154876794];4855 N HOPKINS ST
26;153240169;11/20/2015;10:46 PM;7.0;MOTOR VEHICLE THEFT;;;[43.108743464550386, -87.93697101065693];5027 N 20TH ST
27;153230020;11/19/2015;04:08 AM;4.0;MOTOR VEHICLE THEFT;;;[43.112744245628704, -87.95999236078269];5236 N 38TH ST
28;153230039;11/19/2015;09:35 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11937143883067, -87.95184354948391];3002 W SILVER SPRING DR
29;153230102;11/19/2015;03:31 PM;7.0;MOTOR VEHICLE THEFT;;;[43.110462337451544, -87.94972514120904];5135 N TEUTONIA AV
30;153230143;11/19/2015;07:15 PM;4.0;MOTOR VEHICLE THEFT;;;[43.14439483706514, -87.95922615156655];6979 N DARIEN ST
31;153220064;11/18/2015;12:33 PM;7.0;MOTOR VEHICLE THEFT;;;[43.107165335276136, -87.97143815032581];4931 N 47TH ST
32;153220120;11/18/2015;05:27 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10259392200936, -87.9381980809335];4677 N 21ST ST
33;153200032;11/16/2015;07:53 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
34;153200152;11/16/2015;04:48 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10105873659768, -87.92961135224166];4623 N GREEN BAY AV
35;153200172;11/16/2015;08:12 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10832149321934, -87.97475233236193];4928 W FAIRMOUNT AV
36;153210006;11/16/2015;11:28 PM;7.0;MOTOR VEHICLE THEFT;;;[43.11102633527614, -87.96896810646872];5151 N 45TH ST
37;153290053;11/15/2015;11:09 AM;5.0;MOTOR VEHICLE THEFT;;;[43.096192994171616, -87.93416588631791];4342 N 19TH ST
38;153180050;11/14/2015;10:03 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11657827699233, -87.93555861368208];5457 N 19TH ST
39;153190007;11/14/2015;10:56 PM;7.0;MOTOR VEHICLE THEFT;;;[43.108677199001676, -87.94781059925535];5025 N 28TH ST
