;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
0;152730180;09/30/2015;10:46 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.13381346667355, -87.94865976368983];3100 W MILL RD
1;152700114;09/27/2015;05:27 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11489740519164, -87.93399747326869];5385 N GREEN BAY AV
2;152690024;09/26/2015;03:10 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10837863767079, -87.97530049985444];5010 W FAIRMOUNT AV
3;152690106;09/26/2015;04:31 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11884711518263, -87.95753157372015];5567 N 36TH ST
4;152690137;09/26/2015;06:21 PM;5.0;MOTOR VEHICLE THEFT;;;;[43.10135941925125, -87.95047583643179];4631 N 30TH ST
5;152670105;09/24/2015;06:01 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.112530216375475, -87.95524192971962];5235 N 34TH ST
6;152660057;09/23/2015;10:22 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.1076697543713, -87.97515815753917];4951 N 50TH ST
7;152660112;09/23/2015;04:35 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10400692200935, -87.93815913864039];4771 N 21ST ST
8;152650094;09/22/2015;02:46 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10989460003554, -87.96138341048983];5100 N 39TH ST
9;152650095;09/22/2015;02:49 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.103213413266786, -87.94160332803409];4736 N 24TH ST
10;152650134;09/22/2015;05:59 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.14485644146797, -87.95583959348286];3505 W KILEY AV
11;152650164;09/22/2015;10:06 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11936741118739, -87.96235112597334];4000 W SILVER SPRING DR
12;152630147;09/20/2015;06:55 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.11094868858565, -87.96291262548307];5151 N HOPKINS ST
13;152620059;09/19/2015;09:52 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.1066705029142, -87.9739176503258];4905 N 49TH ST
14;152620065;09/19/2015;10:41 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.15001681023571, -87.95899856395349];3724 W JUNIPER CT
15;152620074;09/19/2015;11:39 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.09126495412208, -87.93824242221551];4100 N 21ST ST
16;152620170;09/19/2015;09:44 PM;5.0;MOTOR VEHICLE THEFT;;;;[43.09279925007211, -87.92699007372015];4163 N 13TH ST
17;152610074;09/18/2015;01:14 PM;5.0;MOTOR VEHICLE THEFT;;;;[43.09856843770549, -87.94892710087149];2826 W ATKINSON AV
18;152610146;09/18/2015;07:13 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12899344617441, -87.95224624936446];6153 N TEUTONIA AV
19;152610179;09/18/2015;11:17 PM;5.0;MOTOR VEHICLE THEFT;;;;[43.0972881202978, -87.9469844363963];2700 W ATKINSON AV
20;152600047;09/17/2015;10:07 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10568626668079, -87.9454322666808];2600 W LINWAL LA
21;152600088;09/17/2015;01:20 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.131699073621014, -87.95256855376032];6261 N TEUTONIA AV
22;152600140;09/17/2015;11:38 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
23;152590109;09/16/2015;02:17 PM;4.0;BURGLARY/BREAKING AND ENTERING;MOTOR VEHICLE THEFT;;;[43.14489053952925, -87.96362327699232];4113 W KILEY AV
24;152590160;09/16/2015;09:58 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10433054674263, -87.93786166763806];2025 W HAMPTON AV
25;152580069;09/15/2015;11:22 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.106496603013014, -87.93161701605578];4900 N GREEN BAY AV
